width,input_physical,output_physical,meaning
6,0,960,blank
6,15,961,slash
6,16,962,digit_0
6,17,963,digit_1
6,18,964,digit_2
6,19,965,digit_3
6,20,966,digit_4
6,21,967,digit_5
6,22,968,digit_6
6,23,969,digit_7
6,24,970,digit_8
6,25,971,digit_9
6,127,972,aux
14,0,0,blank
14,15,15,slash
14,16,16,digit_0
14,17,17,digit_1
14,18,18,digit_2
14,19,19,digit_3
14,20,20,digit_4
14,21,21,digit_5
14,22,22,digit_6
14,23,23,digit_7
14,24,24,digit_8
14,25,25,digit_9
14,127,127,aux
16,0,0,blank
16,15,15,slash
16,16,16,digit_0
16,17,17,digit_1
16,18,18,digit_2
16,19,19,digit_3
16,20,20,digit_4
16,21,21,digit_5
16,22,22,digit_6
16,23,23,digit_7
16,24,24,digit_8
16,25,25,digit_9
16,127,127,aux
