width,raw_byte,stock_physical,final_physical,class
6,0x01,0,960,compact
6,0x10,15,961,compact
6,0x11,16,962,compact
6,0x12,17,963,compact
6,0x13,18,964,compact
6,0x14,19,965,compact
6,0x15,20,966,compact
6,0x16,21,967,compact
6,0x17,22,968,compact
6,0x18,23,969,compact
6,0x19,24,970,compact
6,0x1A,25,971,compact
6,0x80,127,972,compact
14,0x01,0,0,hangul_identity
14,0x10,15,15,hangul_identity
14,0x11,16,16,hangul_identity
14,0x12,17,17,hangul_identity
14,0x13,18,18,hangul_identity
14,0x14,19,19,hangul_identity
14,0x15,20,20,hangul_identity
14,0x16,21,21,hangul_identity
14,0x17,22,22,hangul_identity
14,0x18,23,23,hangul_identity
14,0x19,24,24,hangul_identity
14,0x1A,25,25,hangul_identity
14,0x80,127,127,hangul_identity
16,0x01,0,0,hangul_identity
16,0x10,15,15,hangul_identity
16,0x11,16,16,hangul_identity
16,0x12,17,17,hangul_identity
16,0x13,18,18,hangul_identity
16,0x14,19,19,hangul_identity
16,0x15,20,20,hangul_identity
16,0x16,21,21,hangul_identity
16,0x17,22,22,hangul_identity
16,0x18,23,23,hangul_identity
16,0x19,24,24,hangul_identity
16,0x1A,25,25,hangul_identity
16,0x80,127,127,hangul_identity
