state,header,base,limit,count,x,y,D,E,F,line_extra,source_pointer,visible,framebuffer_ratio,expected_ink,text
1,0x801F031C,0x801EFC9C,32,14,212,120,14,16,2,0,0x8019B61F,1,1.000000,760,불러올 데이터를 선택하세요
1,0x801F9D44,0x801BE9BC,128,49,112,96,14,16,2,0,0x00000000,1,1.000000,1243, 튼 4   0서30스메리아 /  튼14   1서29스메리아 / 어튼18   2서10스메리아 / 처음부터
2,0x801F031C,0x801EFC9C,32,1,144,122,14,16,2,0,0x8019BE7E,0,0.000000,66,원
2,0x801F0E18,0x801F0798,32,19,194,122,14,16,2,0,0x00000000,0,0.000000,701,저장하시겠습니까? / 예      아니요
2,0x801F9D44,0x801BE9BC,64,27,190,84,14,16,2,0,0x80115F91,1,0.977391,1150,싸우게 되는데 괜찮으려나? / 다다 <782>않 / 다다그만두마
2,0x801F9D88,0x801BF6BC,64,0,94,166,14,16,2,0,0x00000000,0,0.000000,0,
3,0x801F031C,0x801EFC9C,32,0,0,0,14,16,2,0,0x8019C8BA,0,0.000000,0,
3,0x801F0E18,0x801F0798,32,9,136,214,14,16,2,0,0x8019C7C3,0,0.000000,465,스킬을 선택하세요
3,0x801F1DB4,0x801F1A74,16,0,0,0,14,16,2,0,0x8019AF55,0,0.000000,0,
3,0x801F9D44,0x801BE9BC,128,50,274,146,14,16,2,0,0x80115F91,1,1.000000,2457,사운드 출력스테레오모노 / 대각선 입력일반사용 / 돌아가기 확인사용 안 함확인함 / 도움말 보기보기안 보기
3,0x801F9D88,0x801BF6BC,64,0,94,166,14,16,2,0,0x00000000,0,0.000000,0,
4,0x801F031C,0x801EFC9C,32,11,226,109,14,16,2,0,0x8019B863,1,1.000000,567,용암으로 적에게 피해
4,0x801F0E18,0x801F0798,32,9,136,214,14,16,2,0,0x8019C8E1,1,1.000000,348,<None>결정 <None>돌아가기
4,0x801F1DB4,0x801F1A74,16,6,274,41,14,16,2,0,0x8019ADF0,1,1.000000,243,번 그라운드
4,0x801F9D44,0x801BE9BC,128,15,234,137,14,16,2,0,0x80115F91,1,1.000000,171, <aux127>2다또체08033/033
4,0x801F9D88,0x801BF6BC,64,0,94,166,14,16,2,0,0x00000000,0,0.000000,0,
5,0x801F031C,0x801EFC9C,32,7,170,109,14,16,2,0,0x8019C811,0,0.020619,291,적 민첩 감소
5,0x801F0E18,0x801F0798,32,0,0,0,14,16,2,0,0x8019C7C3,0,0.000000,0,
5,0x801F1DB4,0x801F1A74,16,7,161,147,14,16,2,0,0x8019C1F7,1,1.000000,338,슬로우 에너미
5,0x801F9D44,0x801BE9BC,128,48,92,210,14,16,2,0,0x80115F91,1,1.000000,92,아크 / 18  3 /  59/ 59 /  33/ 33 / 11 9 /  9 4 /   193/  900 /  2 2 /  1 2
5,0x801F9D88,0x801BF6BC,64,0,94,166,14,16,2,0,0x00000000,0,0.000000,0,
