member,offset,before,after,purpose
PSX.EXE,0x47880,E3,2C,skill_call_to_shift_wrapper
PSX.EXE,0x47881,B0,6C,skill_call_to_shift_wrapper
PSX.EXE,0x47882,05,06,skill_call_to_shift_wrapper
PSX.EXE,0x808B0,01,E8,skill_shift_wrapper
PSX.EXE,0x808B1,00,FF,skill_shift_wrapper
PSX.EXE,0x808B2,08,BD,skill_shift_wrapper
PSX.EXE,0x808B3,34,27,skill_shift_wrapper
PSX.EXE,0x808B4,0B,14,skill_shift_wrapper
PSX.EXE,0x808B6,68,BF,skill_shift_wrapper
PSX.EXE,0x808B7,10,AF,skill_shift_wrapper
PSX.EXE,0x808B8,10,28,skill_shift_wrapper
PSX.EXE,0x808BA,08,A2,skill_shift_wrapper
PSX.EXE,0x808BB,34,8F,skill_shift_wrapper
PSX.EXE,0x808BC,F0,00,skill_shift_wrapper
PSX.EXE,0x808BD,FF,00,skill_shift_wrapper
PSX.EXE,0x808BE,69,00,skill_shift_wrapper
PSX.EXE,0x808BF,24,00,skill_shift_wrapper
PSX.EXE,0x808C0,0B,10,skill_shift_wrapper
PSX.EXE,0x808C2,28,A2,skill_shift_wrapper
PSX.EXE,0x808C3,2D,AF,skill_shift_wrapper
PSX.EXE,0x808C4,0A,E3,skill_shift_wrapper
PSX.EXE,0x808C5,00,B0,skill_shift_wrapper
PSX.EXE,0x808C6,00,05,skill_shift_wrapper
PSX.EXE,0x808C7,15,0C,skill_shift_wrapper
PSX.EXE,0x808CC,80,FC,skill_shift_wrapper
PSX.EXE,0x808CD,00,FF,skill_shift_wrapper
PSX.EXE,0x808CE,08,04,skill_shift_wrapper
PSX.EXE,0x808CF,34,24,skill_shift_wrapper
PSX.EXE,0x808D0,0C,21,skill_shift_wrapper
PSX.EXE,0x808D1,00,28,skill_shift_wrapper
PSX.EXE,0x808D2,68,00,skill_shift_wrapper
PSX.EXE,0x808D3,14,00,skill_shift_wrapper
PSX.EXE,0x808D4,00,1F,skill_shift_wrapper
PSX.EXE,0x808D5,00,80,skill_shift_wrapper
PSX.EXE,0x808D6,00,06,skill_shift_wrapper
PSX.EXE,0x808D7,00,3C,skill_shift_wrapper
PSX.EXE,0x808D8,CC,B4,skill_shift_wrapper
PSX.EXE,0x808D9,03,1D,skill_shift_wrapper
PSX.EXE,0x808DA,03,C6,skill_shift_wrapper
PSX.EXE,0x808DB,34,24,skill_shift_wrapper
PSX.EXE,0x808DC,05,10,skill_shift_wrapper
PSX.EXE,0x808DD,00,AD,skill_shift_wrapper
PSX.EXE,0x808DE,00,05,skill_shift_wrapper
PSX.EXE,0x808DF,10,0C,skill_shift_wrapper
PSX.EXE,0x808E4,C0,14,skill_shift_wrapper
PSX.EXE,0x808E5,03,00,skill_shift_wrapper
PSX.EXE,0x808E6,03,BF,skill_shift_wrapper
PSX.EXE,0x808E7,34,8F,skill_shift_wrapper
PSX.EXE,0x808E8,02,00,skill_shift_wrapper
PSX.EXE,0x808EB,10,00,skill_shift_wrapper
PSX.EXE,0x808EC,00,08,skill_shift_wrapper
PSX.EXE,0x808EE,00,E0,skill_shift_wrapper
PSX.EXE,0x808EF,00,03,skill_shift_wrapper
PSX.EXE,0x808F0,C1,18,skill_shift_wrapper
PSX.EXE,0x808F1,03,00,skill_shift_wrapper
PSX.EXE,0x808F2,23,BD,skill_shift_wrapper
PSX.EXE,0x808F3,25,27,skill_shift_wrapper
PSX.EXE,0x808F4,01,00,skill_shift_wrapper
PSX.EXE,0x808F6,A2,00,skill_shift_wrapper
PSX.EXE,0x808F7,24,00,skill_shift_wrapper
PSX.EXE,0x808FA,C2,00,skill_shift_wrapper
PSX.EXE,0x808FB,AC,00,skill_shift_wrapper
PSX.EXE,0x808FC,04,00,skill_shift_wrapper
PSX.EXE,0x808FD,AD,00,skill_shift_wrapper
PSX.EXE,0x808FE,05,00,skill_shift_wrapper
PSX.EXE,0x808FF,08,00,skill_shift_wrapper
PSX.EXE,0x80904,F8,00,skill_shift_wrapper
PSX.EXE,0x80905,AC,00,skill_shift_wrapper
PSX.EXE,0x80906,05,00,skill_shift_wrapper
PSX.EXE,0x80907,08,00,skill_shift_wrapper
