member,offset,before,after,purpose
PSX.EXE,0x780FC,F4,F1,load_L_pointer
PSX.EXE,0x809E0,DF,00,restore_live_jump_delay_slot_to_nop
PSX.EXE,0x809E1,E7,00,restore_live_jump_delay_slot_to_nop
PSX.EXE,0x809E2,DF,00,restore_live_jump_delay_slot_to_nop
PSX.EXE,0x809E3,F4,00,restore_live_jump_delay_slot_to_nop
PSX.EXE,0x809E4,00,DF,relocate_local_UI_payload
PSX.EXE,0x809E5,00,E7,relocate_local_UI_payload
PSX.EXE,0x809E6,00,DF,relocate_local_UI_payload
PSX.EXE,0x809E7,00,F4,relocate_local_UI_payload
PSX.EXE,0x809E8,DF,00,relocate_local_UI_payload
PSX.EXE,0x809E9,E7,DF,relocate_local_UI_payload
PSX.EXE,0x809EA,DF,E7,relocate_local_UI_payload
PSX.EXE,0x809EB,F5,DF,relocate_local_UI_payload
PSX.EXE,0x809EC,00,F5,relocate_local_UI_payload
PSX.EXE,0x809EE,00,DF,relocate_local_UI_payload
PSX.EXE,0x809EF,00,F6,relocate_local_UI_payload
PSX.EXE,0x809F0,DF,00,relocate_local_UI_payload
PSX.EXE,0x809F1,F6,DF,relocate_local_UI_payload
PSX.EXE,0x809F2,00,F4,relocate_local_UI_payload
PSX.EXE,0x809F4,DF,00,relocate_local_UI_payload
PSX.EXE,0x809F5,F4,00,relocate_local_UI_payload
PSX.EXE,0x823AC,E0,E4,battle_HUD_pointer
PSX.EXE,0x823B0,F8,F4,battle_HUD_pointer
PSX.EXE,0x823B8,E8,E9,battle_HUD_pointer
PSX.EXE,0x823BC,F0,EE,battle_HUD_pointer
