member,offset,before,after,purpose
1/S1023.DAT,0x4500A,0C,A1,choice_prompt_and_options_current_encoding
1/S1023.DAT,0x4500B,A1,DD,choice_prompt_and_options_current_encoding
1/S1023.DAT,0x4500C,DD,79,choice_prompt_and_options_current_encoding
1/S1023.DAT,0x4500D,3D,04,choice_prompt_and_options_current_encoding
1/S1023.DAT,0x4500E,DD,A1,choice_prompt_and_options_current_encoding
1/S1023.DAT,0x4500F,FB,DD,choice_prompt_and_options_current_encoding
1/S1023.DAT,0x45010,A1,50,choice_prompt_and_options_current_encoding
1/S1023.DAT,0x45012,79,12,choice_prompt_and_options_current_encoding
1/S1023.DAT,0x45013,04,D1,choice_prompt_and_options_current_encoding
1/S1023.DAT,0x45014,A1,00,choice_prompt_and_options_current_encoding
1/S1023.DAT,0x45015,DD,00,choice_prompt_and_options_current_encoding
1/S1023.DAT,0x45016,50,00,choice_prompt_and_options_current_encoding
1/S1023.DAT,0x45017,DD,00,choice_prompt_and_options_current_encoding
1/S1023.DAT,0x45018,12,00,choice_prompt_and_options_current_encoding
1/S1023.DAT,0x45019,DD,00,choice_prompt_and_options_current_encoding
1/S1023.DAT,0x4501A,03,00,choice_prompt_and_options_current_encoding
1/S1023.DAT,0x45100,78,01,choice_prompt_and_options_current_encoding
1/S1023.DAT,0x45101,C6,8D,choice_prompt_and_options_current_encoding
1/S1023.DAT,0x45180,DF,DE,choice_prompt_and_options_current_encoding
1/S1023.DAT,0x45181,16,82,choice_prompt_and_options_current_encoding
1/S1023.DAT,0x45182,84,06,choice_prompt_and_options_current_encoding
1/S1023.DAT,0x45183,78,01,choice_prompt_and_options_current_encoding
21/S2042.DAT,0x4508F,EA,DD,restore_L_in_LR_help
21/S2042.DAT,0x45090,9E,D8,restore_L_in_LR_help
4/S4011.DAT,0x485A3,D4,04,approved_v204_translation_restore
4/S4011.DAT,0x485A4,E9,DE,approved_v204_translation_restore
4/S4011.DAT,0x485A5,35,71,approved_v204_translation_restore
4/S4011.DAT,0x485A6,0D,B3,approved_v204_translation_restore
4/S4011.DAT,0x485A7,9C,A1,approved_v204_translation_restore
4/S4011.DAT,0x485A8,E1,DD,approved_v204_translation_restore
4/S4011.DAT,0x485A9,E9,F9,approved_v204_translation_restore
4/S4011.DAT,0x485AA,8F,0C,approved_v204_translation_restore
