state,header,base,limit,count,x,y,D,E,F,line_extra,source_pointer,visible,framebuffer_ratio,expected_ink,text
1,0x801F031C,0x801EFC9C,32,9,215,122,14,16,2,0,0x8019C757,0,0.000000,475,팔렌시아 지하감옥
1,0x801F0E18,0x801F0798,32,19,194,122,14,16,2,0,0x00000000,0,0.000000,701,저장하시겠습니까? / 예      아니요
1,0x801F9D44,0x801BE9BC,64,20,74,48,14,16,2,0,0x80116B13,1,1.000000,772,"병사2: 개정비한 거지, 살기 좋 / 게."
1,0x801F9D88,0x801BF6BC,64,0,46,162,14,16,2,0,0x80116F1A,0,0.000000,0,
2,0x801F031C,0x801EFC9C,32,9,215,122,14,16,2,0,0x8019C86C,0,0.000000,454,팔렌시아 지하창고
2,0x801F0E18,0x801F0798,32,19,194,122,14,16,2,0,0x00000000,0,0.000000,701,저장하시겠습니까? / 예      아니요
2,0x801F9D44,0x801BE9BC,64,41,94,64,14,16,2,0,0x801176AE,1,1.000000,1571,병사3: 이대로 두면 우리가 아무 / 것도 하지 않아도 안에서 무너져 갈 /  거야.
2,0x801F9D88,0x801BF6BC,64,0,46,162,14,16,2,0,0x80116954,0,0.000000,0,
3,0x801F031C,0x801EFC9C,32,4,86,116,14,16,2,0,0x8019AF67,0,0.000000,166,독 부여
3,0x801F0E18,0x801F0798,32,0,0,0,14,16,2,0,0x8019B5A0,0,0.000000,0,
3,0x801F1DB4,0x801F1A74,16,5,94,91,14,16,2,0,0x8019B082,1,1.000000,102,독초 /  02
3,0x801F9D44,0x801BE9BC,128,14,150,79,14,16,2,0,0x80117D61,0,0.000000,0, 56/ 56 /  32/ 32
3,0x801F9D88,0x801BF6BC,64,0,94,162,14,16,2,0,0x80116954,0,0.000000,0,
4,0x801F031C,0x801EFC9C,32,0,0,0,14,16,2,0,0x8019AF67,0,0.000000,0,
4,0x801F0E18,0x801F0798,32,0,0,0,14,16,2,0,0x8019C7C3,0,0.000000,0,
4,0x801F1DB4,0x801F1A74,16,0,0,0,14,16,2,0,0x8019B082,0,0.000000,0,
4,0x801F9D44,0x801BE9BC,128,10,150,30,14,16,2,0,0x80117D61,1,1.000000,502,최대 체력이)어상승
4,0x801F9D88,0x801BF6BC,64,0,94,162,14,16,2,0,0x80116954,0,0.000000,0,
5,0x801F031C,0x801EFC9C,32,5,187,122,14,16,2,0,0x8019BE93,0,0.000000,215,아크의 집
5,0x801F9D44,0x801BE9BC,64,14,122,48,14,16,2,0,0x801168FD,1,1.000000,829,위았겠은나뒤3시있습인벗 / 벗려
5,0x801F9D88,0x801BF6BC,64,0,94,162,14,16,2,0,0x00000000,0,0.000000,0,
6,0x801F031C,0x801EFC9C,32,5,187,122,14,16,2,0,0x8019BE93,0,0.000000,215,아크의 집
6,0x801F9D44,0x801BE9BC,64,20,170,48,14,16,2,0,0x801172C6,1,1.000000,769,"쿠쿠루, 포코. 그래도 따 / 라와 줄래?"
6,0x801F9D88,0x801BF6BC,64,0,94,162,14,16,2,0,0x00000000,0,0.000000,0,
