state,header,ordinal,packet_address,x,y,u,v,w,h,clut,plane,physical_index,char,coordinate_mode
1,0x801F031C,0,0x801EFC9C,97,122,96,80,16,16,0x7FC3,3,327,팔,
1,0x801F031C,1,0x801EFCD0,111,122,128,96,16,16,0x7FC3,3,395,렌,
1,0x801F031C,2,0x801EFD04,125,122,160,0,16,16,0x7FC0,0,40,시,
1,0x801F031C,3,0x801EFD38,139,122,32,0,16,16,0x7FC0,0,8,아,
1,0x801F031C,4,0x801EFD6C,153,122,160,32,16,16,0x7FC0,0,160, ,
1,0x801F031C,5,0x801EFDA0,159,122,0,0,16,16,0x7FC3,3,3,지,
1,0x801F031C,6,0x801EFDD4,173,122,96,0,16,16,0x7FC0,0,24,하,
1,0x801F031C,7,0x801EFE08,187,122,144,80,16,16,0x7FC2,2,338,감,
1,0x801F031C,8,0x801EFE3C,201,122,192,128,16,16,0x7FC3,3,531,옥,
1,0x801F0E18,0,0x801F0798,106,104,48,64,16,16,0x7FC3,3,255,저,
1,0x801F0E18,1,0x801F07CC,120,104,96,16,16,16,0x7FC1,1,85,장,
1,0x801F0E18,2,0x801F0800,134,104,96,0,16,16,0x7FC0,0,24,하,
1,0x801F0E18,3,0x801F0834,148,104,160,0,16,16,0x7FC0,0,40,시,
1,0x801F0E18,4,0x801F0868,162,104,80,16,16,16,0x7FC3,3,83,겠,
1,0x801F0E18,5,0x801F089C,176,104,176,0,16,16,0x7FC0,0,44,습,
1,0x801F0E18,6,0x801F08D0,190,104,16,0,16,16,0x7FC2,2,6,니,
1,0x801F0E18,7,0x801F0904,204,104,224,0,16,16,0x7FC2,2,58,까,
1,0x801F0E18,8,0x801F0938,218,104,112,48,16,16,0x7FC0,0,208,?,
1,0x801F0E18,9,0x801F096C,102,122,112,32,16,16,0x7FC2,2,150,예,
1,0x801F0E18,10,0x801F09A0,116,122,160,32,16,16,0x7FC0,0,160, ,
1,0x801F0E18,11,0x801F09D4,122,122,160,32,16,16,0x7FC0,0,160, ,
1,0x801F0E18,12,0x801F0A08,128,122,160,32,16,16,0x7FC0,0,160, ,
1,0x801F0E18,13,0x801F0A3C,134,122,160,32,16,16,0x7FC0,0,160, ,
1,0x801F0E18,14,0x801F0A70,140,122,160,32,16,16,0x7FC0,0,160, ,
1,0x801F0E18,15,0x801F0AA4,146,122,160,32,16,16,0x7FC0,0,160, ,
1,0x801F0E18,16,0x801F0AD8,152,122,32,0,16,16,0x7FC0,0,8,아,
1,0x801F0E18,17,0x801F0B0C,166,122,16,0,16,16,0x7FC2,2,6,니,
1,0x801F0E18,18,0x801F0B40,180,122,160,0,16,16,0x7FC3,3,43,요,
1,0x801F9D44,0,0x801BE9BC,46,32,32,32,16,16,0x7FC1,1,129,병,
1,0x801F9D44,1,0x801BE9F0,60,32,192,0,16,16,0x7FC3,3,51,사,
1,0x801F9D44,2,0x801BEA24,74,32,32,0,16,16,0x7FC2,2,10,2,
1,0x801F9D44,3,0x801BEA58,88,32,160,48,16,16,0x7FC1,1,221,:,
1,0x801F9D44,4,0x801BEA8C,102,32,160,32,16,16,0x7FC0,0,160, ,
1,0x801F9D44,5,0x801BEAC0,108,32,144,96,16,16,0x7FC3,3,399,개,
