state,header,ordinal,packet_address,x,y,u,v,w,h,clut,plane,physical_index,char,command_word,nonzero_packet,coordinate_mode
1,0x801F031C,9,0x801EFE70,150,120,160,32,16,16,0x7FC0,0,160, ,0x041EFE3C,1,
1,0x801F031C,10,0x801EFEA4,156,120,112,0,16,16,0x7FC2,2,30,있,0x041EFE70,1,
1,0x801F031C,11,0x801EFED8,170,120,176,0,16,16,0x7FC0,0,44,습,0x041EFEA4,1,
1,0x801F031C,12,0x801EFF0C,184,120,16,0,16,16,0x7FC2,2,6,니,0x041EFED8,1,
1,0x801F031C,13,0x801EFF40,198,120,0,0,16,16,0x7FC0,0,0,다,0x041EFF0C,1,
1,0x801F031C,14,0x801EFF74,204,120,176,0,16,16,0x7FC0,0,44,습,0x041EFF40,1,
1,0x801F031C,15,0x801EFFA8,218,120,16,0,16,16,0x7FC2,2,6,니,0x041EFF74,1,
1,0x801F031C,16,0x801EFFDC,232,120,0,0,16,16,0x7FC0,0,0,다,0x041EFFA8,1,
1,0x801F031C,17,0x801F0010,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
1,0x801F031C,18,0x801F0044,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
1,0x801F031C,19,0x801F0078,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
1,0x801F031C,20,0x801F00AC,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
1,0x801F031C,21,0x801F00E0,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
1,0x801F031C,22,0x801F0114,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
1,0x801F031C,23,0x801F0148,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
1,0x801F031C,24,0x801F017C,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
1,0x801F0E18,19,0x801F0B74,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
1,0x801F0E18,20,0x801F0BA8,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
1,0x801F0E18,21,0x801F0BDC,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
1,0x801F0E18,22,0x801F0C10,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
1,0x801F0E18,23,0x801F0C44,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
1,0x801F0E18,24,0x801F0C78,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
1,0x801F0E18,25,0x801F0CAC,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
1,0x801F0E18,26,0x801F0CE0,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
1,0x801F0E18,27,0x801F0D14,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
1,0x801F0E18,28,0x801F0D48,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
1,0x801F0E18,29,0x801F0D7C,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
1,0x801F0E18,30,0x801F0DB0,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
1,0x801F0E18,31,0x801F0DE4,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
1,0x801F9D44,20,0x801BEDCC,148,48,112,80,16,16,0x7FC0,0,328,각,0x041BED98,1,
1,0x801F9D44,21,0x801BEE00,162,48,160,48,16,16,0x7FC0,0,220,이,0x041BEDCC,1,
1,0x801F9D44,22,0x801BEE34,176,48,0,80,16,16,0x7FC0,0,300,냐,0x041BEE00,1,
1,0x801F9D44,23,0x801BEE68,190,48,128,0,16,16,0x7FC0,0,32,.,0x041BEE34,1,
1,0x801F9D44,24,0x801BEE9C,108,48,64,0,16,16,0x7FC3,3,19,어,0x041BEE68,1,
1,0x801F9D44,25,0x801BEED0,122,48,128,0,16,16,0x7FC0,0,32,.,0x041BEE9C,1,
1,0x801F9D44,26,0x801BEF04,188,64,176,0,16,16,0x7FC3,3,47,스,0x041BEED0,1,
1,0x801F9D44,27,0x801BEF38,202,64,80,64,16,16,0x7FC3,3,263,메,0x041BEF04,1,
1,0x801F9D44,28,0x801BEF6C,216,64,176,0,16,16,0x7FC1,1,45,리,0x041BEF38,1,
1,0x801F9D44,29,0x801BEFA0,230,64,32,0,16,16,0x7FC0,0,8,아,0x041BEF6C,1,
1,0x801F9D44,30,0x801BEFD4,56,80,240,192,16,16,0x7FC1,1,781,<781>,0x041BEFA0,1,
1,0x801F9D44,31,0x801BF008,80,80,240,224,16,16,0x7FC1,1,901, ,0x041BEFD4,1,
1,0x801F9D44,32,0x801BF03C,92,80,244,176,6,16,0x7FC3,3,963,1,0x041BF008,1,compact_strip_u_plus_4
1,0x801F9D44,33,0x801BF070,98,80,244,208,6,16,0x7FC2,2,970,8,0x041BF03C,1,compact_strip_u_plus_4
1,0x801F9D44,34,0x801BF0A4,116,80,244,176,6,16,0x7FC0,0,960, ,0x041BF070,1,compact_strip_u_plus_4
1,0x801F9D44,35,0x801BF0D8,122,80,244,176,6,16,0x7FC0,0,960, ,0x041BF0A4,1,compact_strip_u_plus_4
1,0x801F9D88,0,0x801BF6BC,46,162,32,32,16,16,0x7FC1,1,129,병,0x04FFFFFF,1,
1,0x801F9D88,1,0x801BF6F0,60,162,192,0,16,16,0x7FC3,3,51,사,0x041BF6BC,1,
1,0x801F9D88,2,0x801BF724,74,162,32,0,16,16,0x7FC2,2,10,2,0x041BF6F0,1,
1,0x801F9D88,3,0x801BF758,88,162,160,48,16,16,0x7FC1,1,221,:,0x041BF724,1,
1,0x801F9D88,4,0x801BF78C,102,162,160,32,16,16,0x7FC0,0,160, ,0x041BF758,1,
1,0x801F9D88,5,0x801BF7C0,108,162,32,0,16,16,0x7FC0,0,8,아,0x041BF78C,1,
1,0x801F9D88,6,0x801BF7F4,122,162,96,16,16,16,0x7FC3,3,87,크,0x041BF7C0,1,
1,0x801F9D88,7,0x801BF828,136,162,224,32,16,16,0x7FC2,2,178,",",0x041BF7F4,1,
1,0x801F9D88,8,0x801BF85C,150,162,160,32,16,16,0x7FC0,0,160, ,0x041BF828,1,
1,0x801F9D88,9,0x801BF890,156,162,176,16,16,16,0x7FC1,1,105,왕,0x041BF85C,1,
1,0x801F9D88,10,0x801BF8C4,170,162,32,64,16,16,0x7FC3,3,251,께,0x041BF890,1,
1,0x801F9D88,11,0x801BF8F8,184,162,144,0,16,16,0x7FC0,0,36,서,0x041BF8C4,1,
1,0x801F9D88,12,0x801BF92C,198,162,160,32,16,16,0x7FC0,0,160, ,0x041BF8F8,1,
1,0x801F9D88,13,0x801BF960,204,162,128,0,16,16,0x7FC3,3,35,기,0x041BF92C,1,
1,0x801F9D88,14,0x801BF994,218,162,0,0,16,16,0x7FC0,0,0,다,0x041BF960,1,
1,0x801F9D88,15,0x801BF9C8,232,162,176,0,16,16,0x7FC1,1,45,리,0x041BF994,1,
2,0x801F031C,9,0x801EFE70,150,120,160,32,16,16,0x7FC0,0,160, ,0x041EFE3C,1,
2,0x801F031C,10,0x801EFEA4,156,120,112,0,16,16,0x7FC2,2,30,있,0x041EFE70,1,
2,0x801F031C,11,0x801EFED8,170,120,176,0,16,16,0x7FC0,0,44,습,0x041EFEA4,1,
2,0x801F031C,12,0x801EFF0C,184,120,16,0,16,16,0x7FC2,2,6,니,0x041EFED8,1,
2,0x801F031C,13,0x801EFF40,198,120,0,0,16,16,0x7FC0,0,0,다,0x041EFF0C,1,
2,0x801F031C,14,0x801EFF74,204,120,176,0,16,16,0x7FC0,0,44,습,0x041EFF40,1,
2,0x801F031C,15,0x801EFFA8,218,120,16,0,16,16,0x7FC2,2,6,니,0x041EFF74,1,
2,0x801F031C,16,0x801EFFDC,232,120,0,0,16,16,0x7FC0,0,0,다,0x041EFFA8,1,
2,0x801F031C,17,0x801F0010,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F031C,18,0x801F0044,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F031C,19,0x801F0078,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F031C,20,0x801F00AC,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F031C,21,0x801F00E0,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F031C,22,0x801F0114,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F031C,23,0x801F0148,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F031C,24,0x801F017C,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F0E18,19,0x801F0B74,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F0E18,20,0x801F0BA8,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F0E18,21,0x801F0BDC,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F0E18,22,0x801F0C10,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F0E18,23,0x801F0C44,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F0E18,24,0x801F0C78,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F0E18,25,0x801F0CAC,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F0E18,26,0x801F0CE0,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F0E18,27,0x801F0D14,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F0E18,28,0x801F0D48,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F0E18,29,0x801F0D7C,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F0E18,30,0x801F0DB0,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F0E18,31,0x801F0DE4,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F9D44,41,0x801BF210,188,80,176,0,16,16,0x7FC3,3,47,스,0x041BF1DC,1,
2,0x801F9D44,42,0x801BF244,202,80,80,64,16,16,0x7FC3,3,263,메,0x041BF210,1,
2,0x801F9D44,43,0x801BF278,216,80,176,0,16,16,0x7FC1,1,45,리,0x041BF244,1,
2,0x801F9D44,44,0x801BF2AC,230,80,32,0,16,16,0x7FC0,0,8,아,0x041BF278,1,
2,0x801F9D44,45,0x801BF2E0,56,96,0,96,16,16,0x7FC2,2,362,처,0x041BF2AC,1,
2,0x801F9D44,46,0x801BF314,70,96,80,32,16,16,0x7FC0,0,140,음,0x041BF2E0,1,
2,0x801F9D44,47,0x801BF348,84,96,176,16,16,16,0x7FC3,3,107,부,0x041BF314,1,
2,0x801F9D44,48,0x801BF37C,98,96,0,0,16,16,0x7FC1,1,1,터,0x041BF348,1,
2,0x801F9D44,49,0x801BF3B0,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F9D44,50,0x801BF3E4,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F9D44,51,0x801BF418,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F9D44,52,0x801BF44C,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F9D44,53,0x801BF480,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F9D44,54,0x801BF4B4,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F9D44,55,0x801BF4E8,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F9D44,56,0x801BF51C,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
2,0x801F9D88,0,0x801BF6BC,94,162,0,16,16,16,0x7FC0,0,60,우,0x04FFFFFF,1,
2,0x801F9D88,1,0x801BF6F0,108,162,112,32,16,16,0x7FC0,0,148,호,0x041BF6BC,1,
2,0x801F9D88,2,0x801BF724,122,162,32,16,16,16,0x7FC1,1,69,오,0x041BF6F0,1,
2,0x801F9D88,3,0x801BF758,136,162,32,16,16,16,0x7FC1,1,69,오,0x041BF724,1,
2,0x801F9D88,4,0x801BF78C,150,162,32,16,16,16,0x7FC1,1,69,오,0x041BF758,1,
2,0x801F9D88,5,0x801BF7C0,164,162,32,16,16,16,0x7FC1,1,69,오,0x041BF78C,1,
2,0x801F9D88,6,0x801BF7F4,178,162,80,192,16,16,0x7FC1,1,741,!,0x041BF7C0,1,
2,0x801F9D88,7,0x801BF828,192,162,80,192,16,16,0x7FC1,1,741,!,0x041BF7F4,1,
2,0x801F9D88,8,0x801BF85C,206,162,160,32,16,16,0x7FC0,0,160, ,0x041BF828,1,
2,0x801F9D88,9,0x801BF890,212,162,160,32,16,16,0x7FC0,0,160, ,0x041BF85C,1,
2,0x801F9D88,10,0x801BF8C4,218,162,160,32,16,16,0x7FC0,0,160, ,0x041BF890,1,
2,0x801F9D88,11,0x801BF8F8,224,162,160,32,16,16,0x7FC0,0,160, ,0x041BF8C4,1,
2,0x801F9D88,12,0x801BF92C,190,162,48,0,16,16,0x7FC0,0,12,을,0x041BF8F8,1,
2,0x801F9D88,13,0x801BF960,204,162,160,32,16,16,0x7FC0,0,160, ,0x041BF92C,1,
2,0x801F9D88,14,0x801BF994,210,162,16,32,16,16,0x7FC1,1,125,네,0x041BF960,1,
2,0x801F9D88,15,0x801BF9C8,224,162,16,16,16,16,0x7FC0,0,64,게,0x041BF994,1,
3,0x801F031C,4,0x801EFD6C,86,116,160,32,16,16,0x7FC0,0,160, ,0x041EFD38,1,
3,0x801F031C,5,0x801EFDA0,92,116,144,64,16,16,0x7FC3,3,279,피,0x041EFD6C,1,
3,0x801F031C,6,0x801EFDD4,106,116,160,0,16,16,0x7FC2,2,42,해,0x041EFDA0,1,
3,0x801F031C,7,0x801EFE08,120,116,176,16,16,16,0x7FC3,3,107,부,0x041EFDD4,1,
3,0x801F031C,8,0x801EFE3C,134,116,96,112,16,16,0x7FC0,0,444,활,0x041EFE08,1,
3,0x801F031C,9,0x801EFE70,150,120,160,32,16,16,0x7FC0,0,160, ,0x041EFE3C,1,
3,0x801F031C,10,0x801EFEA4,156,120,112,0,16,16,0x7FC2,2,30,있,0x041EFE70,1,
3,0x801F031C,11,0x801EFED8,170,120,176,0,16,16,0x7FC0,0,44,습,0x041EFEA4,1,
3,0x801F031C,12,0x801EFF0C,184,120,16,0,16,16,0x7FC2,2,6,니,0x041EFED8,1,
3,0x801F031C,13,0x801EFF40,198,120,0,0,16,16,0x7FC0,0,0,다,0x041EFF0C,1,
3,0x801F031C,14,0x801EFF74,204,120,176,0,16,16,0x7FC0,0,44,습,0x041EFF40,1,
3,0x801F031C,15,0x801EFFA8,218,120,16,0,16,16,0x7FC2,2,6,니,0x041EFF74,1,
3,0x801F031C,16,0x801EFFDC,232,120,0,0,16,16,0x7FC0,0,0,다,0x041EFFA8,1,
3,0x801F031C,17,0x801F0010,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
3,0x801F031C,18,0x801F0044,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
3,0x801F031C,19,0x801F0078,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
3,0x801F0E18,0,0x801F0798,106,104,160,64,16,16,0x7FC2,2,282,진,0x041F2FD4,1,
3,0x801F0E18,1,0x801F07CC,120,104,112,64,16,16,0x7FC0,0,268,행,0x041F0798,1,
3,0x801F0E18,2,0x801F0800,134,104,96,0,16,16,0x7FC0,0,24,하,0x041F07CC,1,
3,0x801F0E18,3,0x801F0834,148,104,160,0,16,16,0x7FC0,0,40,시,0x041F0800,1,
3,0x801F0E18,4,0x801F0868,162,104,80,16,16,16,0x7FC3,3,83,겠,0x041F0834,1,
3,0x801F0E18,5,0x801F089C,176,104,176,0,16,16,0x7FC0,0,44,습,0x041F0868,1,
3,0x801F0E18,6,0x801F08D0,190,104,16,0,16,16,0x7FC2,2,6,니,0x041F089C,1,
3,0x801F0E18,7,0x801F0904,204,104,224,0,16,16,0x7FC2,2,58,까,0x041F08D0,1,
3,0x801F0E18,8,0x801F0938,218,104,112,48,16,16,0x7FC0,0,208,?,0x041F0904,1,
3,0x801F0E18,9,0x801F096C,102,122,112,32,16,16,0x7FC2,2,150,예,0x041F0938,1,
3,0x801F0E18,10,0x801F09A0,116,122,160,32,16,16,0x7FC0,0,160, ,0x041F096C,1,
3,0x801F0E18,11,0x801F09D4,122,122,160,32,16,16,0x7FC0,0,160, ,0x041F09A0,1,
3,0x801F0E18,12,0x801F0A08,128,122,160,32,16,16,0x7FC0,0,160, ,0x041F09D4,1,
3,0x801F0E18,13,0x801F0A3C,134,122,160,32,16,16,0x7FC0,0,160, ,0x041F0A08,1,
3,0x801F0E18,14,0x801F0A70,140,122,160,32,16,16,0x7FC0,0,160, ,0x041F0A3C,1,
3,0x801F0E18,15,0x801F0AA4,146,122,160,32,16,16,0x7FC0,0,160, ,0x041F0A70,1,
3,0x801F1DB4,5,0x801F1B78,102,111,244,176,6,16,0x7FC2,2,962,0,0x041F1B44,1,compact_strip_u_plus_4
3,0x801F1DB4,6,0x801F1BAC,108,111,244,176,6,16,0x7FC3,3,963,1,0x041F1B78,1,compact_strip_u_plus_4
3,0x801F1DB4,7,0x801F1BE0,130,131,244,176,6,16,0x7FC2,2,962,0,0x041F1BAC,1,compact_strip_u_plus_4
3,0x801F1DB4,8,0x801F1C14,136,131,244,176,6,16,0x7FC3,3,963,1,0x041F1BE0,1,compact_strip_u_plus_4
3,0x801F1DB4,9,0x801F1C48,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
3,0x801F1DB4,10,0x801F1C7C,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
3,0x801F1DB4,11,0x801F1CB0,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
3,0x801F1DB4,12,0x801F1CE4,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
3,0x801F1DB4,13,0x801F1D18,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
3,0x801F1DB4,14,0x801F1D4C,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
3,0x801F1DB4,15,0x801F1D80,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
3,0x801F9D44,14,0x801BEC94,48,130,244,208,6,16,0x7FC1,1,969,7,0x041BEC60,1,compact_strip_u_plus_4
3,0x801F9D44,15,0x801BECC8,54,130,244,176,6,16,0x7FC1,1,961,/,0x041BEC94,1,compact_strip_u_plus_4
3,0x801F9D44,16,0x801BECFC,60,130,244,176,6,16,0x7FC0,0,960, ,0x041BECC8,1,compact_strip_u_plus_4
3,0x801F9D44,17,0x801BED30,66,130,244,192,6,16,0x7FC0,0,964,2,0x041BECFC,1,compact_strip_u_plus_4
3,0x801F9D44,18,0x801BED64,72,130,244,208,6,16,0x7FC1,1,969,7,0x041BED30,1,compact_strip_u_plus_4
3,0x801F9D44,19,0x801BED98,36,146,244,176,6,16,0x7FC0,0,960, ,0x041BED64,1,compact_strip_u_plus_4
3,0x801F9D44,20,0x801BEDCC,42,146,244,208,6,16,0x7FC3,3,971,9,0x041BED98,1,compact_strip_u_plus_4
3,0x801F9D44,21,0x801BEE00,80,146,244,176,6,16,0x7FC0,0,960, ,0x041BEDCC,1,compact_strip_u_plus_4
3,0x801F9D44,22,0x801BEE34,86,146,244,208,6,16,0x7FC1,1,969,7,0x041BEE00,1,compact_strip_u_plus_4
3,0x801F9D44,23,0x801BEE68,36,162,244,176,6,16,0x7FC0,0,960, ,0x041BEE34,1,compact_strip_u_plus_4
3,0x801F9D44,24,0x801BEE9C,42,162,244,208,6,16,0x7FC1,1,969,7,0x041BEE68,1,compact_strip_u_plus_4
3,0x801F9D44,25,0x801BEED0,80,162,244,176,6,16,0x7FC0,0,960, ,0x041BEE9C,1,compact_strip_u_plus_4
3,0x801F9D44,26,0x801BEF04,86,162,244,192,6,16,0x7FC1,1,965,3,0x041BEED0,1,compact_strip_u_plus_4
3,0x801F9D44,27,0x801BEF38,80,98,244,176,6,16,0x7FC0,0,960, ,0x041BEF04,1,compact_strip_u_plus_4
3,0x801F9D44,28,0x801BEF6C,86,98,244,192,6,16,0x7FC1,1,965,3,0x041BEF38,1,compact_strip_u_plus_4
3,0x801F9D44,29,0x801BEFA0,36,178,244,176,6,16,0x7FC0,0,960, ,0x041BEF6C,1,compact_strip_u_plus_4
3,0x801F9D88,0,0x801BF6BC,94,162,0,16,16,16,0x7FC0,0,60,우,0x04FFFFFF,1,
3,0x801F9D88,1,0x801BF6F0,108,162,112,32,16,16,0x7FC0,0,148,호,0x041BF6BC,1,
3,0x801F9D88,2,0x801BF724,122,162,32,16,16,16,0x7FC1,1,69,오,0x041BF6F0,1,
3,0x801F9D88,3,0x801BF758,136,162,32,16,16,16,0x7FC1,1,69,오,0x041BF724,1,
3,0x801F9D88,4,0x801BF78C,150,162,32,16,16,16,0x7FC1,1,69,오,0x041BF758,1,
3,0x801F9D88,5,0x801BF7C0,164,162,32,16,16,16,0x7FC1,1,69,오,0x041BF78C,1,
3,0x801F9D88,6,0x801BF7F4,178,162,80,192,16,16,0x7FC1,1,741,!,0x041BF7C0,1,
3,0x801F9D88,7,0x801BF828,192,162,80,192,16,16,0x7FC1,1,741,!,0x041BF7F4,1,
3,0x801F9D88,8,0x801BF85C,206,162,160,32,16,16,0x7FC0,0,160, ,0x041BF828,1,
3,0x801F9D88,9,0x801BF890,212,162,160,32,16,16,0x7FC0,0,160, ,0x041BF85C,1,
3,0x801F9D88,10,0x801BF8C4,218,162,160,32,16,16,0x7FC0,0,160, ,0x041BF890,1,
3,0x801F9D88,11,0x801BF8F8,224,162,160,32,16,16,0x7FC0,0,160, ,0x041BF8C4,1,
3,0x801F9D88,12,0x801BF92C,190,162,48,0,16,16,0x7FC0,0,12,을,0x041BF8F8,1,
3,0x801F9D88,13,0x801BF960,204,162,160,32,16,16,0x7FC0,0,160, ,0x041BF92C,1,
3,0x801F9D88,14,0x801BF994,210,162,16,32,16,16,0x7FC1,1,125,네,0x041BF960,1,
3,0x801F9D88,15,0x801BF9C8,224,162,16,16,16,16,0x7FC0,0,64,게,0x041BF994,1,
4,0x801F031C,0,0x801EFC9C,38,116,160,192,16,16,0x7FC3,3,763,독,0x041B2644,1,
4,0x801F031C,1,0x801EFCD0,52,116,160,32,16,16,0x7FC0,0,160, ,0x041EFC9C,1,
4,0x801F031C,2,0x801EFD04,58,116,176,16,16,16,0x7FC3,3,107,부,0x041EFCD0,1,
4,0x801F031C,3,0x801EFD38,72,116,96,0,16,16,0x7FC1,1,25,여,0x041EFD04,1,
4,0x801F031C,4,0x801EFD6C,136,109,80,64,16,16,0x7FC2,2,262,력,0x041EFD38,1,
4,0x801F031C,5,0x801EFDA0,150,109,160,32,16,16,0x7FC0,0,160, ,0x041EFD6C,1,
4,0x801F031C,6,0x801EFDD4,156,109,0,32,16,16,0x7FC1,1,121,회,0x041EFDA0,1,
4,0x801F031C,7,0x801EFE08,170,109,64,96,16,16,0x7FC2,2,378,복,0x041EFDD4,1,
4,0x801F031C,8,0x801EFE3C,184,109,176,16,16,16,0x7FC0,0,104,승,0x041EFE08,1,
4,0x801F031C,9,0x801EFE70,198,109,160,32,16,16,0x7FC0,0,160, ,0x041EFE3C,1,
4,0x801F031C,10,0x801EFEA4,204,109,144,64,16,16,0x7FC3,3,279,피,0x041EFE70,1,
4,0x801F031C,11,0x801EFED8,218,109,160,0,16,16,0x7FC2,2,42,해,0x041EFEA4,1,
4,0x801F031C,12,0x801EFF0C,184,120,16,0,16,16,0x7FC2,2,6,니,0x041EFED8,1,
4,0x801F031C,13,0x801EFF40,198,120,0,0,16,16,0x7FC0,0,0,다,0x041EFF0C,1,
4,0x801F031C,14,0x801EFF74,204,120,176,0,16,16,0x7FC0,0,44,습,0x041EFF40,1,
