state,header,base,limit,count,x,y,D,E,F,line_extra,source_pointer,visible,framebuffer_ratio,expected_ink,text
1,0x801F031C,0x801EFC9C,32,13,102,132,14,16,2,0,0x8019C605,1,1.000000,531,아크 매 행동 MP 회 / 복
1,0x801F0E18,0x801F0798,32,23,262,129,14,16,2,0,0x8019B5A0,0,0.115669,1219,인물을 선택하세요 / 결정하면 전투를 시작합니다
1,0x801F1DB4,0x801F1A74,16,6,178,49,14,16,2,0,0x8019C0FD,1,1.000000,296,용자의 증표
1,0x801F9D44,0x801BE9BC,128,48,92,210,14,16,2,0,0x80115E02,1,1.000000,92,아크 / 15  3 /  51/ 51 /  29/ 29 /  9 8 /  8 3 /   513/  750 /  2 2 /  1 2
1,0x801F9D88,0x801BF6BC,64,0,94,162,14,16,2,0,0x00000000,0,0.000000,0,
2,0x801F031C,0x801EFC9C,32,6,214,116,14,16,2,0,0x8019C321,0,0.000000,315,회피율 상승
2,0x801F0E18,0x801F0798,32,23,262,129,14,16,2,0,0x8019B5A0,0,0.000000,1219,인물을 선택하세요 / 결정하면 전투를 시작합니다
2,0x801F1DB4,0x801F1A74,16,7,226,149,14,16,2,0,0x8019AE9B,1,1.000000,164,가짜 상 01
2,0x801F9D44,0x801BE9BC,128,48,92,210,14,16,2,0,0x80115E02,1,1.000000,92,아크 / 15  3 /  51/ 51 /  29/ 29 /  9 8 /  8 3 /   513/  750 /  2 2 /  1 2
2,0x801F9D88,0x801BF6BC,64,0,94,162,14,16,2,0,0x00000000,0,0.000000,0,
3,0x801F031C,0x801EFC9C,32,7,120,116,14,16,2,0,0x8019C16B,0,0.000000,309,레벨 1 상승
3,0x801F0E18,0x801F0798,32,0,0,0,14,16,2,0,0x8019B5A0,0,0.000000,0,
3,0x801F1DB4,0x801F1A74,16,9,182,50,14,16,2,0,0x8019C014,1,1.000000,312,넘치는 열매 /  03
3,0x801F9D44,0x801BE9BC,128,14,150,79,14,16,2,0,0x80115E02,0,0.000000,0, 51/ 51 /  29/ 29
3,0x801F9D88,0x801BF6BC,64,0,94,162,14,16,2,0,0x00000000,0,0.000000,0,
4,0x801F031C,0x801EFC9C,32,8,134,116,14,16,2,0,0x8019AB2B,0,0.000000,339,체력 60 회복
4,0x801F0E18,0x801F0798,32,0,0,0,14,16,2,0,0x8019B5A0,0,0.000000,0,
4,0x801F1DB4,0x801F1A74,16,8,188,50,14,16,2,0,0x8019C32A,1,1.000000,279,회복 열매 /  03
4,0x801F9D44,0x801BE9BC,128,14,150,79,14,16,2,0,0x80115E02,0,0.000000,0, 51/ 51 /  29/ 29
4,0x801F9D88,0x801BF6BC,64,0,94,162,14,16,2,0,0x00000000,0,0.000000,0,
5,0x801F031C,0x801EFC9C,32,11,226,109,14,16,2,0,0x8019B863,1,1.000000,567,용암으로 적에게 피해
5,0x801F0E18,0x801F0798,32,12,170,214,14,16,2,0,0x8019B711,1,1.000000,600,다음 대상을 선택합니다
5,0x801F1DB4,0x801F1A74,16,6,274,41,14,16,2,0,0x8019ADF0,1,1.000000,243,번 그라운드
5,0x801F9D44,0x801BE9BC,128,15,234,137,14,16,2,0,0x80115E02,0,0.000000,67, L2념  08029/029
5,0x801F9D88,0x801BF6BC,64,0,94,162,14,16,2,0,0x00000000,0,0.000000,0,
6,0x801F031C,0x801EFC9C,32,11,226,109,14,16,2,0,0x8019B863,0,0.012346,567,용암으로 적에게 피해
6,0x801F0E18,0x801F0798,32,5,80,214,14,16,2,0,0x8019AEAD,1,1.000000,255,대상 변경
6,0x801F1DB4,0x801F1A74,16,6,274,41,14,16,2,0,0x8019ADF0,0,0.037037,243,번 그라운드
6,0x801F9D44,0x801BE9BC,128,28,294,30,14,16,2,0,0x80115E02,1,1.000000,92,아크15      51/ 51      29/ 29
6,0x801F9D88,0x801BF6BC,64,0,94,162,14,16,2,0,0x00000000,0,0.000000,0,
7,0x801F031C,0x801EFC9C,32,0,0,0,14,16,2,0,0x8019B863,0,0.000000,0,
7,0x801F0E18,0x801F0798,32,9,136,214,14,16,2,0,0x8019B160,1,1.000000,362,<None>공격<None>연결 열기
7,0x801F1DB4,0x801F1A74,16,0,0,0,14,16,2,0,0x8019ADF0,0,0.000000,0,
7,0x801F9D44,0x801BE9BC,128,14,150,79,14,16,2,0,0x80115E02,0,0.000000,0, 51/ 51 /  29/ 29
7,0x801F9D88,0x801BF6BC,64,0,94,162,14,16,2,0,0x00000000,0,0.000000,0,
8,0x801F031C,0x801EFC9C,32,0,0,0,14,16,2,0,0x8019B863,0,0.000000,0,
8,0x801F0E18,0x801F0798,32,11,164,214,14,16,2,0,0x8019B173,0,0.000000,477,<None>행동 끝<None>상태 확인
8,0x801F1DB4,0x801F1A74,16,0,0,0,14,16,2,0,0x8019ADF0,0,0.000000,0,
8,0x801F9D44,0x801BE9BC,128,13,184,30,14,16,2,0,0x80115E02,1,1.000000,623,터돌를 손에 넣었습니다.
8,0x801F9D88,0x801BF6BC,64,0,94,162,14,16,2,0,0x00000000,0,0.000000,0,
