state,header,ordinal,packet_address,x,y,u,v,w,h,clut,plane,physical_index,char,coordinate_mode
1,0x801F031C,0,0x801EFC9C,88,116,32,0,16,16,0x7FC0,0,8,아,
1,0x801F031C,1,0x801EFCD0,102,116,96,16,16,16,0x7FC3,3,87,크,
1,0x801F031C,2,0x801EFD04,116,116,160,32,16,16,0x7FC0,0,160, ,
1,0x801F031C,3,0x801EFD38,122,116,0,112,16,16,0x7FC0,0,420,매,
1,0x801F031C,4,0x801EFD6C,136,116,160,32,16,16,0x7FC0,0,160, ,
1,0x801F031C,5,0x801EFDA0,142,116,112,64,16,16,0x7FC0,0,268,행,
1,0x801F031C,6,0x801EFDD4,156,116,112,64,16,16,0x7FC1,1,269,동,
1,0x801F031C,7,0x801EFE08,170,116,160,32,16,16,0x7FC0,0,160, ,
1,0x801F031C,8,0x801EFE3C,176,116,80,192,16,16,0x7FC0,0,740,M,
1,0x801F031C,9,0x801EFE70,190,116,0,128,16,16,0x7FC1,1,481,P,
1,0x801F031C,10,0x801EFEA4,204,116,160,32,16,16,0x7FC0,0,160, ,
1,0x801F031C,11,0x801EFED8,210,116,0,32,16,16,0x7FC1,1,121,회,
1,0x801F031C,12,0x801EFF0C,88,132,64,96,16,16,0x7FC2,2,378,복,
1,0x801F0E18,0,0x801F0798,82,115,208,0,16,16,0x7FC0,0,52,인,
1,0x801F0E18,1,0x801F07CC,96,115,192,16,16,16,0x7FC0,0,108,물,
1,0x801F0E18,2,0x801F0800,110,115,48,0,16,16,0x7FC0,0,12,을,
1,0x801F0E18,3,0x801F0834,124,115,160,32,16,16,0x7FC0,0,160, ,
1,0x801F0E18,4,0x801F0868,130,115,0,80,16,16,0x7FC2,2,302,선,
1,0x801F0E18,5,0x801F089C,144,115,160,224,16,16,0x7FC3,3,883,택,
1,0x801F0E18,6,0x801F08D0,158,115,96,0,16,16,0x7FC0,0,24,하,
1,0x801F0E18,7,0x801F0904,172,115,64,32,16,16,0x7FC3,3,139,세,
1,0x801F0E18,8,0x801F0938,186,115,160,0,16,16,0x7FC3,3,43,요,
1,0x801F0E18,9,0x801F096C,82,129,192,64,16,16,0x7FC2,2,290,결,
1,0x801F0E18,10,0x801F09A0,96,129,192,0,16,16,0x7FC0,0,48,정,
1,0x801F0E18,11,0x801F09D4,110,129,96,0,16,16,0x7FC0,0,24,하,
1,0x801F0E18,12,0x801F0A08,124,129,224,0,16,16,0x7FC1,1,57,면,
1,0x801F0E18,13,0x801F0A3C,138,129,160,32,16,16,0x7FC0,0,160, ,
1,0x801F0E18,14,0x801F0A70,144,129,64,16,16,16,0x7FC2,2,78,전,
1,0x801F0E18,15,0x801F0AA4,158,129,144,64,16,16,0x7FC0,0,276,투,
1,0x801F0E18,16,0x801F0AD8,172,129,208,0,16,16,0x7FC1,1,53,를,
1,0x801F0E18,17,0x801F0B0C,186,129,160,32,16,16,0x7FC0,0,160, ,
1,0x801F0E18,18,0x801F0B40,192,129,160,0,16,16,0x7FC0,0,40,시,
1,0x801F0E18,19,0x801F0B74,206,129,64,80,16,16,0x7FC3,3,319,작,
1,0x801F0E18,20,0x801F0BA8,220,129,32,64,16,16,0x7FC0,0,248,합,
1,0x801F0E18,21,0x801F0BDC,234,129,16,0,16,16,0x7FC2,2,6,니,
1,0x801F0E18,22,0x801F0C10,248,129,0,0,16,16,0x7FC0,0,0,다,
1,0x801F1DB4,0,0x801F1A74,98,49,16,64,16,16,0x7FC1,1,245,용,
1,0x801F1DB4,1,0x801F1AA8,112,49,144,0,16,16,0x7FC3,3,39,자,
1,0x801F1DB4,2,0x801F1ADC,126,49,48,0,16,16,0x7FC2,2,14,의,
1,0x801F1DB4,3,0x801F1B10,140,49,160,32,16,16,0x7FC0,0,160, ,
1,0x801F1DB4,4,0x801F1B44,146,49,0,128,16,16,0x7FC3,3,483,증,
1,0x801F1DB4,5,0x801F1B78,160,49,224,80,16,16,0x7FC1,1,357,표,
1,0x801F9D44,0,0x801BE9BC,20,82,32,0,16,16,0x7FC0,0,8,아,
1,0x801F9D44,1,0x801BE9F0,34,82,96,16,16,16,0x7FC3,3,87,크,
1,0x801F9D44,2,0x801BEA24,36,98,244,176,6,16,0x7FC3,3,963,1,compact_strip_u_plus_4
1,0x801F9D44,3,0x801BEA58,42,98,244,192,6,16,0x7FC3,3,967,5,compact_strip_u_plus_4
1,0x801F9D44,4,0x801BEA8C,48,98,244,176,6,16,0x7FC0,0,960, ,compact_strip_u_plus_4
1,0x801F9D44,5,0x801BEAC0,36,114,244,176,6,16,0x7FC0,0,960, ,compact_strip_u_plus_4
1,0x801F9D44,6,0x801BEAF4,42,114,244,192,6,16,0x7FC3,3,967,5,compact_strip_u_plus_4
1,0x801F9D44,7,0x801BEB28,48,114,244,176,6,16,0x7FC3,3,963,1,compact_strip_u_plus_4
1,0x801F9D44,8,0x801BEB5C,54,114,244,176,6,16,0x7FC1,1,961,/,compact_strip_u_plus_4
1,0x801F9D44,9,0x801BEB90,60,114,244,176,6,16,0x7FC0,0,960, ,compact_strip_u_plus_4
1,0x801F9D44,10,0x801BEBC4,66,114,244,192,6,16,0x7FC3,3,967,5,compact_strip_u_plus_4
1,0x801F9D44,11,0x801BEBF8,72,114,244,176,6,16,0x7FC3,3,963,1,compact_strip_u_plus_4
1,0x801F9D44,12,0x801BEC2C,36,130,244,176,6,16,0x7FC0,0,960, ,compact_strip_u_plus_4
1,0x801F9D44,13,0x801BEC60,42,130,244,192,6,16,0x7FC0,0,964,2,compact_strip_u_plus_4
1,0x801F9D44,14,0x801BEC94,48,130,244,208,6,16,0x7FC3,3,971,9,compact_strip_u_plus_4
1,0x801F9D44,15,0x801BECC8,54,130,244,176,6,16,0x7FC1,1,961,/,compact_strip_u_plus_4
1,0x801F9D44,16,0x801BECFC,60,130,244,176,6,16,0x7FC0,0,960, ,compact_strip_u_plus_4
1,0x801F9D44,17,0x801BED30,66,130,244,192,6,16,0x7FC0,0,964,2,compact_strip_u_plus_4
1,0x801F9D44,18,0x801BED64,72,130,244,208,6,16,0x7FC3,3,971,9,compact_strip_u_plus_4
1,0x801F9D44,19,0x801BED98,36,146,244,176,6,16,0x7FC0,0,960, ,compact_strip_u_plus_4
1,0x801F9D44,20,0x801BEDCC,42,146,244,208,6,16,0x7FC3,3,971,9,compact_strip_u_plus_4
1,0x801F9D44,21,0x801BEE00,80,146,244,176,6,16,0x7FC0,0,960, ,compact_strip_u_plus_4
1,0x801F9D44,22,0x801BEE34,86,146,244,208,6,16,0x7FC2,2,970,8,compact_strip_u_plus_4
1,0x801F9D44,23,0x801BEE68,36,162,244,176,6,16,0x7FC0,0,960, ,compact_strip_u_plus_4
1,0x801F9D44,24,0x801BEE9C,42,162,244,208,6,16,0x7FC2,2,970,8,compact_strip_u_plus_4
1,0x801F9D44,25,0x801BEED0,80,162,244,176,6,16,0x7FC0,0,960, ,compact_strip_u_plus_4
1,0x801F9D44,26,0x801BEF04,86,162,244,192,6,16,0x7FC1,1,965,3,compact_strip_u_plus_4
1,0x801F9D44,27,0x801BEF38,80,98,244,176,6,16,0x7FC0,0,960, ,compact_strip_u_plus_4
1,0x801F9D44,28,0x801BEF6C,86,98,244,192,6,16,0x7FC1,1,965,3,compact_strip_u_plus_4
1,0x801F9D44,29,0x801BEFA0,36,178,244,176,6,16,0x7FC0,0,960, ,compact_strip_u_plus_4
1,0x801F9D44,30,0x801BEFD4,42,178,244,176,6,16,0x7FC0,0,960, ,compact_strip_u_plus_4
1,0x801F9D44,31,0x801BF008,48,178,244,192,6,16,0x7FC3,3,967,5,compact_strip_u_plus_4
1,0x801F9D44,32,0x801BF03C,54,178,244,176,6,16,0x7FC3,3,963,1,compact_strip_u_plus_4
1,0x801F9D44,33,0x801BF070,60,178,244,192,6,16,0x7FC1,1,965,3,compact_strip_u_plus_4
1,0x801F9D44,34,0x801BF0A4,66,178,244,176,6,16,0x7FC1,1,961,/,compact_strip_u_plus_4
1,0x801F9D44,35,0x801BF0D8,72,178,244,176,6,16,0x7FC0,0,960, ,compact_strip_u_plus_4
1,0x801F9D44,36,0x801BF10C,78,178,244,176,6,16,0x7FC0,0,960, ,compact_strip_u_plus_4
1,0x801F9D44,37,0x801BF140,84,178,244,208,6,16,0x7FC1,1,969,7,compact_strip_u_plus_4
1,0x801F9D44,38,0x801BF174,90,178,244,192,6,16,0x7FC3,3,967,5,compact_strip_u_plus_4
1,0x801F9D44,39,0x801BF1A8,96,178,244,176,6,16,0x7FC2,2,962,0,compact_strip_u_plus_4
1,0x801F9D44,40,0x801BF1DC,36,194,244,176,6,16,0x7FC0,0,960, ,compact_strip_u_plus_4
1,0x801F9D44,41,0x801BF210,42,194,244,192,6,16,0x7FC0,0,964,2,compact_strip_u_plus_4
1,0x801F9D44,42,0x801BF244,80,194,244,176,6,16,0x7FC0,0,960, ,compact_strip_u_plus_4
1,0x801F9D44,43,0x801BF278,86,194,244,192,6,16,0x7FC0,0,964,2,compact_strip_u_plus_4
1,0x801F9D44,44,0x801BF2AC,36,210,244,176,6,16,0x7FC0,0,960, ,compact_strip_u_plus_4
1,0x801F9D44,45,0x801BF2E0,42,210,244,176,6,16,0x7FC3,3,963,1,compact_strip_u_plus_4
1,0x801F9D44,46,0x801BF314,80,210,244,176,6,16,0x7FC0,0,960, ,compact_strip_u_plus_4
1,0x801F9D44,47,0x801BF348,86,210,244,192,6,16,0x7FC0,0,964,2,compact_strip_u_plus_4
2,0x801F031C,0,0x801EFC9C,138,116,0,32,16,16,0x7FC1,1,121,회,
2,0x801F031C,1,0x801EFCD0,152,116,144,64,16,16,0x7FC3,3,279,피,
2,0x801F031C,2,0x801EFD04,166,116,160,160,16,16,0x7FC0,0,640,율,
2,0x801F031C,3,0x801EFD38,180,116,160,32,16,16,0x7FC0,0,160, ,
2,0x801F031C,4,0x801EFD6C,186,116,64,32,16,16,0x7FC2,2,138,상,
2,0x801F031C,5,0x801EFDA0,200,116,176,16,16,16,0x7FC0,0,104,승,
2,0x801F0E18,0,0x801F0798,82,115,208,0,16,16,0x7FC0,0,52,인,
2,0x801F0E18,1,0x801F07CC,96,115,192,16,16,16,0x7FC0,0,108,물,
2,0x801F0E18,2,0x801F0800,110,115,48,0,16,16,0x7FC0,0,12,을,
2,0x801F0E18,3,0x801F0834,124,115,160,32,16,16,0x7FC0,0,160, ,
2,0x801F0E18,4,0x801F0868,130,115,0,80,16,16,0x7FC2,2,302,선,
2,0x801F0E18,5,0x801F089C,144,115,160,224,16,16,0x7FC3,3,883,택,
2,0x801F0E18,6,0x801F08D0,158,115,96,0,16,16,0x7FC0,0,24,하,
2,0x801F0E18,7,0x801F0904,172,115,64,32,16,16,0x7FC3,3,139,세,
2,0x801F0E18,8,0x801F0938,186,115,160,0,16,16,0x7FC3,3,43,요,
2,0x801F0E18,9,0x801F096C,82,129,192,64,16,16,0x7FC2,2,290,결,
2,0x801F0E18,10,0x801F09A0,96,129,192,0,16,16,0x7FC0,0,48,정,
2,0x801F0E18,11,0x801F09D4,110,129,96,0,16,16,0x7FC0,0,24,하,
2,0x801F0E18,12,0x801F0A08,124,129,224,0,16,16,0x7FC1,1,57,면,
2,0x801F0E18,13,0x801F0A3C,138,129,160,32,16,16,0x7FC0,0,160, ,
2,0x801F0E18,14,0x801F0A70,144,129,64,16,16,16,0x7FC2,2,78,전,
2,0x801F0E18,15,0x801F0AA4,158,129,144,64,16,16,0x7FC0,0,276,투,
2,0x801F0E18,16,0x801F0AD8,172,129,208,0,16,16,0x7FC1,1,53,를,
2,0x801F0E18,17,0x801F0B0C,186,129,160,32,16,16,0x7FC0,0,160, ,
2,0x801F0E18,18,0x801F0B40,192,129,160,0,16,16,0x7FC0,0,40,시,
2,0x801F0E18,19,0x801F0B74,206,129,64,80,16,16,0x7FC3,3,319,작,
2,0x801F0E18,20,0x801F0BA8,220,129,32,64,16,16,0x7FC0,0,248,합,
2,0x801F0E18,21,0x801F0BDC,234,129,16,0,16,16,0x7FC2,2,6,니,
2,0x801F0E18,22,0x801F0C10,248,129,0,0,16,16,0x7FC0,0,0,다,
2,0x801F1DB4,0,0x801F1A74,160,149,32,0,16,16,0x7FC3,3,11,가,
2,0x801F1DB4,1,0x801F1AA8,174,149,224,160,16,16,0x7FC3,3,659,짜,
2,0x801F1DB4,2,0x801F1ADC,188,149,160,32,16,16,0x7FC0,0,160, ,
2,0x801F1DB4,3,0x801F1B10,194,149,64,32,16,16,0x7FC2,2,138,상,
2,0x801F1DB4,4,0x801F1B44,208,149,244,176,6,16,0x7FC0,0,960, ,compact_strip_u_plus_4
2,0x801F1DB4,5,0x801F1B78,214,149,244,176,6,16,0x7FC2,2,962,0,compact_strip_u_plus_4
2,0x801F1DB4,6,0x801F1BAC,220,149,244,176,6,16,0x7FC3,3,963,1,compact_strip_u_plus_4
2,0x801F9D44,0,0x801BE9BC,20,82,32,0,16,16,0x7FC0,0,8,아,
2,0x801F9D44,1,0x801BE9F0,34,82,96,16,16,16,0x7FC3,3,87,크,
2,0x801F9D44,2,0x801BEA24,36,98,244,176,6,16,0x7FC3,3,963,1,compact_strip_u_plus_4
2,0x801F9D44,3,0x801BEA58,42,98,244,192,6,16,0x7FC3,3,967,5,compact_strip_u_plus_4
2,0x801F9D44,4,0x801BEA8C,48,98,244,176,6,16,0x7FC0,0,960, ,compact_strip_u_plus_4
2,0x801F9D44,5,0x801BEAC0,36,114,244,176,6,16,0x7FC0,0,960, ,compact_strip_u_plus_4
2,0x801F9D44,6,0x801BEAF4,42,114,244,192,6,16,0x7FC3,3,967,5,compact_strip_u_plus_4
2,0x801F9D44,7,0x801BEB28,48,114,244,176,6,16,0x7FC3,3,963,1,compact_strip_u_plus_4
2,0x801F9D44,8,0x801BEB5C,54,114,244,176,6,16,0x7FC1,1,961,/,compact_strip_u_plus_4
2,0x801F9D44,9,0x801BEB90,60,114,244,176,6,16,0x7FC0,0,960, ,compact_strip_u_plus_4
2,0x801F9D44,10,0x801BEBC4,66,114,244,192,6,16,0x7FC3,3,967,5,compact_strip_u_plus_4
2,0x801F9D44,11,0x801BEBF8,72,114,244,176,6,16,0x7FC3,3,963,1,compact_strip_u_plus_4
2,0x801F9D44,12,0x801BEC2C,36,130,244,176,6,16,0x7FC0,0,960, ,compact_strip_u_plus_4
2,0x801F9D44,13,0x801BEC60,42,130,244,192,6,16,0x7FC0,0,964,2,compact_strip_u_plus_4
2,0x801F9D44,14,0x801BEC94,48,130,244,208,6,16,0x7FC3,3,971,9,compact_strip_u_plus_4
2,0x801F9D44,15,0x801BECC8,54,130,244,176,6,16,0x7FC1,1,961,/,compact_strip_u_plus_4
2,0x801F9D44,16,0x801BECFC,60,130,244,176,6,16,0x7FC0,0,960, ,compact_strip_u_plus_4
2,0x801F9D44,17,0x801BED30,66,130,244,192,6,16,0x7FC0,0,964,2,compact_strip_u_plus_4
2,0x801F9D44,18,0x801BED64,72,130,244,208,6,16,0x7FC3,3,971,9,compact_strip_u_plus_4
2,0x801F9D44,19,0x801BED98,36,146,244,176,6,16,0x7FC0,0,960, ,compact_strip_u_plus_4
2,0x801F9D44,20,0x801BEDCC,42,146,244,208,6,16,0x7FC3,3,971,9,compact_strip_u_plus_4
2,0x801F9D44,21,0x801BEE00,80,146,244,176,6,16,0x7FC0,0,960, ,compact_strip_u_plus_4
2,0x801F9D44,22,0x801BEE34,86,146,244,208,6,16,0x7FC2,2,970,8,compact_strip_u_plus_4
2,0x801F9D44,23,0x801BEE68,36,162,244,176,6,16,0x7FC0,0,960, ,compact_strip_u_plus_4
2,0x801F9D44,24,0x801BEE9C,42,162,244,208,6,16,0x7FC2,2,970,8,compact_strip_u_plus_4
2,0x801F9D44,25,0x801BEED0,80,162,244,176,6,16,0x7FC0,0,960, ,compact_strip_u_plus_4
2,0x801F9D44,26,0x801BEF04,86,162,244,192,6,16,0x7FC1,1,965,3,compact_strip_u_plus_4
2,0x801F9D44,27,0x801BEF38,80,98,244,176,6,16,0x7FC0,0,960, ,compact_strip_u_plus_4
2,0x801F9D44,28,0x801BEF6C,86,98,244,192,6,16,0x7FC1,1,965,3,compact_strip_u_plus_4
2,0x801F9D44,29,0x801BEFA0,36,178,244,176,6,16,0x7FC0,0,960, ,compact_strip_u_plus_4
2,0x801F9D44,30,0x801BEFD4,42,178,244,176,6,16,0x7FC0,0,960, ,compact_strip_u_plus_4
