member,offset,before,after,purpose
21/S2014.DAT,0x45002,4A,A1,fixed-length soldier/wording catch-up
21/S2014.DAT,0x45003,DD,4A,fixed-length soldier/wording catch-up
21/S2014.DAT,0x45004,02,DD,fixed-length soldier/wording catch-up
21/S2014.DAT,0x45005,A1,02,fixed-length soldier/wording catch-up
21/S2014.DAT,0x45082,0B,A1,fixed-length soldier/wording catch-up
21/S2014.DAT,0x45083,DD,0B,fixed-length soldier/wording catch-up
21/S2014.DAT,0x45084,02,DD,fixed-length soldier/wording catch-up
21/S2014.DAT,0x45085,A1,02,fixed-length soldier/wording catch-up
21/S2014.DAT,0x45102,4A,A1,fixed-length soldier/wording catch-up
21/S2014.DAT,0x45103,DD,4A,fixed-length soldier/wording catch-up
21/S2014.DAT,0x45104,02,DD,fixed-length soldier/wording catch-up
21/S2014.DAT,0x45105,A1,02,fixed-length soldier/wording catch-up
21/S2014.DAT,0x45123,DD,DE,fixed-length soldier/wording catch-up
21/S2014.DAT,0x45124,B4,52,fixed-length soldier/wording catch-up
21/S2014.DAT,0x45202,0B,A1,fixed-length soldier/wording catch-up
21/S2014.DAT,0x45203,DD,0B,fixed-length soldier/wording catch-up
21/S2014.DAT,0x45204,02,DD,fixed-length soldier/wording catch-up
21/S2014.DAT,0x45205,A1,02,fixed-length soldier/wording catch-up
21/S2014.DAT,0x45607,DD,DE,fixed-length soldier/wording catch-up
21/S2014.DAT,0x45608,B4,52,fixed-length soldier/wording catch-up
21/S2014.DAT,0x47E5E,4A,A1,fixed-length soldier/wording catch-up
21/S2014.DAT,0x47E5F,DD,4A,fixed-length soldier/wording catch-up
21/S2014.DAT,0x47E60,02,DD,fixed-length soldier/wording catch-up
21/S2014.DAT,0x47E61,A1,02,fixed-length soldier/wording catch-up
21/S2022.DAT,0x45202,4A,A1,fixed-length soldier/wording catch-up
21/S2022.DAT,0x45203,DD,4A,fixed-length soldier/wording catch-up
21/S2022.DAT,0x45204,02,DD,fixed-length soldier/wording catch-up
21/S2022.DAT,0x45205,A1,02,fixed-length soldier/wording catch-up
21/S2022.DAT,0x45402,0B,A1,fixed-length soldier/wording catch-up
21/S2022.DAT,0x45403,DD,0B,fixed-length soldier/wording catch-up
21/S2022.DAT,0x45404,02,DD,fixed-length soldier/wording catch-up
21/S2022.DAT,0x45405,A1,02,fixed-length soldier/wording catch-up
4/S4011.DAT,0x45082,4A,A1,fixed-length soldier/wording catch-up
4/S4011.DAT,0x45083,DD,4A,fixed-length soldier/wording catch-up
4/S4011.DAT,0x45084,02,DD,fixed-length soldier/wording catch-up
4/S4011.DAT,0x45085,A1,02,fixed-length soldier/wording catch-up
4/S4011.DAT,0x45102,27,A1,fixed-length soldier/wording catch-up
4/S4011.DAT,0x45103,DD,27,fixed-length soldier/wording catch-up
4/S4011.DAT,0x45104,02,DD,fixed-length soldier/wording catch-up
4/S4011.DAT,0x45105,A1,02,fixed-length soldier/wording catch-up
4/S4011.DAT,0x45202,0B,A1,fixed-length soldier/wording catch-up
4/S4011.DAT,0x45203,DD,0B,fixed-length soldier/wording catch-up
4/S4011.DAT,0x45204,02,DD,fixed-length soldier/wording catch-up
4/S4011.DAT,0x45205,A1,02,fixed-length soldier/wording catch-up
4/S4011.DAT,0x45302,4A,A1,fixed-length soldier/wording catch-up
4/S4011.DAT,0x45303,DD,4A,fixed-length soldier/wording catch-up
4/S4011.DAT,0x45304,02,DD,fixed-length soldier/wording catch-up
4/S4011.DAT,0x45305,A1,02,fixed-length soldier/wording catch-up
4/S4011.DAT,0x45382,0B,A1,fixed-length soldier/wording catch-up
4/S4011.DAT,0x45383,DD,0B,fixed-length soldier/wording catch-up
4/S4011.DAT,0x45384,02,DD,fixed-length soldier/wording catch-up
4/S4011.DAT,0x45385,A1,02,fixed-length soldier/wording catch-up
4/S4011.DAT,0x45402,4A,A1,fixed-length soldier/wording catch-up
4/S4011.DAT,0x45403,DD,4A,fixed-length soldier/wording catch-up
4/S4011.DAT,0x45404,02,DD,fixed-length soldier/wording catch-up
4/S4011.DAT,0x45405,A1,02,fixed-length soldier/wording catch-up
4/S4011.DAT,0x45602,4A,A1,fixed-length soldier/wording catch-up
4/S4011.DAT,0x45603,DD,4A,fixed-length soldier/wording catch-up
4/S4011.DAT,0x45604,02,DD,fixed-length soldier/wording catch-up
4/S4011.DAT,0x45605,A1,02,fixed-length soldier/wording catch-up
4/S4021.DAT,0x45004,DD,DE,fixed-length soldier/wording catch-up
4/S4021.DAT,0x45005,B4,52,fixed-length soldier/wording catch-up
4/S4021.DAT,0x45182,4A,A1,fixed-length soldier/wording catch-up
4/S4021.DAT,0x45183,DD,4A,fixed-length soldier/wording catch-up
4/S4021.DAT,0x45184,02,DD,fixed-length soldier/wording catch-up
4/S4021.DAT,0x45185,A1,02,fixed-length soldier/wording catch-up
4/S4021.DAT,0x47994,4A,A1,fixed-length soldier/wording catch-up
4/S4021.DAT,0x47995,DD,4A,fixed-length soldier/wording catch-up
4/S4021.DAT,0x47996,02,DD,fixed-length soldier/wording catch-up
