index,resident_address,source_file_offset,word
0,0x801FF858,0x8F380,0x90820000
1,0x801FF85C,0x8F384,0x3C098020
2,0x801FF860,0x8F388,0x1040000E
3,0x801FF864,0x8F38C,0x2443FFD0
4,0x801FF868,0x8F390,0x2C68000A
5,0x801FF86C,0x8F394,0x11000008
6,0x801FF870,0x8F398,0x2529F8A4
7,0x801FF874,0x8F39C,0x01234821
8,0x801FF878,0x8F3A0,0x91220000
9,0x801FF87C,0x8F3A4,0x00000000
10,0x801FF880,0x8F3A8,0xA0820000
11,0x801FF884,0x8F3AC,0x24840001
12,0x801FF888,0x8F3B0,0x1000FFF3
13,0x801FF88C,0x8F3B4,0x00000000
14,0x801FF890,0x8F3B8,0x244200E1
15,0x801FF894,0x8F3BC,0x1000FFFA
16,0x801FF898,0x8F3C0,0x00000000
17,0x801FF89C,0x8F3C4,0x03E00008
18,0x801FF8A0,0x8F3C8,0x00000000
