member,start,storage,digit,before_hex,after_hex,slot_meta,body_length
21/S2014.DAT,0x47E5C,inline,1,82 34 4A DD 02 A1,82 34 A1 4A DD 02,,36
4/S4021.DAT,0x47992,inline,1,82 34 4A DD 02 A1,82 34 A1 4A DD 02,,32
4/S4021.DAT,0x47A72,inline,1,82 34 4A DD 02 A1,82 34 A1 4A DD 02,,10
4/S4021.DAT,0x47AFA,inline,2,82 34 0B DD 02 A1,82 34 A1 0B DD 02,,25
4/S4021.DAT,0x47B4C,inline,2,82 34 0B DD 02 A1,82 34 A1 0B DD 02,,14
4/S4022.DAT,0x47986,inline,1,82 34 4A DD 02 A1,82 34 A1 4A DD 02,,21
4/S4022.DAT,0x47C4A,inline,1,82 34 4A DD 02 A1,82 34 A1 4A DD 02,,9
4/S4022.DAT,0x47D9A,inline,2,82 34 0B DD 02 A1,82 34 A1 0B DD 02,,29
21/S2014.DAT,0x45000,slot,1,82 34 4A DD 02 A1,82 34 A1 4A DD 02,54,63
21/S2014.DAT,0x45080,slot,2,82 34 0B DD 02 A1,82 34 A1 0B DD 02,28,39
21/S2014.DAT,0x45100,slot,1,82 34 4A DD 02 A1,82 34 A1 4A DD 02,48,59
21/S2014.DAT,0x45200,slot,2,82 34 0B DD 02 A1,82 34 A1 0B DD 02,21,27
21/S2022.DAT,0x45200,slot,1,82 34 4A DD 02 A1,82 34 A1 4A DD 02,25,35
21/S2022.DAT,0x45400,slot,2,82 34 0B DD 02 A1,82 34 A1 0B DD 02,32,36
4/S4011.DAT,0x45080,slot,1,82 34 4A DD 02 A1,82 34 A1 4A DD 02,31,48
4/S4011.DAT,0x45100,slot,3,82 34 27 DD 02 A1,82 34 A1 27 DD 02,38,47
4/S4011.DAT,0x45200,slot,2,82 34 0B DD 02 A1,82 34 A1 0B DD 02,31,43
4/S4011.DAT,0x45300,slot,1,82 34 4A DD 02 A1,82 34 A1 4A DD 02,23,33
4/S4011.DAT,0x45380,slot,2,82 34 0B DD 02 A1,82 34 A1 0B DD 02,22,27
4/S4011.DAT,0x45400,slot,1,82 34 4A DD 02 A1,82 34 A1 4A DD 02,29,34
4/S4011.DAT,0x45600,slot,1,82 34 4A DD 02 A1,82 34 A1 4A DD 02,23,27
4/S4021.DAT,0x45180,slot,1,82 34 4A DD 02 A1,82 34 A1 4A DD 02,26,32
4/S4022.DAT,0x45080,slot,1,82 34 4A DD 02 A1,82 34 A1 4A DD 02,35,50
4/S4022.DAT,0x45100,slot,2,82 34 0B DD 02 A1,82 34 A1 0B DD 02,38,52
4/S4022.DAT,0x45180,slot,1,82 34 4A DD 02 A1,82 34 A1 4A DD 02,22,32
4/S4022.DAT,0x45200,slot,1,82 34 4A DD 02 A1,82 34 A1 4A DD 02,34,48
4/S4022.DAT,0x45280,slot,1,82 34 4A DD 02 A1,82 34 A1 4A DD 02,23,32
4/S4022.DAT,0x45380,slot,1,82 34 4A DD 02 A1,82 34 A1 4A DD 02,16,21
4/S4022.DAT,0x45400,slot,2,82 34 0B DD 02 A1,82 34 A1 0B DD 02,17,26
4/S4022.DAT,0x45500,slot,2,82 34 0B DD 02 A1,82 34 A1 0B DD 02,10,13
