table,index,pointer,file,tokens,spaces,old_width,new_width,delta,hex
equipment,0,0x8019BAE2,0x812E2,6,1,87,91,4,DD 13 DD 8C 0F A1 50 95
equipment,1,0x8019BE35,0x81635,6,1,87,91,4,DE 93 8D 0F A1 50 95
equipment,2,0x8019BAB5,0x812B5,6,1,87,91,4,94 DF 51 A1 DD C3 55 04
equipment,3,0x8019BAF4,0x812F4,6,1,87,91,4,DD 1F 8A 0F A1 6C DD 09
equipment,4,0x8019AC16,0x80416,6,1,87,91,4,DD 06 DD 35 A1 DE 48 2E DE 7A
equipment,5,0x8019BCD5,0x814D5,5,1,75,77,2,45 DD 37 A1 DD 38 17
equipment,6,0x8019ABEA,0x803EA,8,2,111,111,0,50 3A A1 DD 29 04 A1 DD 38 17
equipment,7,0x8019BDD5,0x815D5,4,1,63,63,0,DD 7B DD 68 A1 DF 6C
equipment,8,0x8019AAE4,0x802E4,7,1,99,105,6,DD 38 03 DD 24 A1 DE 1A 20 DD C8
equipment,9,0x8019BB57,0x81357,6,1,87,91,4,DD 65 8B 0F A1 56 DE 0C
equipment,10,0x8019AE22,0x80622,4,0,63,71,8,DD 53 DE 1A 8F 30
equipment,11,0x8019C81F,0x8201F,8,1,111,119,8,DD 34 DD 73 0F A1 DD 21 DD 42 45 2E
equipment,12,0x8019C839,0x82039,8,1,111,119,8,DD 39 DF 93 0F A1 DD 21 DD 42 45 2E
equipment,13,0x8019BEEF,0x816EF,5,1,75,77,2,3E 0F A1 40 DE 66
equipment,14,0x8019C7F8,0x81FF8,8,1,111,119,8,DD 08 03 99 DF 2C A1 DD 66 03 DD 24
equipment,15,0x8019AF1A,0x8071A,3,0,51,57,6,DD 33 DD 8E 03
equipment,16,0x8019B087,0x80887,2,0,39,43,4,DF 89 40
equipment,17,0x8019C072,0x81872,7,1,99,105,6,56 D5 0F A1 DD 5D 2E DE 7A
equipment,18,0x8019BFF4,0x817F4,7,1,99,105,6,DD AA DE 2E 0F A1 DD 46 01 1E
equipment,19,0x8019C26E,0x81A6E,6,1,87,91,4,19 03 DE 78 A1 6C DE CD
equipment,20,0x8019BDED,0x815ED,5,1,75,77,2,DD C2 29 A1 3E DD 0E
equipment,21,0x8019AE37,0x80637,4,1,63,63,0,DD 6C DE 56 A1 4A
equipment,22,0x8019AE30,0x80630,4,1,63,63,0,DD 6C DE 56 A1 0B
equipment,23,0x8019C036,0x81836,6,1,87,91,4,24 DD E5 0F A1 DD 6C DE 56
equipment,24,0x8019BEB0,0x816B0,6,1,87,91,4,1A 3E 0F A1 24 33
equipment,25,0x8019C19E,0x8199E,6,1,87,91,4,DD 7B DD 68 A1 2E 30 DD 5B
equipment,26,0x8019BD35,0x81535,6,1,87,91,4,81 6B 0F A1 03 DE 20
equipment,27,0x8019BB4E,0x8134E,6,1,87,91,4,DD 65 50 0F A1 03 DE 20
equipment,28,0x8019B8B1,0x810B1,8,1,111,119,8,DD 08 DF 1F DD 08 DD 22 0F A1 DD 53 DE A6
equipment,29,0x8019BD75,0x81575,5,0,75,85,10,90 DD B4 DF 18 81 24
equipment,30,0x8019C334,0x81B34,6,1,87,91,4,8A 07 DE 96 0F A1 DE E1
equipment,31,0x8019BAC7,0x812C7,6,1,87,91,4,DD 06 DF 17 0F A1 94 68
equipment,32,0x8019B02B,0x8082B,2,0,39,43,4,32 DD 92
equipment,33,0x8019BC4D,0x8144D,6,1,87,91,4,1C 37 0F A1 DD 46 04
equipment,34,0x8019BB60,0x81360,6,1,87,91,4,DD 65 8B 0F A1 DD 46 04
equipment,35,0x8019BCA5,0x814A5,6,1,87,91,4,45 33 0F A1 DD 46 04
equipment,36,0x8019C07C,0x8187C,6,1,87,91,4,56 DD 6A DD 77 A1 DD 46 04
equipment,37,0x8019C248,0x81A48,6,1,87,91,4,DF 22 DD AB 03 A1 DD 46 04
equipment,38,0x8019C158,0x81958,6,1,87,91,4,DD 65 8B 0F A1 DD 29 DE D7
equipment,39,0x8019ADAB,0x805AB,6,1,87,91,4,4F 34 0F A1 50 95
equipment,40,0x8019C307,0x81B07,6,1,87,91,4,56 D5 0F A1 DD 29 DE D7
equipment,41,0x8019AC4D,0x8044D,7,1,99,105,6,DD 28 DD 2B 53 A1 04 DF 52 03
equipment,42,0x8019AB5B,0x8035B,7,1,99,105,6,04 DE 39 0F A1 30 DD 55 DD 9D
equipment,43,0x8019AF9B,0x8079B,4,1,63,63,0,6A 0F A1 8B
equipment,44,0x8019AF4A,0x8074A,4,1,63,63,0,DD C9 0F A1 8B
equipment,45,0x8019AE96,0x80696,3,0,51,57,6,55 90 8B
equipment,46,0x8019AFD7,0x807D7,2,0,39,43,4,DD 35 DD A1
equipment,47,0x8019BDBD,0x815BD,5,1,75,77,2,DD 65 8B 0F A1 DD A1
equipment,48,0x8019ABC9,0x803C9,8,1,111,119,8,2E 8F 0F A1 DD 5D 2E 56 DD B5
equipment,49,0x8019ABBE,0x803BE,7,1,99,105,6,2C DD 32 DD 1F 06 A1 60 DD 8B
equipment,50,0x8019BC25,0x81425,5,1,75,77,2,09 DD 5D A1 30 DD 9A
equipment,51,0x8019C0C2,0x818C2,6,1,87,91,4,D5 DE 08 DE 26 A1 30 DD 9A
equipment,52,0x8019C0C2,0x818C2,6,1,87,91,4,D5 DE 08 DE 26 A1 30 DD 9A
equipment,53,0x8019C0C2,0x818C2,6,1,87,91,4,D5 DE 08 DE 26 A1 30 DD 9A
equipment,54,0x8019C0C2,0x818C2,6,1,87,91,4,D5 DE 08 DE 26 A1 30 DD 9A
equipment,55,0x8019C1DA,0x819DA,6,1,87,91,4,DD D2 DD 82 0F A1 32 DD 92
equipment,56,0x8019BE4D,0x8164D,4,1,63,63,0,DF 6D DD 83 A1 DE 43
equipment,57,0x8019C1F8,0x819F8,7,1,99,105,6,DE 01 8F 3D 30 0F A1 DE 43
equipment,58,0x8019AEF6,0x806F6,3,0,51,57,6,8D DD EB DD E2
equipment,59,0x8019BD6D,0x8156D,6,1,87,91,4,8F 58 0F A1 DD AF 56
equipment,60,0x8019C0AE,0x818AE,7,1,99,105,6,8A DD 38 2E 0F A1 DD AF 56
equipment,61,0x8019BB72,0x81372,6,1,87,91,4,DD 78 07 0F A1 DD AF 56
equipment,62,0x8019C0F4,0x818F4,6,1,87,91,4,DD 1A 28 0F A1 DE 09 DD 8A
equipment,63,0x8019AF08,0x80708,5,0,75,85,10,D1 D1 D1 D1 D1
consumable,0,0x8019AF50,0x80750,3,0,51,57,6,DE 40 DE 40 03
consumable,1,0x8019BC2D,0x8142D,5,1,75,77,2,0F DD E3 A1 DF 8F 2E
consumable,2,0x8019C00A,0x8180A,6,1,87,91,4,DD F4 DD 1F 06 A1 DD 89 DD C9
consumable,3,0x8019C322,0x81B22,5,1,75,77,2,7A DD 9F A1 DD 89 DD C9
consumable,4,0x8019BCAD,0x814AD,5,1,75,77,2,45 DD 06 A1 34 DD 18
consumable,5,0x8019B712,0x80F12,1,0,27,29,2,72
consumable,6,0x8019BB69,0x81369,5,1,75,77,2,DD 66 DD 40 0F A1 DE 45
consumable,7,0x8019B077,0x80877,2,0,39,43,4,DD 48 39
consumable,8,0x8019B07F,0x8087F,2,0,39,43,4,DF 22 39
consumable,9,0x8019BDA5,0x815A5,5,1,75,77,2,DD 42 3D 0F A1 DD 48
consumable,10,0x8019BBB1,0x813B1,5,1,75,77,2,DD EC DF 5E 0F A1 DD 48
consumable,11,0x8019BB45,0x81345,5,1,75,77,2,DD 64 26 A1 DD 62 DD D1
consumable,12,0x8019ADF1,0x805F1,4,1,63,63,0,AA A1 DD 62 DD D1
consumable,13,0x8019AEB4,0x806B4,3,0,51,57,6,38 DD ED DD 48
consumable,14,0x8019B06B,0x8086B,2,0,39,43,4,DD 17 50
consumable,15,0x8019AED2,0x806D2,3,0,51,57,6,6C DD E1 DD 48
consumable,16,0x8019C0D6,0x818D6,6,1,87,91,4,DD 10 DD 0A A1 DD F2 09 2E
consumable,17,0x8019ADB2,0x805B2,5,1,75,77,2,50 3A A1 87 DD FC
consumable,18,0x8019BB21,0x81321,5,1,75,77,2,DD 48 DD 83 A1 87 DD FC
consumable,19,0x8019BD1D,0x8151D,5,1,75,77,2,74 0F A1 DD 89 DD C9
consumable,20,0x8019C194,0x81994,6,1,87,91,4,DD 7B D5 0F A1 DD 89 DD C9
consumable,21,0x8019AC58,0x80458,6,1,87,91,4,DD 36 DD 34 0F A1 DD 89 DD C9
consumable,22,0x8019BCCD,0x814CD,5,1,75,77,2,45 DD 2B 0F A1 DF 8D
consumable,23,0x8019BCC5,0x814C5,5,1,75,77,2,45 DD 2B 0F A1 DE CC
consumable,24,0x8019BBCC,0x813CC,5,1,75,77,2,DE 0D 0C DE 29 A1 DE 45
consumable,25,0x8019AF56,0x80756,3,1,51,49,-2,DE B1 A1 DF 8D
consumable,26,0x8019C1B2,0x819B2,6,1,87,91,4,DD 8B DD 83 A1 2B 66 DE 06
consumable,27,0x8019C202,0x81A02,6,1,87,91,4,DE 06 DF 5F A1 2B 66 DE 06
consumable,28,0x8019C0CC,0x818CC,6,1,87,91,4,DD 07 DD 65 A1 DD F2 09 2E
consumable,29,0x8019AF08,0x80708,5,0,75,85,10,D1 D1 D1 D1 D1
consumable,30,0x8019AF08,0x80708,5,0,75,85,10,D1 D1 D1 D1 D1
consumable,31,0x8019AF08,0x80708,5,0,75,85,10,D1 D1 D1 D1 D1
skill,0,0x8019B0AD,0x808AD,0,0,15,15,0,
skill,1,0x8019ADEA,0x805EA,6,1,87,91,4,9B A1 15 8F 86 17
skill,2,0x8019C32B,0x81B2B,5,1,75,77,2,83 DE 14 A1 DF 5D DE 54
skill,3,0x8019C2D1,0x81AD1,6,1,87,91,4,41 6B A1 DE 36 DD 12 29
skill,4,0x8019C1EE,0x819EE,7,1,99,105,6,DD FC D5 3D A1 0E 89 DD 2F
skill,5,0x8019BB0F,0x8130F,5,1,75,77,2,DD 2C DD BE 46 A1 DF 56
skill,6,0x8019B08B,0x8088B,2,0,39,43,4,DF 98 14
skill,7,0x8019BDF5,0x815F5,4,0,63,71,8,DD CD DD 78 03 DF 90
skill,8,0x8019BEDA,0x816DA,4,0,63,71,8,34 6B DD 2A DD 5B
skill,9,0x8019BEC5,0x816C5,4,0,63,71,8,2E DD 9D DD 66 29
skill,10,0x8019B00E,0x8080E,2,0,39,43,4,DD E7 DD E4
skill,11,0x8019BC65,0x81465,4,0,63,71,8,2E DD 24 DF 2A DF 67
skill,12,0x8019AE45,0x80645,4,0,63,71,8,DD CD DD 08 03 17
skill,13,0x8019C020,0x81820,5,0,75,85,10,DF 6E DD 83 DF 1E DD 62 DD 4C
skill,14,0x8019AEBA,0x806BA,3,0,51,57,6,40 DE 9F DD A1
skill,15,0x8019AE14,0x80614,3,0,51,57,6,DD 3F DD 10 DD 4C
skill,16,0x8019AF02,0x80702,3,0,51,57,6,95 DD FA DD 4C
skill,17,0x8019BCF5,0x814F5,5,1,75,77,2,4F DD 39 0F A1 DE 64
skill,18,0x8019BE1D,0x8161D,5,1,75,77,2,DE 3C 34 28 A1 DE 64
skill,19,0x8019BC55,0x81455,5,1,75,77,2,24 DD 1D A1 1E DD 6C
skill,20,0x8019BBD5,0x813D5,5,1,75,77,2,DE 14 DD 3F A1 1E DD 6C
skill,21,0x8019BAEB,0x812EB,6,1,87,91,4,DD 1F 8A 0F A1 19 DD 9D
skill,22,0x8019C252,0x81A52,6,1,87,91,4,DF 23 DD 83 A1 DD FE 03 30
skill,23,0x8019AA78,0x80278,8,1,111,119,8,8E DD 7F DD E7 A1 46 DD 38 2E 1E
skill,24,0x8019AAC0,0x802C0,7,1,99,105,6,DD 29 DD B2 4F DD 65 A1 DD 3C 2E
skill,25,0x8019BE3D,0x8163D,5,0,75,85,10,DE C0 30 DE 36 D5 4F
skill,26,0x8019BC45,0x81445,5,1,75,77,2,17 DE 29 A1 DD 57 58
skill,27,0x8019C8E2,0x820E2,9,1,123,133,10,01 03 09 64 17 A1 DD 96 30 DD 5B
skill,28,0x8019C02B,0x8182B,6,1,87,91,4,DF 8B 17 A1 DD FC DD 12 DE B3
skill,29,0x8019BDB5,0x815B5,4,1,63,63,0,DD 59 DD 5B A1 DE E5
skill,30,0x8019BC0B,0x8140B,5,1,75,77,2,DF 6A DD 96 A1 30 DF 4F
skill,31,0x8019BBF0,0x813F0,4,0,63,71,8,DF 4E DD 66 DD 78 DD 5B
skill,32,0x8019AFB4,0x807B4,3,0,51,57,6,9D 94 DD 37
skill,33,0x8019BE45,0x81645,4,0,63,71,8,DF 50 45 DF 16 DD D1
skill,34,0x8019BB2A,0x8132A,4,0,63,71,8,DD 53 DE 2E DD 0A DE 02
skill,35,0x8019AEF0,0x806F0,3,0,51,57,6,8A DD 17 DD 62
skill,36,0x8019C23E,0x81A3E,5,0,75,85,10,DE 6C 3E DD 6E DD FA DD 7B
skill,37,0x8019BDFD,0x815FD,4,0,63,71,8,DD DD 56 DD 89 DD 7B
skill,38,0x8019B013,0x80813,2,0,39,43,4,DD F8 DF 27
skill,39,0x8019AF91,0x80791,3,0,51,57,6,55 DD 9D 2E
skill,40,0x8019AF38,0x80738,3,0,51,57,6,DD 8D 3D DD 3F
skill,41,0x8019AFAA,0x807AA,3,0,51,57,6,8F 03 DD 3F
skill,42,0x8019B004,0x80804,3,0,51,57,6,DD C3 55 04
skill,43,0x8019B03F,0x8083F,2,0,39,43,4,46 DD 9A
skill,44,0x8019B0AA,0x808AA,2,0,39,43,4,90 34
skill,45,0x8019B033,0x80833,2,0,39,43,4,39 DD 40
skill,46,0x8019B053,0x80853,2,0,39,43,4,7A DD 9F
skill,47,0x8019BE55,0x81655,6,1,87,91,4,01 2E A1 38 0A 24
skill,48,0x8019AE61,0x80661,3,0,51,57,6,DE 2E DF 31 DD 7B
skill,49,0x8019AE61,0x80661,3,0,51,57,6,DE 2E DF 31 DD 7B
skill,50,0x8019B083,0x80883,2,0,39,43,4,DF 64 0F
skill,51,0x8019C14E,0x8194E,6,1,87,91,4,DD 62 DF 2E A1 50 2E DD A1
skill,52,0x8019B027,0x80827,2,0,39,43,4,28 DD 62
skill,53,0x8019B964,0x81164,10,2,135,139,4,04 DE 39 4E D5 A1 0C 06 A1 DD 11 DD 35
skill,54,0x8019C2AD,0x81AAD,5,1,75,77,2,34 DD 29 A1 DD 10 DD 0A
skill,55,0x8019AE7D,0x8067D,3,0,51,57,6,DF 89 DF 31 DE EC
skill,56,0x8019BB96,0x81396,5,1,75,77,2,DD 96 30 DD 5B A1 DF 32
skill,57,0x8019C04A,0x8184A,6,1,87,91,4,2C DD 2F 0F A1 DD 61 DD B4
skill,58,0x8019BEA2,0x816A2,5,1,75,77,2,0F DD E3 A1 71 8D
