index,ram,file,word
0,0x8019D0C8,0x828C8,0x00001821
1,0x8019D0CC,0x828CC,0x90820000
2,0x8019D0D0,0x828D0,0x24840001
3,0x8019D0D4,0x828D4,0x1040000A
4,0x8019D0D8,0x828D8,0x2C4800DD
5,0x8019D0DC,0x828DC,0x39080001
6,0x8019D0E0,0x828E0,0x00882021
7,0x8019D0E4,0x828E4,0x2448FF5F
8,0x8019D0E8,0x828E8,0x11000003
9,0x8019D0EC,0x828EC,0x2463000E
10,0x8019D0F0,0x828F0,0x1000FFF6
11,0x8019D0F4,0x828F4,0x00000000
12,0x8019D0F8,0x828F8,0x1000FFF4
13,0x8019D0FC,0x828FC,0x2463FFF8
14,0x8019D100,0x82900,0x03E00008
15,0x8019D104,0x82904,0x2462000F
