member,row,body,approved_answer,payload_hex,canonical_hex,bitmap_match
C1/SC011.DAT,0,0x46DE6,예,97,E9 25,1
C1/SC011.DAT,1,0x46E48,응,DE 17,DE 17,1
C1/SC011.DAT,2,0x46EAA,물론,6D DF 30,6D DF 30,1
C1/SC011.DAT,3,0x46F0E,괜찮아,DD 3B DD 3A 09,DD 3B DD 3A 09,1
C1/SC011.DAT,4,0x46F74,괜찮다,DD 3B DD 3A 01,DD 3B DD 3A 01,1
C1/SC011.DAT,5,0x46FD8,예,97,E9 25,1
C1/SC011.DAT,6,0x47034,싸운다,DD 14 86 01,DD 14 86 01,1
C1/SC021.DAT,0,0x46DE6,예,97,E9 25,1
C1/SC021.DAT,1,0x46E48,응,DE 17,DE 17,1
C1/SC021.DAT,2,0x46EAA,물론,6D DF 30,6D DF 30,1
C1/SC021.DAT,3,0x46F0E,괜찮아,DD 3B DD 3A 09,DD 3B DD 3A 09,1
C1/SC021.DAT,4,0x46F74,괜찮다,DD 3B DD 3A 01,DD 3B DD 3A 01,1
C1/SC021.DAT,5,0x46FD8,예,97,E9 25,1
C1/SC021.DAT,6,0x47034,싸운다,DD 14 86 01,DD 14 86 01,1
C1/SC031.DAT,0,0x46DE6,예,97,E9 25,1
C1/SC031.DAT,1,0x46E48,응,DE 17,DE 17,1
C1/SC031.DAT,2,0x46EAA,물론,6D DF 30,6D DF 30,1
C1/SC031.DAT,3,0x46F0E,괜찮아,DD 3B DD 3A 09,DD 3B DD 3A 09,1
C1/SC031.DAT,4,0x46F74,괜찮다,DD 3B DD 3A 01,DD 3B DD 3A 01,1
C1/SC031.DAT,5,0x46FD8,예,97,E9 25,1
C1/SC031.DAT,6,0x47034,싸운다,DD 14 86 01,DD 14 86 01,1
C1/SC041.DAT,0,0x46DE6,예,97,E9 25,1
C1/SC041.DAT,1,0x46E48,응,DE 17,DE 17,1
C1/SC041.DAT,2,0x46EAA,물론,6D DF 30,6D DF 30,1
C1/SC041.DAT,3,0x46F0E,괜찮아,DD 3B DD 3A 09,DD 3B DD 3A 09,1
C1/SC041.DAT,4,0x46F74,괜찮다,DD 3B DD 3A 01,DD 3B DD 3A 01,1
C1/SC041.DAT,5,0x46FD8,예,97,E9 25,1
C1/SC041.DAT,6,0x47034,싸운다,DD 14 86 01,DD 14 86 01,1
C1/SC051.DAT,0,0x46DE6,예,97,E9 25,1
C1/SC051.DAT,1,0x46E48,응,DE 17,DE 17,1
C1/SC051.DAT,2,0x46EAA,물론,6D DF 30,6D DF 30,1
C1/SC051.DAT,3,0x46F0E,괜찮아,DD 3B DD 3A 09,DD 3B DD 3A 09,1
C1/SC051.DAT,4,0x46F74,괜찮다,DD 3B DD 3A 01,DD 3B DD 3A 01,1
C1/SC051.DAT,5,0x46FD8,예,97,E9 25,1
C1/SC051.DAT,6,0x47034,싸운다,DD 14 86 01,DD 14 86 01,1
C1/SC061.DAT,0,0x46DE6,예,97,E9 25,1
C1/SC061.DAT,1,0x46E48,응,DE 17,DE 17,1
C1/SC061.DAT,2,0x46EAA,물론,6D DF 30,6D DF 30,1
C1/SC061.DAT,3,0x46F0E,괜찮아,DD 3B DD 3A 09,DD 3B DD 3A 09,1
C1/SC061.DAT,4,0x46F74,괜찮다,DD 3B DD 3A 01,DD 3B DD 3A 01,1
C1/SC061.DAT,5,0x46FD8,예,97,E9 25,1
C1/SC061.DAT,6,0x47034,싸운다,DD 14 86 01,DD 14 86 01,1
C1/SC081.DAT,0,0x46DE6,예,97,E9 25,1
C1/SC081.DAT,1,0x46E48,응,DE 17,DE 17,1
C1/SC081.DAT,2,0x46EAA,예,97,E9 25,1
C1/SC081.DAT,3,0x46F0C,예,97,E9 25,1
C1/SC081.DAT,4,0x46F70,괜찮다,DD 3B DD 3A 01,DD 3B DD 3A 01,1
C1/SC081.DAT,5,0x46FD4,예,97,E9 25,1
C1/SC081.DAT,6,0x47030,간다,DD 1B 01,DD 1B 01,1
C1/SC091.DAT,0,0x46DE6,예,97,E9 25,1
C1/SC091.DAT,1,0x46E44,예,97,E9 25,1
C1/SC091.DAT,2,0x46EA2,예,97,E9 25,1
C1/SC091.DAT,3,0x46F04,예,97,E9 25,1
C1/SC091.DAT,4,0x46F62,예,97,E9 25,1
C1/SC091.DAT,5,0x46FC0,예,97,E9 25,1
C1/SC091.DAT,6,0x4701C,한다,53 01,53 01,1
C2/SC0A1.DAT,0,0x46DE6,예,97,E9 25,1
C2/SC0A1.DAT,1,0x46E48,예,97,E9 25,1
C2/SC0A1.DAT,2,0x46EA4,예,97,E9 25,1
C2/SC0A1.DAT,3,0x46F00,괜찮아,DD 3B DD 3A 09,DD 3B DD 3A 09,1
C2/SC0A1.DAT,4,0x46F66,괜찮다,DD 3B DD 3A 01,DD 3B DD 3A 01,1
C2/SC0A1.DAT,5,0x46FCA,예,97,E9 25,1
C2/SC0A1.DAT,6,0x47026,싸운다,DD 14 86 01,DD 14 86 01,1
