member,offset,before,after,purpose
C1/SC011.DAT,0x45300,AA,6D,approved_battle_answer_reencode
C1/SC011.DAT,0x45301,E1,DF,approved_battle_answer_reencode
C1/SC011.DAT,0x45302,C7,30,approved_battle_answer_reencode
C1/SC011.DAT,0x45480,DF,DD,approved_battle_answer_reencode
C1/SC011.DAT,0x45481,85,3B,approved_battle_answer_reencode
C1/SC011.DAT,0x45482,DF,DD,approved_battle_answer_reencode
C1/SC011.DAT,0x45483,ED,3A,approved_battle_answer_reencode
C1/SC011.DAT,0x45484,95,09,approved_battle_answer_reencode
C1/SC011.DAT,0x45600,DF,DD,approved_battle_answer_reencode
C1/SC011.DAT,0x45601,85,3B,approved_battle_answer_reencode
C1/SC011.DAT,0x45602,DF,DD,approved_battle_answer_reencode
C1/SC011.DAT,0x45603,ED,3A,approved_battle_answer_reencode
C1/SC011.DAT,0x45604,78,01,approved_battle_answer_reencode
C1/SC011.DAT,0x45880,DE,DD,approved_battle_answer_reencode
C1/SC011.DAT,0x45881,AD,14,approved_battle_answer_reencode
C1/SC011.DAT,0x45882,DA,86,approved_battle_answer_reencode
C1/SC011.DAT,0x45883,78,01,approved_battle_answer_reencode
C1/SC021.DAT,0x45300,AA,6D,approved_battle_answer_reencode
C1/SC021.DAT,0x45301,E1,DF,approved_battle_answer_reencode
C1/SC021.DAT,0x45302,C7,30,approved_battle_answer_reencode
C1/SC021.DAT,0x45480,DF,DD,approved_battle_answer_reencode
C1/SC021.DAT,0x45481,85,3B,approved_battle_answer_reencode
C1/SC021.DAT,0x45482,DF,DD,approved_battle_answer_reencode
C1/SC021.DAT,0x45483,ED,3A,approved_battle_answer_reencode
C1/SC021.DAT,0x45484,95,09,approved_battle_answer_reencode
C1/SC021.DAT,0x45600,DF,DD,approved_battle_answer_reencode
C1/SC021.DAT,0x45601,85,3B,approved_battle_answer_reencode
C1/SC021.DAT,0x45602,DF,DD,approved_battle_answer_reencode
C1/SC021.DAT,0x45603,ED,3A,approved_battle_answer_reencode
C1/SC021.DAT,0x45604,78,01,approved_battle_answer_reencode
C1/SC021.DAT,0x45880,DE,DD,approved_battle_answer_reencode
C1/SC021.DAT,0x45881,AD,14,approved_battle_answer_reencode
C1/SC021.DAT,0x45882,DA,86,approved_battle_answer_reencode
C1/SC021.DAT,0x45883,78,01,approved_battle_answer_reencode
C1/SC031.DAT,0x45300,AA,6D,approved_battle_answer_reencode
C1/SC031.DAT,0x45301,E1,DF,approved_battle_answer_reencode
C1/SC031.DAT,0x45302,C7,30,approved_battle_answer_reencode
C1/SC031.DAT,0x45480,DF,DD,approved_battle_answer_reencode
C1/SC031.DAT,0x45481,85,3B,approved_battle_answer_reencode
C1/SC031.DAT,0x45482,DF,DD,approved_battle_answer_reencode
C1/SC031.DAT,0x45483,ED,3A,approved_battle_answer_reencode
C1/SC031.DAT,0x45484,95,09,approved_battle_answer_reencode
C1/SC031.DAT,0x45600,DF,DD,approved_battle_answer_reencode
C1/SC031.DAT,0x45601,85,3B,approved_battle_answer_reencode
