member,body,slot,disk_id,meta_offset,before_meta,after_meta,before_resume,after_resume,structural_callers
C1/SC011.DAT,0x46F0E,8,0x89,0x4547F,12,14,E6 01,E5 03,1
C1/SC011.DAT,0x46F74,11,0x8C,0x455FF,10,12,E6 01,E5 03,1
C1/SC021.DAT,0x46F0E,8,0x89,0x4547F,12,14,E6 01,E5 03,1
C1/SC021.DAT,0x46F74,11,0x8C,0x455FF,10,12,E6 01,E5 03,1
C1/SC031.DAT,0x46F0E,8,0x89,0x4547F,12,14,E6 01,E5 03,1
C1/SC031.DAT,0x46F74,11,0x8C,0x455FF,10,12,E6 01,E5 03,1
C1/SC041.DAT,0x46F0E,37,0xA6,0x462FF,12,14,E6 01,E5 03,1
C1/SC041.DAT,0x46F74,40,0xAA,0x4647F,10,12,E6 01,E5 03,1
C1/SC051.DAT,0x46F0E,8,0x89,0x4547F,12,14,E6 01,E5 03,1
C1/SC051.DAT,0x46F74,11,0x8C,0x455FF,10,12,E6 01,E5 03,1
C1/SC061.DAT,0x46F0E,13,0x8E,0x456FF,12,14,E6 01,E5 03,1
C1/SC061.DAT,0x46F74,16,0x91,0x4587F,10,12,E6 01,E5 03,1
C1/SC081.DAT,0x46F70,12,0x8D,0x4567F,10,12,E6 01,E5 03,1
C2/SC0A1.DAT,0x46F00,6,0x87,0x4537F,12,14,E6 01,E5 03,1
C2/SC0A1.DAT,0x46F66,9,0x8A,0x454FF,10,12,E6 01,E5 03,1
