member,offset,before,after,purpose
C1/SC011.DAT,0x4547F,0C,0E,choice_completion_skip_redundant_e6
C1/SC011.DAT,0x455FF,0A,0C,choice_completion_skip_redundant_e6
C1/SC021.DAT,0x4547F,0C,0E,choice_completion_skip_redundant_e6
C1/SC021.DAT,0x455FF,0A,0C,choice_completion_skip_redundant_e6
C1/SC031.DAT,0x4547F,0C,0E,choice_completion_skip_redundant_e6
C1/SC031.DAT,0x455FF,0A,0C,choice_completion_skip_redundant_e6
C1/SC041.DAT,0x462FF,0C,0E,choice_completion_skip_redundant_e6
C1/SC041.DAT,0x4647F,0A,0C,choice_completion_skip_redundant_e6
C1/SC051.DAT,0x4547F,0C,0E,choice_completion_skip_redundant_e6
C1/SC051.DAT,0x455FF,0A,0C,choice_completion_skip_redundant_e6
C1/SC061.DAT,0x456FF,0C,0E,choice_completion_skip_redundant_e6
C1/SC061.DAT,0x4587F,0A,0C,choice_completion_skip_redundant_e6
C1/SC081.DAT,0x4567F,0A,0C,choice_completion_skip_redundant_e6
C2/SC0A1.DAT,0x4537F,0C,0E,choice_completion_skip_redundant_e6
C2/SC0A1.DAT,0x454FF,0A,0C,choice_completion_skip_redundant_e6
PSX.EXE,0x2060,87,64,pre_drawot_cursor_refresh_gate
PSX.EXE,0x2061,DB,3F,pre_drawot_cursor_refresh_gate
PSX.EXE,0x2062,05,06,pre_drawot_cursor_refresh_gate
PSX.EXE,0x3E14,22,1F,restore_stock_range_initializer
PSX.EXE,0x3E15,FD,80,restore_stock_range_initializer
PSX.EXE,0x3E16,07,11,restore_stock_range_initializer
PSX.EXE,0x3E17,0C,3C,restore_stock_range_initializer
PSX.EXE,0x3E18,00,BC,restore_stock_range_initializer
PSX.EXE,0x3E19,00,52,restore_stock_range_initializer
PSX.EXE,0x3E1A,00,31,restore_stock_range_initializer
PSX.EXE,0x3E1B,00,26,restore_stock_range_initializer
PSX.EXE,0x50DF4,00,09,w16_bottom_help_y_minus_1
PSX.EXE,0x50DF5,00,74,w16_bottom_help_y_minus_1
PSX.EXE,0x50DF6,00,06,w16_bottom_help_y_minus_1
PSX.EXE,0x50DF7,00,0C,w16_bottom_help_y_minus_1
PSX.EXE,0x50DF8,2E,00,w16_bottom_help_y_minus_1
PSX.EXE,0x50DFA,A2,00,w16_bottom_help_y_minus_1
PSX.EXE,0x50DFB,A4,00,w16_bottom_help_y_minus_1
PSX.EXE,0x50EFC,0B,EB,restore_stock_e7_y
PSX.EXE,0x50EFD,74,01,restore_stock_e7_y
PSX.EXE,0x50EFE,06,05,restore_stock_e7_y
PSX.EXE,0x50EFF,0C,34,restore_stock_e7_y
PSX.EXE,0x51FB0,0A,0B,restore_v339_help_producer
PSX.EXE,0x75590,00,1F,cursor_active_owner_gate
PSX.EXE,0x75591,00,80,cursor_active_owner_gate
PSX.EXE,0x75592,00,08,cursor_active_owner_gate
PSX.EXE,0x75593,00,3C,cursor_active_owner_gate
PSX.EXE,0x75594,00,58,cursor_active_owner_gate
PSX.EXE,0x75595,00,E0,cursor_active_owner_gate
PSX.EXE,0x75596,00,09,cursor_active_owner_gate
PSX.EXE,0x75597,00,8D,cursor_active_owner_gate
PSX.EXE,0x75598,00,24,cursor_active_owner_gate
PSX.EXE,0x75599,00,E0,cursor_active_owner_gate
PSX.EXE,0x7559A,00,0A,cursor_active_owner_gate
PSX.EXE,0x7559B,00,95,cursor_active_owner_gate
PSX.EXE,0x7559C,00,1F,cursor_active_owner_gate
PSX.EXE,0x7559D,00,80,cursor_active_owner_gate
PSX.EXE,0x7559E,00,0B,cursor_active_owner_gate
PSX.EXE,0x7559F,00,3C,cursor_active_owner_gate
PSX.EXE,0x755A0,00,BC,cursor_active_owner_gate
PSX.EXE,0x755A1,00,52,cursor_active_owner_gate
PSX.EXE,0x755A2,00,6B,cursor_active_owner_gate
PSX.EXE,0x755A3,00,25,cursor_active_owner_gate
