section,index,ram,word
e7_w16,0,0x8019D000,0x2C68000F
e7_w16,1,0x8019D004,0x34024114
e7_w16,2,0x8019D008,0x00621006
e7_w16,3,0x8019D00C,0x01024024
e7_w16,4,0x8019D010,0x11000002
e7_w16,5,0x8019D014,0x34020082
e7_w16,6,0x8019D018,0x340200E4
e7_w16,7,0x8019D01C,0x0805ADB4
e7_w16,8,0x8019D020,0xA2020029
e7_w16,9,0x8019D024,0x3C08801F
e7_w16,10,0x8019D028,0x25080E18
e7_w16,11,0x8019D02C,0x14C80004
e7_w16,12,0x8019D030,0x340800D6
e7_w16,13,0x8019D034,0x14480002
e7_w16,14,0x8019D038,0x00000000
e7_w16,15,0x8019D03C,0x2442FFFF
e7_w16,16,0x8019D040,0x03E00008
e7_w16,17,0x8019D044,0xA4A2002E
cursor_gate,0,0x8018FD90,0x3C08801F
cursor_gate,1,0x8018FD94,0x8D09E058
cursor_gate,2,0x8018FD98,0x950AE024
cursor_gate,3,0x8018FD9C,0x3C0B801F
cursor_gate,4,0x8018FDA0,0x256B52BC
cursor_gate,5,0x8018FDA4,0x152B0005
cursor_gate,6,0x8018FDA8,0x00000000
cursor_gate,7,0x8018FDAC,0x15400003
cursor_gate,8,0x8018FDB0,0xAFA4FFE8
cursor_gate,9,0x8018FDB4,0x0807FD22
cursor_gate,10,0x8018FDB8,0x00000000
cursor_gate,11,0x8018FDBC,0x0805DB87
cursor_gate,12,0x8018FDC0,0x00000000
cursor_epilogue,0,0x801FF5A8,0x8FA401B8
cursor_epilogue,1,0x801FF5AC,0x8FB401BC
cursor_epilogue,2,0x801FF5B0,0x0C05DB87
cursor_epilogue,3,0x801FF5B4,0x8FB301C0
cursor_epilogue,4,0x801FF5B8,0x8FBF01CC
cursor_epilogue,5,0x801FF5BC,0x8FB201C4
cursor_epilogue,6,0x801FF5C0,0x8FB001C8
cursor_epilogue,7,0x801FF5C4,0x03E00008
cursor_epilogue,8,0x801FF5C8,0x27BD01D0
