member,offset,before,after,reason
PSX.EXE,0x2060,64,87,frame_DrawOT_call
PSX.EXE,0x2061,3F,DB,frame_DrawOT_call
PSX.EXE,0x2062,06,05,frame_DrawOT_call
PSX.EXE,0x3E14,1F,22,range_initializer
PSX.EXE,0x3E15,80,FD,range_initializer
PSX.EXE,0x3E16,11,07,range_initializer
PSX.EXE,0x3E17,3C,0C,range_initializer
PSX.EXE,0x3E18,BC,00,range_initializer
PSX.EXE,0x3E19,52,00,range_initializer
PSX.EXE,0x3E1A,31,00,range_initializer
PSX.EXE,0x3E1B,26,00,range_initializer
PSX.EXE,0x75590,1F,00,pre_DrawOT_cursor_gate
PSX.EXE,0x75591,80,00,pre_DrawOT_cursor_gate
PSX.EXE,0x75592,08,00,pre_DrawOT_cursor_gate
PSX.EXE,0x75593,3C,00,pre_DrawOT_cursor_gate
PSX.EXE,0x75594,58,00,pre_DrawOT_cursor_gate
PSX.EXE,0x75595,E0,00,pre_DrawOT_cursor_gate
PSX.EXE,0x75596,09,00,pre_DrawOT_cursor_gate
PSX.EXE,0x75597,8D,00,pre_DrawOT_cursor_gate
PSX.EXE,0x75598,24,00,pre_DrawOT_cursor_gate
PSX.EXE,0x75599,E0,00,pre_DrawOT_cursor_gate
PSX.EXE,0x7559A,0A,00,pre_DrawOT_cursor_gate
PSX.EXE,0x7559B,95,00,pre_DrawOT_cursor_gate
PSX.EXE,0x7559C,1F,00,pre_DrawOT_cursor_gate
PSX.EXE,0x7559D,80,00,pre_DrawOT_cursor_gate
PSX.EXE,0x7559E,0B,00,pre_DrawOT_cursor_gate
PSX.EXE,0x7559F,3C,00,pre_DrawOT_cursor_gate
PSX.EXE,0x755A0,BC,00,pre_DrawOT_cursor_gate
PSX.EXE,0x755A1,52,00,pre_DrawOT_cursor_gate
PSX.EXE,0x755A2,6B,00,pre_DrawOT_cursor_gate
PSX.EXE,0x755A3,25,00,pre_DrawOT_cursor_gate
PSX.EXE,0x755A4,05,00,pre_DrawOT_cursor_gate
PSX.EXE,0x755A6,2B,00,pre_DrawOT_cursor_gate
PSX.EXE,0x755A7,15,00,pre_DrawOT_cursor_gate
PSX.EXE,0x755AC,03,00,pre_DrawOT_cursor_gate
PSX.EXE,0x755AE,40,00,pre_DrawOT_cursor_gate
PSX.EXE,0x755AF,15,00,pre_DrawOT_cursor_gate
PSX.EXE,0x755B0,E8,00,pre_DrawOT_cursor_gate
PSX.EXE,0x755B1,FF,00,pre_DrawOT_cursor_gate
PSX.EXE,0x755B2,A4,00,pre_DrawOT_cursor_gate
PSX.EXE,0x755B3,AF,00,pre_DrawOT_cursor_gate
PSX.EXE,0x755B4,22,00,pre_DrawOT_cursor_gate
PSX.EXE,0x755B5,FD,00,pre_DrawOT_cursor_gate
PSX.EXE,0x755B6,07,00,pre_DrawOT_cursor_gate
PSX.EXE,0x755B7,08,00,pre_DrawOT_cursor_gate
PSX.EXE,0x755BC,87,00,pre_DrawOT_cursor_gate
PSX.EXE,0x755BD,DB,00,pre_DrawOT_cursor_gate
PSX.EXE,0x755BE,05,00,pre_DrawOT_cursor_gate
PSX.EXE,0x755BF,08,00,pre_DrawOT_cursor_gate
PSX.EXE,0x8F0D0,B8,1F,resident_uploader_epilogue
PSX.EXE,0x8F0D1,01,80,resident_uploader_epilogue
PSX.EXE,0x8F0D2,A4,11,resident_uploader_epilogue
PSX.EXE,0x8F0D3,8F,3C,resident_uploader_epilogue
PSX.EXE,0x8F0D5,01,52,resident_uploader_epilogue
PSX.EXE,0x8F0D6,B4,31,resident_uploader_epilogue
PSX.EXE,0x8F0D7,8F,26,resident_uploader_epilogue
PSX.EXE,0x8F0D8,87,CC,resident_uploader_epilogue
PSX.EXE,0x8F0D9,DB,01,resident_uploader_epilogue
PSX.EXE,0x8F0DA,05,BF,resident_uploader_epilogue
PSX.EXE,0x8F0DB,0C,8F,resident_uploader_epilogue
PSX.EXE,0x8F0DC,C0,BC,resident_uploader_epilogue
PSX.EXE,0x8F0DE,B3,B4,resident_uploader_epilogue
PSX.EXE,0x8F0E0,CC,C0,resident_uploader_epilogue
PSX.EXE,0x8F0E2,BF,B3,resident_uploader_epilogue
