state,header,ordinal,packet_address,x,y,u,v,w,h,clut,plane,physical_index,char,command_word,nonzero_packet
1,0x801F031C,5,0x801EFDA0,94,120,0,0,16,16,0x7FC2,2,2,이,0x041EFD6C,1
1,0x801F031C,6,0x801EFDD4,108,120,0,0,16,16,0x7FC1,1,1,터,0x041EFDA0,1
1,0x801F031C,7,0x801EFE08,122,120,208,0,16,16,0x7FC1,1,53,를,0x041EFDD4,1
1,0x801F031C,8,0x801EFE3C,136,120,160,32,16,16,0x7FC0,0,160, ,0x041EFE08,1
1,0x801F031C,9,0x801EFE70,142,120,0,80,16,16,0x7FC2,2,302,선,0x041EFE3C,1
1,0x801F031C,10,0x801EFEA4,156,120,160,224,16,16,0x7FC3,3,883,택,0x041EFE70,1
1,0x801F031C,11,0x801EFED8,170,120,96,0,16,16,0x7FC0,0,24,하,0x041EFEA4,1
1,0x801F031C,12,0x801EFF0C,184,120,64,32,16,16,0x7FC3,3,139,세,0x041EFED8,1
1,0x801F031C,13,0x801EFF40,198,120,160,0,16,16,0x7FC3,3,43,요,0x041EFF0C,1
1,0x801F031C,14,0x801EFF74,204,120,176,0,16,16,0x7FC0,0,44,습,0x041EFF40,1
1,0x801F031C,15,0x801EFFA8,218,120,16,0,16,16,0x7FC2,2,6,니,0x041EFF74,1
1,0x801F031C,16,0x801EFFDC,232,120,0,0,16,16,0x7FC0,0,0,다,0x041EFFA8,1
1,0x801F031C,17,0x801F0010,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1
1,0x801F031C,18,0x801F0044,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1
1,0x801F031C,19,0x801F0078,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1
1,0x801F031C,20,0x801F00AC,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1
1,0x801F9D44,0,0x801BE9BC,56,48,240,176,16,16,0x7FC3,3,723,앙,0x041F072C,1
1,0x801F9D44,1,0x801BE9F0,80,48,48,64,16,16,0x7FC3,3,255,저,0x041BE9BC,1
1,0x801F9D44,2,0x801BEA24,94,48,96,16,16,16,0x7FC1,1,85,장,0x041BE9F0,1
1,0x801F9D44,3,0x801BEA58,108,48,160,32,16,16,0x7FC0,0,160, ,0x041BEA24,1
1,0x801F9D44,4,0x801BEA8C,114,48,32,32,16,16,0x7FC0,0,128,데,0x041BEA58,1
1,0x801F9D44,5,0x801BEAC0,128,48,0,0,16,16,0x7FC2,2,2,이,0x041BEA8C,1
1,0x801F9D44,6,0x801BEAF4,142,48,0,0,16,16,0x7FC1,1,1,터,0x041BEAC0,1
1,0x801F9D44,7,0x801BEB28,156,48,32,0,16,16,0x7FC3,3,11,가,0x041BEAF4,1
1,0x801F9D44,8,0x801BEB5C,170,48,160,32,16,16,0x7FC0,0,160, ,0x041BEB28,1
1,0x801F9D44,9,0x801BEB90,176,48,208,16,16,16,0x7FC0,0,112,없,0x041BEB5C,1
1,0x801F9D44,10,0x801BEBC4,190,48,176,0,16,16,0x7FC0,0,44,습,0x041BEB90,1
1,0x801F9D44,11,0x801BEBF8,204,48,16,0,16,16,0x7FC2,2,6,니,0x041BEBC4,1
1,0x801F9D44,12,0x801BEC2C,218,48,0,0,16,16,0x7FC0,0,0,다,0x041BEBF8,1
1,0x801F9D44,13,0x801BEC60,56,64,240,192,16,16,0x7FC0,0,780,<780>,0x041BEC2C,1
1,0x801F9D44,14,0x801BEC94,80,64,48,64,16,16,0x7FC3,3,255,저,0x041BEC60,1
1,0x801F9D44,15,0x801BECC8,94,64,96,16,16,16,0x7FC1,1,85,장,0x041BEC94,1
1,0x801F9D88,0,0x801BF6BC,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1
1,0x801F9D88,1,0x801BF6F0,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1
1,0x801F9D88,2,0x801BF724,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1
1,0x801F9D88,3,0x801BF758,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1
1,0x801F9D88,4,0x801BF78C,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1
1,0x801F9D88,5,0x801BF7C0,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1
1,0x801F9D88,6,0x801BF7F4,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1
1,0x801F9D88,7,0x801BF828,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1
1,0x801F9D88,8,0x801BF85C,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1
1,0x801F9D88,9,0x801BF890,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1
1,0x801F9D88,10,0x801BF8C4,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1
1,0x801F9D88,11,0x801BF8F8,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1
1,0x801F9D88,12,0x801BF92C,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1
1,0x801F9D88,13,0x801BF960,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1
1,0x801F9D88,14,0x801BF994,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1
1,0x801F9D88,15,0x801BF9C8,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1
