member,offset,before,after,purpose
4/S4031.DAT,0x46110,E9,DE,stone_circle_equal_width_glyph_fix
4/S4031.DAT,0x46111,88,01,stone_circle_equal_width_glyph_fix
4/S4031.DAT,0x47F7D,DD,D5,standardize_ancient_record_first_line
4/S4031.DAT,0x47F7E,04,A1,standardize_ancient_record_first_line
4/S4031.DAT,0x47F7F,A1,7E,standardize_ancient_record_first_line
4/S4031.DAT,0x47F80,7E,A1,standardize_ancient_record_first_line
4/S4031.DAT,0x47F81,A1,1A,standardize_ancient_record_first_line
4/S4031.DAT,0x47F82,1A,DD,standardize_ancient_record_first_line
4/S4031.DAT,0x47F83,DD,31,standardize_ancient_record_first_line
4/S4031.DAT,0x47F84,31,0E,standardize_ancient_record_first_line
4/S4031.DAT,0x47F85,0E,A1,standardize_ancient_record_first_line
4/S4031.DAT,0x47F86,A1,33,standardize_ancient_record_first_line
4/S4031.DAT,0x47F87,33,DD,standardize_ancient_record_first_line
4/S4031.DAT,0x47F88,DD,70,standardize_ancient_record_first_line
4/S4031.DAT,0x47F89,70,03,standardize_ancient_record_first_line
4/S4031.DAT,0x47F8A,DD,A1,standardize_ancient_record_first_line
4/S4031.DAT,0x47F8B,01,DD,standardize_ancient_record_first_line
4/S4031.DAT,0x47F8C,A1,D9,standardize_ancient_record_first_line
4/S4031.DAT,0x47F8D,DD,A1,standardize_ancient_record_first_line
4/S4031.DAT,0x47F8E,D9,1C,standardize_ancient_record_first_line
4/S4031.DAT,0x47F8F,A1,37,standardize_ancient_record_first_line
4/S4031.DAT,0x47F90,DE,0F,standardize_ancient_record_first_line
4/S4031.DAT,0x47F91,4E,A1,standardize_ancient_record_first_line
4/S4031.DAT,0x47F92,A1,24,standardize_ancient_record_first_line
4/S4031.DAT,0x47F93,4F,DD,standardize_ancient_record_first_line
4/S4031.DAT,0x47F94,24,72,standardize_ancient_record_first_line
4/S4031.DAT,0x47F95,06,26,standardize_ancient_record_first_line
4/S4031.DAT,0x47F9F,0F,0D,standardize_ancient_record_first_line
4/S4031.DAT,0x48519,A9,02,standardize_ancient_record_second_line
4/S4031.DAT,0x4851B,3D,1C,standardize_ancient_record_second_line
4/S4031.DAT,0x4851C,DD,37,standardize_ancient_record_second_line
4/S4031.DAT,0x4851D,53,0F,standardize_ancient_record_second_line
4/S4031.DAT,0x4851F,4F,24,standardize_ancient_record_second_line
4/S4031.DAT,0x48520,24,DD,standardize_ancient_record_second_line
4/S4031.DAT,0x48521,36,72,standardize_ancient_record_second_line
4/S4031.DAT,0x48522,A1,0D,standardize_ancient_record_second_line
4/S4031.DAT,0x48523,85,A1,standardize_ancient_record_second_line
4/S4031.DAT,0x48524,0E,DD,standardize_ancient_record_second_line
4/S4031.DAT,0x48525,A1,56,standardize_ancient_record_second_line
4/S4031.DAT,0x48526,6F,28,standardize_ancient_record_second_line
4/S4031.DAT,0x48527,28,0F,standardize_ancient_record_second_line
4/S4031.DAT,0x48528,21,A1,standardize_ancient_record_second_line
4/S4041.DAT,0x45200,00,72,timed_stone_message_slot4
4/S4041.DAT,0x45201,00,0E,timed_stone_message_slot4
4/S4041.DAT,0x45202,00,A1,timed_stone_message_slot4
4/S4041.DAT,0x45203,00,DE,timed_stone_message_slot4
4/S4041.DAT,0x45204,00,04,timed_stone_message_slot4
4/S4041.DAT,0x45205,00,DD,timed_stone_message_slot4
4/S4041.DAT,0x45206,00,26,timed_stone_message_slot4
4/S4041.DAT,0x45207,00,A1,timed_stone_message_slot4
4/S4041.DAT,0x45208,00,24,timed_stone_message_slot4
4/S4041.DAT,0x45209,00,DD,timed_stone_message_slot4
4/S4041.DAT,0x4520A,00,52,timed_stone_message_slot4
4/S4041.DAT,0x4520B,00,0D,timed_stone_message_slot4
4/S4041.DAT,0x4520C,00,A1,timed_stone_message_slot4
4/S4041.DAT,0x4520D,00,09,timed_stone_message_slot4
4/S4041.DAT,0x4520E,00,06,timed_stone_message_slot4
4/S4041.DAT,0x4520F,00,A1,timed_stone_message_slot4
4/S4041.DAT,0x45210,00,28,timed_stone_message_slot4
4/S4041.DAT,0x45211,00,1A,timed_stone_message_slot4
4/S4041.DAT,0x45212,00,B3,timed_stone_message_slot4
4/S4041.DAT,0x45213,00,A1,timed_stone_message_slot4
4/S4041.DAT,0x45214,00,15,timed_stone_message_slot4
4/S4041.DAT,0x45215,00,A1,timed_stone_message_slot4
4/S4041.DAT,0x45216,00,74,timed_stone_message_slot4
4/S4041.DAT,0x45217,00,4E,timed_stone_message_slot4
4/S4041.DAT,0x45218,00,DD,timed_stone_message_slot4
4/S4041.DAT,0x45219,00,04,timed_stone_message_slot4
4/S4041.DAT,0x4521A,00,A1,timed_stone_message_slot4
4/S4041.DAT,0x4521B,00,47,timed_stone_message_slot4
4/S4041.DAT,0x4521C,00,A1,timed_stone_message_slot4
4/S4041.DAT,0x4521D,00,DE,timed_stone_message_slot4
4/S4041.DAT,0x4521E,00,90,timed_stone_message_slot4
4/S4041.DAT,0x4521F,00,0E,timed_stone_message_slot4
4/S4041.DAT,0x45220,00,A1,timed_stone_message_slot4
4/S4041.DAT,0x45221,00,DE,timed_stone_message_slot4
4/S4041.DAT,0x45222,00,17,timed_stone_message_slot4
4/S4041.DAT,0x45223,00,DE,timed_stone_message_slot4
4/S4041.DAT,0x45224,00,A0,timed_stone_message_slot4
4/S4041.DAT,0x45225,00,19,timed_stone_message_slot4
4/S4041.DAT,0x45226,00,DD,timed_stone_message_slot4
4/S4041.DAT,0x45227,00,05,timed_stone_message_slot4
4/S4041.DAT,0x45228,00,21,timed_stone_message_slot4
4/S4041.DAT,0x4527F,00,23,timed_stone_message_slot4
4/S4041.DAT,0x47AA4,72,E2,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47AA5,0E,85,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47AA6,A1,DD,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47AA7,DE,B9,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47AA8,04,39,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47AA9,DD,1E,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47AAA,26,DD,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47AAB,A1,F5,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47AAC,24,DE,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47AAD,DD,FA,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47AAE,52,2F,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47AAF,0D,DE,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47AB0,A1,79,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47AB1,09,51,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47AB2,06,1E,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47AB3,A1,7E,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47AB4,28,E6,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47AB5,1A,01,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47AB6,B3,E6,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47AB7,A1,01,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47AB8,15,41,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47AB9,A1,1C,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47ABA,74,61,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47ABB,4E,2F,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47ABC,DD,38,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47ABD,04,29,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47ABE,A1,21,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47ABF,47,BE,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47AC0,A1,2A,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47AC1,DE,DD,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47AC2,90,E2,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47AC3,0E,23,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47AC4,A1,2E,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47AC5,DE,1F,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47AC6,17,46,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47AC7,DE,3D,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47AC8,A0,37,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47AC9,19,E4,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47ACA,DD,79,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47ACB,05,E4,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47ACC,21,3D,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47ACD,A1,E4,restore_pristine_tail_and_resume_controls
4/S4041.DAT,0x47ACE,A1,3D,restore_pristine_tail_and_resume_controls
PSX.EXE,0x2060,87,64,frame_predrawot_gate
PSX.EXE,0x2061,DB,3F,frame_predrawot_gate
PSX.EXE,0x2062,05,06,frame_predrawot_gate
PSX.EXE,0x3E14,22,1F,restore_stock_range_initializer
PSX.EXE,0x3E15,FD,80,restore_stock_range_initializer
PSX.EXE,0x3E16,07,11,restore_stock_range_initializer
PSX.EXE,0x3E17,0C,3C,restore_stock_range_initializer
PSX.EXE,0x3E18,00,BC,restore_stock_range_initializer
PSX.EXE,0x3E19,00,52,restore_stock_range_initializer
PSX.EXE,0x3E1A,00,31,restore_stock_range_initializer
PSX.EXE,0x3E1B,00,26,restore_stock_range_initializer
PSX.EXE,0x75590,00,1F,active_owner_cursor_gate
PSX.EXE,0x75591,00,80,active_owner_cursor_gate
PSX.EXE,0x75592,00,08,active_owner_cursor_gate
PSX.EXE,0x75593,00,3C,active_owner_cursor_gate
PSX.EXE,0x75594,00,58,active_owner_cursor_gate
PSX.EXE,0x75595,00,E0,active_owner_cursor_gate
PSX.EXE,0x75596,00,09,active_owner_cursor_gate
PSX.EXE,0x75597,00,8D,active_owner_cursor_gate
PSX.EXE,0x75598,00,24,active_owner_cursor_gate
PSX.EXE,0x75599,00,E0,active_owner_cursor_gate
PSX.EXE,0x7559A,00,0A,active_owner_cursor_gate
PSX.EXE,0x7559B,00,95,active_owner_cursor_gate
PSX.EXE,0x7559C,00,1F,active_owner_cursor_gate
PSX.EXE,0x7559D,00,80,active_owner_cursor_gate
PSX.EXE,0x7559E,00,0B,active_owner_cursor_gate
PSX.EXE,0x7559F,00,3C,active_owner_cursor_gate
PSX.EXE,0x755A0,00,BC,active_owner_cursor_gate
PSX.EXE,0x755A1,00,52,active_owner_cursor_gate
PSX.EXE,0x755A2,00,6B,active_owner_cursor_gate
PSX.EXE,0x755A3,00,25,active_owner_cursor_gate
PSX.EXE,0x755A4,00,05,active_owner_cursor_gate
PSX.EXE,0x755A6,00,2B,active_owner_cursor_gate
PSX.EXE,0x755A7,00,15,active_owner_cursor_gate
PSX.EXE,0x755AC,00,03,active_owner_cursor_gate
PSX.EXE,0x755AE,00,40,active_owner_cursor_gate
PSX.EXE,0x755AF,00,15,active_owner_cursor_gate
PSX.EXE,0x755B0,00,E8,active_owner_cursor_gate
PSX.EXE,0x755B1,00,FF,active_owner_cursor_gate
PSX.EXE,0x755B2,00,A4,active_owner_cursor_gate
PSX.EXE,0x755B3,00,AF,active_owner_cursor_gate
PSX.EXE,0x755B4,00,22,active_owner_cursor_gate
PSX.EXE,0x755B5,00,FD,active_owner_cursor_gate
PSX.EXE,0x755B6,00,07,active_owner_cursor_gate
PSX.EXE,0x755B7,00,08,active_owner_cursor_gate
PSX.EXE,0x755BC,00,87,active_owner_cursor_gate
PSX.EXE,0x755BD,00,DB,active_owner_cursor_gate
PSX.EXE,0x755BE,00,05,active_owner_cursor_gate
PSX.EXE,0x755BF,00,08,active_owner_cursor_gate
PSX.EXE,0x8F0D0,1F,B8,uploader_drawot_epilogue
PSX.EXE,0x8F0D1,80,01,uploader_drawot_epilogue
PSX.EXE,0x8F0D2,11,A4,uploader_drawot_epilogue
PSX.EXE,0x8F0D3,3C,8F,uploader_drawot_epilogue
PSX.EXE,0x8F0D5,52,01,uploader_drawot_epilogue
PSX.EXE,0x8F0D6,31,B4,uploader_drawot_epilogue
PSX.EXE,0x8F0D7,26,8F,uploader_drawot_epilogue
PSX.EXE,0x8F0D8,CC,87,uploader_drawot_epilogue
PSX.EXE,0x8F0D9,01,DB,uploader_drawot_epilogue
PSX.EXE,0x8F0DA,BF,05,uploader_drawot_epilogue
PSX.EXE,0x8F0DB,8F,0C,uploader_drawot_epilogue
PSX.EXE,0x8F0DC,BC,C0,uploader_drawot_epilogue
