state,header,base,limit,count,x,y,D,E,F,line_extra,source_pointer,visible,framebuffer_ratio,expected_ink,text
1,0x80118AEC,0x801189B4,6,0,7,144,137,17,128,8,0x00000014,0,0.000000,0,
1,0x801F031C,0x801EFC9C,32,5,187,120,14,16,2,0,0x8019BE7E,0,0.000000,228,니르 평원
1,0x801F0E18,0x801F0798,32,19,194,122,14,16,2,0,0x8019C8E1,0,0.000000,701,저장하시겠습니까? / 예      아니요
1,0x801F1DB4,0x801F1A74,16,6,155,178,14,16,2,0,0x8019BAF3,0,0.000000,267,치유의 하프
1,0x801F9D44,0x801BE9BC,64,27,190,64,14,16,2,0,0x80115F91,1,1.000000,1055,싸우게 되는데 괜찮으려나<222> /   괜찮다 /   그만두마
1,0x801F9D88,0x801BF6BC,64,0,94,162,14,16,2,0,0x80116BC5,0,0.000000,0,
2,0x801F031C,0x801EFC9C,32,8,208,120,14,16,2,0,0x8019AB9C,0,0.000000,373,아라라토스 공항
2,0x801F0E18,0x801F0798,32,19,194,122,14,16,2,0,0x8019C8E1,0,0.111270,701,저장하시겠습니까? / 예      아니요
2,0x801F1DB4,0x801F1A74,16,6,155,178,14,16,2,0,0x8019BAF3,0,0.000000,267,치유의 하프
2,0x801F9D44,0x801BE9BC,64,13,260,32,14,16,2,0,0x80117119,1,1.000000,548,이쪽도 장사니까 말이야.
2,0x801F9D88,0x801BF6BC,64,0,94,162,14,16,2,0,0x80116D7F,0,0.000000,0,
3,0x801F031C,0x801EFC9C,32,8,208,120,14,16,2,0,0x8019AB9C,0,0.000000,373,아라라토스 공항
3,0x801F0E18,0x801F0798,32,19,194,122,14,16,2,0,0x8019C8E1,0,0.111270,701,저장하시겠습니까? / 예      아니요
3,0x801F1DB4,0x801F1A74,16,6,155,178,14,16,2,0,0x8019BAF3,0,0.000000,267,치유의 하프
3,0x801F9D44,0x801BE9BC,64,33,136,64,14,16,2,0,0x8011717F,1,1.000000,1193,"장사가 뭐냐고, 이 자식아 / ! 한 대 맞아 볼래, 이 자 / 식아!"
3,0x801F9D88,0x801BF6BC,64,0,94,162,14,16,2,0,0x80116D7F,0,0.000000,0,
4,0x801F031C,0x801EFC9C,32,7,201,120,14,16,2,0,0x8019BD84,0,0.000000,331,촌가라의 가게
4,0x801F0E18,0x801F0798,32,19,194,122,14,16,2,0,0x8019C8E1,0,0.000000,701,저장하시겠습니까? / 예      아니요
4,0x801F1DB4,0x801F1A74,16,6,155,178,14,16,2,0,0x8019BAF3,0,0.000000,267,치유의 하프
4,0x801F9D44,0x801BE9BC,64,23,212,48,14,16,2,0,0x80116931,1,1.000000,960,"기다렸지, 기다렸지. 무엇 / 부터 이야기할까<222>"
4,0x801F9D88,0x801BF6BC,64,0,94,162,14,16,2,0,0x80116D7F,0,0.000000,0,
5,0x801F031C,0x801EFC9C,32,7,201,120,14,16,2,0,0x8019BD84,0,0.000000,331,촌가라의 가게
5,0x801F0E18,0x801F0798,32,19,194,122,14,16,2,0,0x8019C8E1,0,0.000000,701,저장하시겠습니까? / 예      아니요
5,0x801F1DB4,0x801F1A74,16,6,155,178,14,16,2,0,0x8019BAF3,0,0.000000,267,치유의 하프
5,0x801F9D44,0x801BE9BC,64,18,142,48,14,16,2,0,0x80116D52,1,1.000000,757,이제부터가 장사 이야기라는 /  거지<222>
5,0x801F9D88,0x801BF6BC,64,0,94,162,14,16,2,0,0x80116D7F,0,0.000000,0,
6,0x801F031C,0x801EFC9C,32,2,174,120,14,16,2,0,0x801FFF6B,1,1.000000,72, 향
6,0x801F0E18,0x801F0798,32,19,194,122,14,16,2,0,0x00000000,0,0.021398,701,저장하시겠습니까? / 예      아니요
6,0x801F9D44,0x801BE9BC,64,0,228,58,14,16,2,0,0x00000000,0,0.000000,0,
6,0x801F9D88,0x801BF6BC,64,0,0,0,14,16,2,0,0x00000000,0,0.000000,0,
7,0x801F031C,0x801EFC9C,32,2,174,120,14,16,2,0,0x801FFF6B,1,1.000000,125,어향
7,0x801F0E18,0x801F0798,32,0,0,0,14,16,2,0,0x8019B15E,0,0.000000,0,
7,0x801F1DB4,0x801F1A74,16,6,155,146,14,16,2,0,0x8019BAF3,0,0.000000,267,치유의 하프
7,0x801F9D44,0x801BE9BC,64,0,0,0,14,16,2,0,0x00000000,0,0.000000,0,
7,0x801F9D88,0x801BF6BC,64,0,0,0,14,16,2,0,0x00000000,0,0.000000,0,
8,0x801F031C,0x801EFC9C,32,2,174,120,14,16,2,0,0x801FFF6B,1,1.000000,102,그향
8,0x801F0E18,0x801F0798,32,8,122,214,14,16,2,0,0x8019B15E,0,0.000000,294,공격링 열기 / <None><None>
8,0x801F1DB4,0x801F1A74,16,5,260,40,14,16,2,0,0x8019BCFC,0,0.000000,231,전투의 북
8,0x801F9D44,0x801BE9BC,64,0,0,0,14,16,2,0,0x00000000,0,0.000000,0,
8,0x801F9D88,0x801BF6BC,64,0,0,0,14,16,2,0,0x00000000,0,0.000000,0,
9,0x801F031C,0x801EFC9C,32,8,184,109,14,16,2,0,0x8019ABFF,0,0.000000,369,상태 이상 회복
9,0x801F0E18,0x801F0798,32,5,80,214,14,16,2,0,0x8019AEAD,1,1.000000,255,대상 변경
9,0x801F1DB4,0x801F1A74,16,4,123,72,14,16,2,0,0x8019BECB,0,0.000000,219,리프레시
9,0x801F9D44,0x801BE9BC,128,28,294,30,14,16,2,0,0x00000000,1,1.000000,92,아크20      63/ 64      36/ 36
9,0x801F9D88,0x801BF6BC,64,0,0,0,14,16,2,0,0x00000000,0,0.000000,0,
