state,header,ordinal,packet_address,x,y,u,v,w,h,clut,plane,physical_index,char,coordinate_mode
1,0x801F031C,0,0x801EFC9C,125,120,16,0,16,16,0x7FC2,2,6,니,
1,0x801F031C,1,0x801EFCD0,139,120,192,16,16,16,0x7FC3,3,111,르,
1,0x801F031C,2,0x801EFD04,153,120,160,32,16,16,0x7FC0,0,160, ,
1,0x801F031C,3,0x801EFD38,159,120,176,128,16,16,0x7FC2,2,526,평,
1,0x801F031C,4,0x801EFD6C,173,120,0,32,16,16,0x7FC2,2,122,원,
1,0x801F0E18,0,0x801F0798,106,104,48,64,16,16,0x7FC3,3,255,저,
1,0x801F0E18,1,0x801F07CC,120,104,96,16,16,16,0x7FC1,1,85,장,
1,0x801F0E18,2,0x801F0800,134,104,96,0,16,16,0x7FC0,0,24,하,
1,0x801F0E18,3,0x801F0834,148,104,160,0,16,16,0x7FC0,0,40,시,
1,0x801F0E18,4,0x801F0868,162,104,80,16,16,16,0x7FC3,3,83,겠,
1,0x801F0E18,5,0x801F089C,176,104,176,0,16,16,0x7FC0,0,44,습,
1,0x801F0E18,6,0x801F08D0,190,104,16,0,16,16,0x7FC2,2,6,니,
1,0x801F0E18,7,0x801F0904,204,104,224,0,16,16,0x7FC2,2,58,까,
1,0x801F0E18,8,0x801F0938,218,104,112,48,16,16,0x7FC0,0,208,?,
1,0x801F0E18,9,0x801F096C,102,122,112,32,16,16,0x7FC2,2,150,예,
1,0x801F0E18,10,0x801F09A0,116,122,160,32,16,16,0x7FC0,0,160, ,
1,0x801F0E18,11,0x801F09D4,122,122,160,32,16,16,0x7FC0,0,160, ,
1,0x801F0E18,12,0x801F0A08,128,122,160,32,16,16,0x7FC0,0,160, ,
1,0x801F0E18,13,0x801F0A3C,134,122,160,32,16,16,0x7FC0,0,160, ,
1,0x801F0E18,14,0x801F0A70,140,122,160,32,16,16,0x7FC0,0,160, ,
1,0x801F0E18,15,0x801F0AA4,146,122,160,32,16,16,0x7FC0,0,160, ,
1,0x801F0E18,16,0x801F0AD8,152,122,32,0,16,16,0x7FC0,0,8,아,
1,0x801F0E18,17,0x801F0B0C,166,122,16,0,16,16,0x7FC2,2,6,니,
1,0x801F0E18,18,0x801F0B40,180,122,160,0,16,16,0x7FC3,3,43,요,
1,0x801F1DB4,0,0x801F1A74,75,178,32,64,16,16,0x7FC2,2,250,치,
1,0x801F1DB4,1,0x801F1AA8,89,178,64,32,16,16,0x7FC1,1,137,유,
1,0x801F1DB4,2,0x801F1ADC,103,178,48,0,16,16,0x7FC2,2,14,의,
1,0x801F1DB4,3,0x801F1B10,117,178,160,32,16,16,0x7FC0,0,160, ,
1,0x801F1DB4,4,0x801F1B44,123,178,96,0,16,16,0x7FC0,0,24,하,
1,0x801F1DB4,5,0x801F1B78,137,178,64,96,16,16,0x7FC0,0,376,프,
1,0x801F9D44,0,0x801BE9BC,94,32,224,48,16,16,0x7FC3,3,239,싸,
1,0x801F9D44,1,0x801BE9F0,108,32,0,16,16,16,0x7FC0,0,60,우,
1,0x801F9D44,2,0x801BEA24,122,32,16,16,16,16,0x7FC0,0,64,게,
1,0x801F9D44,3,0x801BEA58,136,32,160,32,16,16,0x7FC0,0,160, ,
1,0x801F9D44,4,0x801BEA8C,142,32,208,16,16,16,0x7FC2,2,114,되,
1,0x801F9D44,5,0x801BEAC0,156,32,16,0,16,16,0x7FC1,1,5,는,
1,0x801F9D44,6,0x801BEAF4,170,32,32,32,16,16,0x7FC0,0,128,데,
1,0x801F9D44,7,0x801BEB28,184,32,160,32,16,16,0x7FC0,0,160, ,
1,0x801F9D44,8,0x801BEB5C,190,32,144,64,16,16,0x7FC2,2,278,괜,
1,0x801F9D44,9,0x801BEB90,204,32,144,64,16,16,0x7FC1,1,277,찮,
1,0x801F9D44,10,0x801BEBC4,218,32,64,16,16,16,0x7FC1,1,77,으,
1,0x801F9D44,11,0x801BEBF8,232,32,224,0,16,16,0x7FC3,3,59,려,
1,0x801F9D44,12,0x801BEC2C,246,32,112,0,16,16,0x7FC1,1,29,나,
1,0x801F9D44,13,0x801BEC60,260,32,160,48,16,16,0x7FC2,2,222,<222>,
1,0x801F9D44,14,0x801BEC94,94,48,96,192,16,16,0x7FC2,2,746, ,
1,0x801F9D44,15,0x801BECC8,108,48,96,192,16,16,0x7FC2,2,746, ,
1,0x801F9D44,16,0x801BECFC,122,48,144,64,16,16,0x7FC2,2,278,괜,
1,0x801F9D44,17,0x801BED30,136,48,144,64,16,16,0x7FC1,1,277,찮,
1,0x801F9D44,18,0x801BED64,150,48,0,0,16,16,0x7FC0,0,0,다,
1,0x801F9D44,19,0x801BED98,94,64,96,192,16,16,0x7FC2,2,746, ,
1,0x801F9D44,20,0x801BEDCC,108,64,96,192,16,16,0x7FC2,2,746, ,
1,0x801F9D44,21,0x801BEE00,122,64,80,0,16,16,0x7FC0,0,20,그,
1,0x801F9D44,22,0x801BEE34,136,64,208,0,16,16,0x7FC3,3,55,만,
1,0x801F9D44,23,0x801BEE68,150,64,48,64,16,16,0x7FC0,0,252,두,
1,0x801F9D44,24,0x801BEE9C,164,64,32,16,16,16,0x7FC0,0,68,마,
1,0x801F9D44,25,0x801BEED0,178,64,160,32,16,16,0x7FC0,0,160, ,
1,0x801F9D44,26,0x801BEF04,184,64,160,32,16,16,0x7FC0,0,160, ,
2,0x801F031C,0,0x801EFC9C,104,120,32,0,16,16,0x7FC0,0,8,아,
2,0x801F031C,1,0x801EFCD0,118,120,80,32,16,16,0x7FC2,2,142,라,
2,0x801F031C,2,0x801EFD04,132,120,80,32,16,16,0x7FC2,2,142,라,
2,0x801F031C,3,0x801EFD38,146,120,32,32,16,16,0x7FC2,2,130,토,
2,0x801F031C,4,0x801EFD6C,160,120,176,0,16,16,0x7FC3,3,47,스,
2,0x801F031C,5,0x801EFDA0,174,120,160,32,16,16,0x7FC0,0,160, ,
2,0x801F031C,6,0x801EFDD4,180,120,208,48,16,16,0x7FC3,3,235,공,
2,0x801F031C,7,0x801EFE08,194,120,160,112,16,16,0x7FC1,1,461,항,
2,0x801F0E18,0,0x801F0798,106,104,48,64,16,16,0x7FC3,3,255,저,
2,0x801F0E18,1,0x801F07CC,120,104,96,16,16,16,0x7FC1,1,85,장,
2,0x801F0E18,2,0x801F0800,134,104,96,0,16,16,0x7FC0,0,24,하,
2,0x801F0E18,3,0x801F0834,148,104,160,0,16,16,0x7FC0,0,40,시,
2,0x801F0E18,4,0x801F0868,162,104,80,16,16,16,0x7FC3,3,83,겠,
2,0x801F0E18,5,0x801F089C,176,104,176,0,16,16,0x7FC0,0,44,습,
2,0x801F0E18,6,0x801F08D0,190,104,16,0,16,16,0x7FC2,2,6,니,
2,0x801F0E18,7,0x801F0904,204,104,224,0,16,16,0x7FC2,2,58,까,
2,0x801F0E18,8,0x801F0938,218,104,112,48,16,16,0x7FC0,0,208,?,
