state,header,ordinal,packet_address,x,y,u,v,w,h,clut,plane,physical_index,char,command_word,nonzero_packet,coordinate_mode
1,0x80118AEC,0,0x801189B4,8,145,16,0,146,0,0x0080,,,<None>,0x00B00040,1,
1,0x80118AEC,1,0x801189E8,16,84,16,0,52,0,0x0000,,,<None>,0x00930008,1,
1,0x80118AEC,2,0x80118A1C,24,104,16,0,105,0,0x0000,,,<None>,0x00360008,1,
1,0x80118AEC,3,0x80118A50,12,105,24,0,104,0,0x0008,,,<None>,0x006A0008,1,
1,0x80118AEC,4,0x80118A84,-30424,-32751,75,0,0,0,0x0004,,,<None>,0x00000000,1,
1,0x80118AEC,5,0x80118AB8,4,8,152,137,17,0,0x00B0,,,<None>,0x00000028,1,
1,0x801F031C,5,0x801EFDA0,94,120,48,64,16,16,0x7FC3,3,255,저,0x041EFD6C,1,
1,0x801F031C,6,0x801EFDD4,108,120,96,16,16,16,0x7FC1,1,85,장,0x041EFDA0,1,
1,0x801F031C,7,0x801EFE08,122,120,96,0,16,16,0x7FC0,0,24,하,0x041EFDD4,1,
1,0x801F031C,8,0x801EFE3C,136,120,96,0,16,16,0x7FC3,3,27,고,0x041EFE08,1,
1,0x801F031C,9,0x801EFE70,150,120,160,32,16,16,0x7FC0,0,160, ,0x041EFE3C,1,
1,0x801F031C,10,0x801EFEA4,156,120,112,0,16,16,0x7FC2,2,30,있,0x041EFE70,1,
1,0x801F031C,11,0x801EFED8,170,120,176,0,16,16,0x7FC0,0,44,습,0x041EFEA4,1,
1,0x801F031C,12,0x801EFF0C,184,120,16,0,16,16,0x7FC2,2,6,니,0x041EFED8,1,
1,0x801F031C,13,0x801EFF40,198,120,0,0,16,16,0x7FC0,0,0,다,0x041EFF0C,1,
1,0x801F031C,14,0x801EFF74,204,120,176,0,16,16,0x7FC0,0,44,습,0x041EFF40,1,
1,0x801F031C,15,0x801EFFA8,218,120,16,0,16,16,0x7FC2,2,6,니,0x041EFF74,1,
1,0x801F031C,16,0x801EFFDC,232,120,0,0,16,16,0x7FC0,0,0,다,0x041EFFA8,1,
1,0x801F031C,17,0x801F0010,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
1,0x801F031C,18,0x801F0044,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
1,0x801F031C,19,0x801F0078,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
1,0x801F031C,20,0x801F00AC,0,0,0,0,0,0,0x0000,,,<None>,0x04000000,1,
1,0x801F0E18,19,0x801F0B74,206,129,64,80,16,16,0x7FC3,3,319,작,0x041F0B40,1,
1,0x801F0E18,20,0x801F0BA8,220,129,32,64,16,16,0x7FC0,0,248,합,0x041F0B74,1,
1,0x801F0E18,21,0x801F0BDC,234,129,16,0,16,16,0x7FC2,2,6,니,0x041F0BA8,1,
1,0x801F0E18,22,0x801F0C10,248,129,0,0,16,16,0x7FC0,0,0,다,0x041F0BDC,1,
1,0x801F0E18,23,0x801F0C44,140,122,160,32,16,16,0x7FC0,0,160, ,0x041F0C10,1,
