member,offset,before,after,purpose
4/S4031.DAT,0x47F9F,0D,0E,안쪽을_to_안쪽에
4/S4031.DAT,0x48519,02,A9,좋아터_to_좋아!
4/S4031.DAT,0x48527,0F,21,찾자의_to_찾자.
PSX.EXE,0x7B760,64,AB,restore_v321_misclassified_numeric_table
PSX.EXE,0x7B784,64,AB,restore_v321_misclassified_numeric_table
PSX.EXE,0x7C005,64,AB,restore_skill_use_dispatch_pointer_byte
PSX.EXE,0x7EB54,64,AB,restore_v321_misclassified_numeric_table
PSX.EXE,0x7F94E,64,AB,restore_v321_misclassified_stride_3A_struct_field
PSX.EXE,0x7F988,64,AB,restore_v321_misclassified_stride_3A_struct_field
PSX.EXE,0x7F9C2,64,AB,restore_v321_misclassified_stride_3A_struct_field
PSX.EXE,0x7F9FC,64,AB,restore_v321_misclassified_stride_3A_struct_field
PSX.EXE,0x7FA36,64,AB,restore_v321_misclassified_stride_3A_struct_field
PSX.EXE,0x7FA70,64,AB,restore_v321_misclassified_stride_3A_struct_field
PSX.EXE,0x7FAAA,64,AB,restore_v321_misclassified_stride_3A_struct_field
PSX.EXE,0x7FAE4,64,AB,restore_v321_misclassified_stride_3A_struct_field
PSX.EXE,0x7FB1E,64,AB,restore_v321_misclassified_stride_3A_struct_field
PSX.EXE,0x7FB58,64,AB,restore_v321_misclassified_stride_3A_struct_field
PSX.EXE,0x7FB92,64,AB,restore_v321_misclassified_stride_3A_struct_field
PSX.EXE,0x7FBCC,64,AB,restore_v321_misclassified_stride_3A_struct_field
PSX.EXE,0x7FC06,64,AB,restore_v321_misclassified_stride_3A_struct_field
PSX.EXE,0x7FC40,64,AB,restore_v321_misclassified_stride_3A_struct_field
PSX.EXE,0x7FC7A,64,AB,restore_v321_misclassified_stride_3A_struct_field
PSX.EXE,0x7FCB4,64,AB,restore_v321_misclassified_stride_3A_struct_field
PSX.EXE,0x7FCEE,64,AB,restore_v321_misclassified_stride_3A_struct_field
PSX.EXE,0x7FD28,64,AB,restore_v321_misclassified_stride_3A_struct_field
PSX.EXE,0x7FD62,64,AB,restore_v321_misclassified_stride_3A_struct_field
PSX.EXE,0x7FD9C,64,AB,restore_v321_misclassified_stride_3A_struct_field
PSX.EXE,0x7FDD6,64,AB,restore_v321_misclassified_stride_3A_struct_field
PSX.EXE,0x7FE10,64,AB,restore_v321_misclassified_stride_3A_struct_field
PSX.EXE,0x7FE4A,64,AB,restore_v321_misclassified_stride_3A_struct_field
PSX.EXE,0x7FE84,64,AB,restore_v321_misclassified_stride_3A_struct_field
PSX.EXE,0x7FEBE,64,AB,restore_v321_misclassified_stride_3A_struct_field
PSX.EXE,0x7FEF8,64,AB,restore_v321_misclassified_stride_3A_struct_field
PSX.EXE,0x7FF32,64,AB,restore_v321_misclassified_stride_3A_struct_field
PSX.EXE,0x7FF6C,64,AB,restore_v321_misclassified_stride_3A_struct_field
PSX.EXE,0x7FFA6,64,AB,restore_v321_misclassified_stride_3A_struct_field
PSX.EXE,0x7FFE0,64,AB,restore_v321_misclassified_stride_3A_struct_field
PSX.EXE,0x80944,00,DD,write_live_pool_미르마나
PSX.EXE,0x80945,00,2F,write_live_pool_미르마나
PSX.EXE,0x80946,00,70,write_live_pool_미르마나
PSX.EXE,0x80947,00,45,write_live_pool_미르마나
PSX.EXE,0x80948,00,1E,write_live_pool_미르마나
PSX.EXE,0x80982,00,DD,write_live_pool_미르마나_공항
PSX.EXE,0x80983,00,2F,write_live_pool_미르마나_공항
PSX.EXE,0x80984,00,70,write_live_pool_미르마나_공항
PSX.EXE,0x80985,00,45,write_live_pool_미르마나_공항
PSX.EXE,0x80986,00,1E,write_live_pool_미르마나_공항
PSX.EXE,0x80987,00,A1,write_live_pool_미르마나_공항
PSX.EXE,0x80988,00,DD,write_live_pool_미르마나_공항
PSX.EXE,0x80989,00,10,write_live_pool_미르마나_공항
PSX.EXE,0x8098A,00,DD,write_live_pool_미르마나_공항
PSX.EXE,0x8098B,00,F2,write_live_pool_미르마나_공항
PSX.EXE,0x81A1F,00,DD,grow_in_place_미르마나_군본부
PSX.EXE,0x81A20,DE,2F,grow_in_place_미르마나_군본부
PSX.EXE,0x81A21,33,70,grow_in_place_미르마나_군본부
PSX.EXE,0x81E58,2A,82,repoint_미르마나_UI
PSX.EXE,0x81E59,C2,B1,repoint_미르마나_UI
PSX.EXE,0x81EEC,18,44,repoint_미르마나_UI
PSX.EXE,0x81EED,B0,B1,repoint_미르마나_UI
PSX.EXE,0x8219C,2A,82,repoint_미르마나_UI
PSX.EXE,0x8219D,C2,B1,repoint_미르마나_UI
PSX.EXE,0x821A0,20,1F,repoint_미르마나_UI
PSX.EXE,0x82926,4D,A1,느레벨_to_space_레벨
