offset,category,v320c,v321,v345,v346
0x7B760,numeric_table,AB,64,64,AB
0x7B784,numeric_table,AB,64,64,AB
0x7EB54,numeric_table,AB,64,64,AB
0x7C005,dispatcher_pointer,AB,64,64,AB
0x7F94E,stride_0x3A_struct_field,AB,64,64,AB
0x7F988,stride_0x3A_struct_field,AB,64,64,AB
0x7F9C2,stride_0x3A_struct_field,AB,64,64,AB
0x7F9FC,stride_0x3A_struct_field,AB,64,64,AB
0x7FA36,stride_0x3A_struct_field,AB,64,64,AB
0x7FA70,stride_0x3A_struct_field,AB,64,64,AB
0x7FAAA,stride_0x3A_struct_field,AB,64,64,AB
0x7FAE4,stride_0x3A_struct_field,AB,64,64,AB
0x7FB1E,stride_0x3A_struct_field,AB,64,64,AB
0x7FB58,stride_0x3A_struct_field,AB,64,64,AB
0x7FB92,stride_0x3A_struct_field,AB,64,64,AB
0x7FBCC,stride_0x3A_struct_field,AB,64,64,AB
0x7FC06,stride_0x3A_struct_field,AB,64,64,AB
0x7FC40,stride_0x3A_struct_field,AB,64,64,AB
0x7FC7A,stride_0x3A_struct_field,AB,64,64,AB
0x7FCB4,stride_0x3A_struct_field,AB,64,64,AB
0x7FCEE,stride_0x3A_struct_field,AB,64,64,AB
0x7FD28,stride_0x3A_struct_field,AB,64,64,AB
0x7FD62,stride_0x3A_struct_field,AB,64,64,AB
0x7FD9C,stride_0x3A_struct_field,AB,64,64,AB
0x7FDD6,stride_0x3A_struct_field,AB,64,64,AB
0x7FE10,stride_0x3A_struct_field,AB,64,64,AB
0x7FE4A,stride_0x3A_struct_field,AB,64,64,AB
0x7FE84,stride_0x3A_struct_field,AB,64,64,AB
0x7FEBE,stride_0x3A_struct_field,AB,64,64,AB
0x7FEF8,stride_0x3A_struct_field,AB,64,64,AB
0x7FF32,stride_0x3A_struct_field,AB,64,64,AB
0x7FF6C,stride_0x3A_struct_field,AB,64,64,AB
0x7FFA6,stride_0x3A_struct_field,AB,64,64,AB
0x7FFE0,stride_0x3A_struct_field,AB,64,64,AB
