member,offset,before,after,purpose
5/S5011.DAT,0x45102,0C,06,naturalize_merchant_retort
5/S5011.DAT,0x45104,DD,5F,naturalize_merchant_retort
5/S5011.DAT,0x45105,60,DD,naturalize_merchant_retort
5/S5011.DAT,0x45106,DD,A0,naturalize_merchant_retort
5/S5011.DAT,0x45107,51,A1,naturalize_merchant_retort
5/S5011.DAT,0x45108,1C,56,naturalize_merchant_retort
5/S5011.DAT,0x45109,B3,34,naturalize_merchant_retort
5/S5011.DAT,0x4510A,A1,49,naturalize_merchant_retort
5/S5011.DAT,0x4510B,DD,0D,naturalize_merchant_retort
5/S5011.DAT,0x4510C,01,A1,naturalize_merchant_retort
5/S5011.DAT,0x4510D,A1,03,naturalize_merchant_retort
5/S5011.DAT,0x4510E,28,A1,naturalize_merchant_retort
5/S5011.DAT,0x4510F,DD,28,naturalize_merchant_retort
5/S5011.DAT,0x45110,B5,DD,naturalize_merchant_retort
5/S5011.DAT,0x45111,09,B5,naturalize_merchant_retort
5/S5011.DAT,0x45112,A9,09,naturalize_merchant_retort
5/S5011.DAT,0x45113,A1,02,naturalize_merchant_retort
5/S5011.DAT,0x45114,53,A1,naturalize_merchant_retort
5/S5011.DAT,0x45115,A1,53,naturalize_merchant_retort
5/S5011.DAT,0x45116,37,A1,naturalize_merchant_retort
5/S5011.DAT,0x45117,A1,37,naturalize_merchant_retort
5/S5011.DAT,0x45118,DD,A1,naturalize_merchant_retort
5/S5011.DAT,0x45119,B1,DD,naturalize_merchant_retort
5/S5011.DAT,0x4511A,09,B1,naturalize_merchant_retort
5/S5011.DAT,0x4511B,A1,1C,naturalize_merchant_retort
5/S5011.DAT,0x4511C,DD,A1,naturalize_merchant_retort
5/S5011.DAT,0x4511D,50,DD,naturalize_merchant_retort
5/S5011.DAT,0x4511E,DD,4E,naturalize_merchant_retort
5/S5011.DAT,0x4511F,12,DD,naturalize_merchant_retort
5/S5011.DAT,0x45120,B3,51,naturalize_merchant_retort
5/S5011.DAT,0x45121,A1,02,naturalize_merchant_retort
5/S5011.DAT,0x45122,DD,00,naturalize_merchant_retort
5/S5011.DAT,0x45123,01,00,naturalize_merchant_retort
5/S5011.DAT,0x45124,A1,00,naturalize_merchant_retort
5/S5011.DAT,0x45125,28,00,naturalize_merchant_retort
5/S5011.DAT,0x45126,DD,00,naturalize_merchant_retort
5/S5011.DAT,0x45127,B5,00,naturalize_merchant_retort
5/S5011.DAT,0x45128,09,00,naturalize_merchant_retort
5/S5011.DAT,0x45129,A9,00,naturalize_merchant_retort
5/S5011.DAT,0x45200,DD,1E,naturalize_merchant_livelihood
5/S5011.DAT,0x45201,01,33,naturalize_merchant_livelihood
5/S5011.DAT,0x45202,DD,A1,naturalize_merchant_livelihood
5/S5011.DAT,0x45203,69,03,naturalize_merchant_livelihood
5/S5011.DAT,0x45204,33,A1,naturalize_merchant_livelihood
5/S5011.DAT,0x45205,A1,6B,naturalize_merchant_livelihood
5/S5011.DAT,0x45206,56,D5,naturalize_merchant_livelihood
5/S5011.DAT,0x45207,34,A1,naturalize_merchant_livelihood
5/S5011.DAT,0x45208,07,DE,naturalize_merchant_livelihood
5/S5011.DAT,0x45209,3B,66,naturalize_merchant_livelihood
5/S5011.DAT,0x4520A,A1,1C,naturalize_merchant_livelihood
5/S5011.DAT,0x4520B,1B,34,naturalize_merchant_livelihood
5/S5011.DAT,0x4520C,DD,07,naturalize_merchant_livelihood
5/S5011.DAT,0x4520D,01,3B,naturalize_merchant_livelihood
5/S5011.DAT,0x4520E,49,A1,naturalize_merchant_livelihood
5/S5011.DAT,0x4520F,21,1B,naturalize_merchant_livelihood
5/S5011.DAT,0x45210,00,03,naturalize_merchant_livelihood
5/S5011.DAT,0x45211,00,04,naturalize_merchant_livelihood
5/S5011.DAT,0x45212,00,0F,naturalize_merchant_livelihood
5/S5021.DAT,0x45A00,DF,7E,naturalize_not_here_for_livelihood_story
5/S5021.DAT,0x45A01,D9,0C,naturalize_not_here_for_livelihood_story
5/S5021.DAT,0x45A02,9C,A1,naturalize_not_here_for_livelihood_story
5/S5021.DAT,0x45A03,E0,14,naturalize_not_here_for_livelihood_story
5/S5021.DAT,0x45A04,E1,DD,naturalize_not_here_for_livelihood_story
5/S5021.DAT,0x45A05,E0,44,naturalize_not_here_for_livelihood_story
5/S5021.DAT,0x45A06,A5,41,naturalize_not_here_for_livelihood_story
5/S5021.DAT,0x45A07,9C,A1,naturalize_not_here_for_livelihood_story
5/S5021.DAT,0x45A08,E0,DE,naturalize_not_here_for_livelihood_story
5/S5021.DAT,0x45A09,BD,66,naturalize_not_here_for_livelihood_story
5/S5021.DAT,0x45A0A,E0,1C,naturalize_not_here_for_livelihood_story
5/S5021.DAT,0x45A0B,DA,34,naturalize_not_here_for_livelihood_story
5/S5021.DAT,0x45A0C,E0,06,naturalize_not_here_for_livelihood_story
5/S5021.DAT,0x45A0D,AC,04,naturalize_not_here_for_livelihood_story
5/S5021.DAT,0x45A0E,E0,A1,naturalize_not_here_for_livelihood_story
5/S5021.DAT,0x45A0F,AB,0A,naturalize_not_here_for_livelihood_story
5/S5021.DAT,0x45A10,9C,4E,naturalize_not_here_for_livelihood_story
5/S5021.DAT,0x45A11,EA,20,naturalize_not_here_for_livelihood_story
5/S5021.DAT,0x45A12,A2,A1,naturalize_not_here_for_livelihood_story
5/S5021.DAT,0x45A13,E0,DD,naturalize_not_here_for_livelihood_story
5/S5021.DAT,0x45A14,7F,5C,naturalize_not_here_for_livelihood_story
5/S5021.DAT,0x45A15,9C,A1,naturalize_not_here_for_livelihood_story
5/S5021.DAT,0x45A16,E0,41,naturalize_not_here_for_livelihood_story
