member,offset,before,after,purpose
PSX.EXE,0x4EF74,30,00,redirect_floor_digit_converter_to_local_wrapper
PSX.EXE,0x4EF75,79,A7,redirect_floor_digit_converter_to_local_wrapper
PSX.EXE,0x4EF76,05,06,redirect_floor_digit_converter_to_local_wrapper
PSX.EXE,0x8F400,00,E8,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F401,00,FF,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F402,00,BD,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F403,00,27,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F404,00,14,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F406,00,BF,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F407,00,AF,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F408,00,10,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F40A,00,B0,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F40B,00,AF,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F40C,00,21,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F40D,00,80,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F40E,00,80,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F410,00,30,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F411,00,79,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F412,00,05,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F413,00,0C,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F418,00,1B,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F419,00,80,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F41A,00,08,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F41B,00,3C,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F41C,00,64,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F41D,00,9C,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F41E,00,08,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F41F,00,25,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F422,00,09,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F423,00,92,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F428,00,0A,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F42A,00,20,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F42B,00,11,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F42C,00,EF,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F42D,00,FF,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F42E,00,2A,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F42F,00,25,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F430,00,0A,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F432,00,4B,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F433,00,2D,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F434,00,05,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F436,00,60,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F437,00,11,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F43C,00,21,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F43D,00,60,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F43E,00,0A,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F43F,00,01,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F442,00,8D,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F443,00,91,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F44A,00,0D,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F44B,00,A2,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F44C,00,08,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F44D,00,A7,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F44E,00,06,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F44F,00,08,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F450,00,01,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F452,00,10,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F453,00,26,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F454,00,14,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F456,00,BF,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F457,00,8F,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F458,00,10,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F45A,00,B0,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F45B,00,8F,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F45C,00,08,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F45E,00,E0,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F45F,00,03,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F460,00,18,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F462,00,BD,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F463,00,27,floor_local_legacy_digit_remap_helper
PSX.EXE,0x8F464,00,91,floor_digit_raw_code_lut_0_to_9
PSX.EXE,0x8F465,00,4A,floor_digit_raw_code_lut_0_to_9
PSX.EXE,0x8F466,00,0B,floor_digit_raw_code_lut_0_to_9
PSX.EXE,0x8F467,00,27,floor_digit_raw_code_lut_0_to_9
PSX.EXE,0x8F468,00,57,floor_digit_raw_code_lut_0_to_9
PSX.EXE,0x8F469,00,9E,floor_digit_raw_code_lut_0_to_9
PSX.EXE,0x8F46A,00,9F,floor_digit_raw_code_lut_0_to_9
PSX.EXE,0x8F46B,00,9A,floor_digit_raw_code_lut_0_to_9
PSX.EXE,0x8F46C,00,10,floor_digit_raw_code_lut_0_to_9
PSX.EXE,0x8F46D,00,08,floor_digit_raw_code_lut_0_to_9
