level,legacy_digit_bytes,mapped_digit_bytes,final_bytes,final_size
1,12,4A,04 19 A1 4A DE 50 00,7
2,13,0B,04 19 A1 0B DE 50 00,7
3,14,27,04 19 A1 27 DE 50 00,7
4,15,57,04 19 A1 57 DE 50 00,7
5,16,9E,04 19 A1 9E DE 50 00,7
6,17,9F,04 19 A1 9F DE 50 00,7
7,18,9A,04 19 A1 9A DE 50 00,7
8,19,10,04 19 A1 10 DE 50 00,7
9,1A,08,04 19 A1 08 DE 50 00,7
10,12 11,4A 91,04 19 A1 4A 91 DE 50 00,8
11,12 12,4A 4A,04 19 A1 4A 4A DE 50 00,8
12,12 13,4A 0B,04 19 A1 4A 0B DE 50 00,8
13,12 14,4A 27,04 19 A1 4A 27 DE 50 00,8
14,12 15,4A 57,04 19 A1 4A 57 DE 50 00,8
15,12 16,4A 9E,04 19 A1 4A 9E DE 50 00,8
16,12 17,4A 9F,04 19 A1 4A 9F DE 50 00,8
17,12 18,4A 9A,04 19 A1 4A 9A DE 50 00,8
18,12 19,4A 10,04 19 A1 4A 10 DE 50 00,8
19,12 1A,4A 08,04 19 A1 4A 08 DE 50 00,8
20,13 11,0B 91,04 19 A1 0B 91 DE 50 00,8
21,13 12,0B 4A,04 19 A1 0B 4A DE 50 00,8
22,13 13,0B 0B,04 19 A1 0B 0B DE 50 00,8
23,13 14,0B 27,04 19 A1 0B 27 DE 50 00,8
24,13 15,0B 57,04 19 A1 0B 57 DE 50 00,8
25,13 16,0B 9E,04 19 A1 0B 9E DE 50 00,8
26,13 17,0B 9F,04 19 A1 0B 9F DE 50 00,8
27,13 18,0B 9A,04 19 A1 0B 9A DE 50 00,8
28,13 19,0B 10,04 19 A1 0B 10 DE 50 00,8
29,13 1A,0B 08,04 19 A1 0B 08 DE 50 00,8
30,14 11,27 91,04 19 A1 27 91 DE 50 00,8
31,14 12,27 4A,04 19 A1 27 4A DE 50 00,8
32,14 13,27 0B,04 19 A1 27 0B DE 50 00,8
33,14 14,27 27,04 19 A1 27 27 DE 50 00,8
34,14 15,27 57,04 19 A1 27 57 DE 50 00,8
35,14 16,27 9E,04 19 A1 27 9E DE 50 00,8
36,14 17,27 9F,04 19 A1 27 9F DE 50 00,8
37,14 18,27 9A,04 19 A1 27 9A DE 50 00,8
38,14 19,27 10,04 19 A1 27 10 DE 50 00,8
39,14 1A,27 08,04 19 A1 27 08 DE 50 00,8
40,15 11,57 91,04 19 A1 57 91 DE 50 00,8
41,15 12,57 4A,04 19 A1 57 4A DE 50 00,8
42,15 13,57 0B,04 19 A1 57 0B DE 50 00,8
43,15 14,57 27,04 19 A1 57 27 DE 50 00,8
44,15 15,57 57,04 19 A1 57 57 DE 50 00,8
45,15 16,57 9E,04 19 A1 57 9E DE 50 00,8
46,15 17,57 9F,04 19 A1 57 9F DE 50 00,8
47,15 18,57 9A,04 19 A1 57 9A DE 50 00,8
48,15 19,57 10,04 19 A1 57 10 DE 50 00,8
49,15 1A,57 08,04 19 A1 57 08 DE 50 00,8
50,16 11,9E 91,04 19 A1 9E 91 DE 50 00,8
