member,offset,before,after,purpose
PSX.EXE,0x4EF74,00,16,redirect_floor_converter_to_boot_copied_resident_digit_helper
PSX.EXE,0x4EF75,A7,FE,redirect_floor_converter_to_boot_copied_resident_digit_helper
PSX.EXE,0x4EF76,06,07,redirect_floor_converter_to_boot_copied_resident_digit_helper
PSX.EXE,0x8F400,E8,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F401,FF,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F402,BD,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F403,27,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F404,14,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F406,BF,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F407,AF,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F408,10,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F40A,B0,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F40B,AF,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F40C,21,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F40D,80,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F40E,80,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F410,30,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F411,79,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F412,05,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F413,0C,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F418,1B,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F419,80,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F41A,08,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F41B,3C,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F41C,64,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F41D,9C,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F41E,08,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F41F,25,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F422,09,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F423,92,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F428,0A,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F42A,20,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F42B,11,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F42C,EF,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F42D,FF,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F42E,2A,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F42F,25,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F430,0A,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F432,4B,00,erase_runtime_overwritten_v348_helper_and_lut
PSX.EXE,0x8F433,2D,00,erase_runtime_overwritten_v348_helper_and_lut
