floor,ascii,mapped,final,bytes
1,31,4A,04 19 A1 4A DE 50 00,7
2,32,0B,04 19 A1 0B DE 50 00,7
3,33,27,04 19 A1 27 DE 50 00,7
4,34,57,04 19 A1 57 DE 50 00,7
5,35,9E,04 19 A1 9E DE 50 00,7
6,36,9F,04 19 A1 9F DE 50 00,7
7,37,9A,04 19 A1 9A DE 50 00,7
8,38,10,04 19 A1 10 DE 50 00,7
9,39,08,04 19 A1 08 DE 50 00,7
10,31 30,4A 91,04 19 A1 4A 91 DE 50 00,8
11,31 31,4A 4A,04 19 A1 4A 4A DE 50 00,8
12,31 32,4A 0B,04 19 A1 4A 0B DE 50 00,8
13,31 33,4A 27,04 19 A1 4A 27 DE 50 00,8
14,31 34,4A 57,04 19 A1 4A 57 DE 50 00,8
15,31 35,4A 9E,04 19 A1 4A 9E DE 50 00,8
16,31 36,4A 9F,04 19 A1 4A 9F DE 50 00,8
17,31 37,4A 9A,04 19 A1 4A 9A DE 50 00,8
18,31 38,4A 10,04 19 A1 4A 10 DE 50 00,8
19,31 39,4A 08,04 19 A1 4A 08 DE 50 00,8
20,32 30,0B 91,04 19 A1 0B 91 DE 50 00,8
21,32 31,0B 4A,04 19 A1 0B 4A DE 50 00,8
22,32 32,0B 0B,04 19 A1 0B 0B DE 50 00,8
23,32 33,0B 27,04 19 A1 0B 27 DE 50 00,8
24,32 34,0B 57,04 19 A1 0B 57 DE 50 00,8
25,32 35,0B 9E,04 19 A1 0B 9E DE 50 00,8
26,32 36,0B 9F,04 19 A1 0B 9F DE 50 00,8
27,32 37,0B 9A,04 19 A1 0B 9A DE 50 00,8
28,32 38,0B 10,04 19 A1 0B 10 DE 50 00,8
29,32 39,0B 08,04 19 A1 0B 08 DE 50 00,8
30,33 30,27 91,04 19 A1 27 91 DE 50 00,8
31,33 31,27 4A,04 19 A1 27 4A DE 50 00,8
32,33 32,27 0B,04 19 A1 27 0B DE 50 00,8
33,33 33,27 27,04 19 A1 27 27 DE 50 00,8
34,33 34,27 57,04 19 A1 27 57 DE 50 00,8
35,33 35,27 9E,04 19 A1 27 9E DE 50 00,8
36,33 36,27 9F,04 19 A1 27 9F DE 50 00,8
37,33 37,27 9A,04 19 A1 27 9A DE 50 00,8
38,33 38,27 10,04 19 A1 27 10 DE 50 00,8
39,33 39,27 08,04 19 A1 27 08 DE 50 00,8
40,34 30,57 91,04 19 A1 57 91 DE 50 00,8
41,34 31,57 4A,04 19 A1 57 4A DE 50 00,8
42,34 32,57 0B,04 19 A1 57 0B DE 50 00,8
43,34 33,57 27,04 19 A1 57 27 DE 50 00,8
44,34 34,57 57,04 19 A1 57 57 DE 50 00,8
45,34 35,57 9E,04 19 A1 57 9E DE 50 00,8
46,34 36,57 9F,04 19 A1 57 9F DE 50 00,8
47,34 37,57 9A,04 19 A1 57 9A DE 50 00,8
48,34 38,57 10,04 19 A1 57 10 DE 50 00,8
49,34 39,57 08,04 19 A1 57 08 DE 50 00,8
50,35 30,9E 91,04 19 A1 9E 91 DE 50 00,8
