source_file,offset,controls,controls_byte_exact
1/S1011.DAT,0x4799E,+0x7:E601,1
1/S1011.DAT,0x47BB2,,1
1/S1021.DAT,0x479AA,+0x9:E601 +0x17:E601,1
1/S1021.DAT,0x48A4E,+0x8:E601,1
1/S1021.DAT,0x48AC6,+0xC:E601,1
1/S1023.DAT,0x47952,+0x7:E601 +0x1D:E601 +0x1F:E503 +0x28:E601 +0x2A:E503,1
1/S1023.DAT,0x47D0E,,1
1/S1041.DAT,0x47A56,+0x8:E601 +0x15:E601 +0x28:E601,1
21/S2041.DAT,0x48160,+0x0:E504 +0x7:E601 +0x9:E504 +0x1B:E601 +0x1D:E504,1
21/S2041.DAT,0x483D4,+0x4:E601 +0x8:E41F +0xC:E41F +0x10:E41F,1
21/S2041.DAT,0x48684,+0x4:E601,1
21/S2042.DAT,0x47FF0,+0x5:E601 +0x19:E601 +0x1B:E503 +0x24:E601 +0x26:E503,1
21/S2044.DAT,0x4800A,+0x5:E601 +0x19:E601,1
21/S2045.DAT,0x47F94,+0x5:E601,1
21/S2045.DAT,0x4834A,+0x0:E503 +0xE:E601 +0x10:E503 +0x18:E601 +0x1A:E503,1
21/S2045.DAT,0x4876C,,1
21/S2045.DAT,0x48926,,1
21/S2045.DAT,0x48972,+0x0:E503 +0x11:E601 +0x13:E503 +0x1F:E601 +0x21:E503 +0x2D:E601 +0x2F:E503,1
21/S2045.DAT,0x48B10,+0xF:E601,1
21/S2045.DAT,0x48BC0,,1
21/S2045.DAT,0x48D6E,,1
21/S2045.DAT,0x48EC0,+0x5:E601,1
21/S2045.DAT,0x48F18,+0x0:E503 +0xA:E601 +0xC:E503 +0x1A:E601 +0x1C:E503 +0x28:E601 +0x2A:E503,1
21/S2045.DAT,0x48F94,+0x0:E503 +0x9:E601 +0xB:E503 +0x11:E601 +0x13:E503 +0x1E:E601 +0x20:E503,1
21/S2045.DAT,0x49006,+0x0:E503 +0xA:E601 +0xC:E503 +0x1A:E601 +0x1C:E503 +0x24:E601 +0x26:E503,1
21/S2045.DAT,0x4907E,+0x0:E503 +0x9:E601 +0xB:E503 +0x11:E601 +0x13:E503 +0x1E:E601 +0x20:E503,1
21/S2045.DAT,0x490F0,+0x0:E503 +0xB:E601 +0xD:E503 +0x19:E601 +0x1B:E503 +0x2C:E601 +0x2E:E503,1
21/S2045.DAT,0x4916A,+0x5:E601,1
21/S2045.DAT,0x491CE,+0x5:E601,1
21/S2045.DAT,0x4935A,+0x5:E601,1
21/S2045.DAT,0x49744,+0x5:E601 +0x33:E601,1
22/S2046.DAT,0x486DC,,1
22/S2046.DAT,0x48730,+0x3:E601 +0xF:E601,1
22/S2046.DAT,0x487C0,+0x3:E601,1
22/S2046.DAT,0x4881A,+0x2B:E43D +0x2D:E43D,1
22/S2055.DAT,0x47C88,+0x7:E43D +0x9:E601 +0x1A:E601,1
31/S3011.DAT,0x47FEE,+0x3:E601,1
31/S3012.DAT,0x47FF0,+0x5:E601 +0x19:E601 +0x1B:E503 +0x24:E601 +0x26:E503,1
31/S3012.DAT,0x4811E,+0x0:E504 +0xF:E601 +0x11:E504 +0x20:E601 +0x22:E504,1
31/S3012.DAT,0x4831C,+0x5:E601,1
31/S3013.DAT,0x47FF6,+0x0:E504 +0x7:E601 +0x9:E504 +0x1A:E601 +0x1C:E504,1
31/S3013.DAT,0x483C6,+0x4:E601 +0x19:E601 +0x21:E601,1
31/S3014.DAT,0x46FB4,+0x5:E601,1
31/S3014.DAT,0x47108,+0x5:E601 +0x18:E601,1
31/S3014.DAT,0x47232,+0x5:E601 +0x1B:E601 +0x2D:E601,1
31/S3014.DAT,0x472A2,+0x5:E601,1
31/S3014.DAT,0x47324,+0x5:E601,1
31/S3014.DAT,0x4736E,+0x0:E503 +0xE:E601 +0x10:E503 +0x18:E601 +0x1A:E503,1
31/S3014.DAT,0x4745A,+0x5:E601 +0x31:E601,1
31/S3014.DAT,0x4752A,+0x5:E601 +0x1A:E601,1
31/S3014.DAT,0x4758C,+0x5:E601 +0x19:E601,1
31/S3014.DAT,0x4762E,+0x5:E601,1
31/S3014.DAT,0x47790,,1
31/S3014.DAT,0x477D6,+0x5:E601 +0x1A:E601,1
31/S3014.DAT,0x4788A,+0x5:E601,1
31/S3014.DAT,0x4794A,,1
31/S3014.DAT,0x47996,+0x0:E503 +0x11:E601 +0x13:E503 +0x1F:E601 +0x21:E503 +0x2D:E601 +0x2F:E503,1
31/S3014.DAT,0x47A78,+0x5:E601 +0x18:E601 +0x2D:E601,1
31/S3014.DAT,0x47ADE,+0x5:E601 +0x1A:E601,1
31/S3014.DAT,0x47CD6,+0x5:E601 +0x1B:E601 +0x2B:E601,1
31/S3014.DAT,0x47D42,+0x5:E601,1
31/S3014.DAT,0x47D92,,1
31/S3014.DAT,0x47EE4,+0x5:E601,1
31/S3014.DAT,0x47F3C,+0x0:E503 +0xA:E601 +0xC:E503 +0x1A:E601 +0x1C:E503 +0x28:E601 +0x2A:E503,1
31/S3014.DAT,0x47FB8,+0x0:E503 +0x9:E601 +0xB:E503 +0x11:E601 +0x13:E503 +0x1E:E601 +0x20:E503,1
31/S3014.DAT,0x4802A,+0x0:E503 +0xA:E601 +0xC:E503 +0x1A:E601 +0x1C:E503 +0x24:E601 +0x26:E503,1
31/S3014.DAT,0x480A2,+0x0:E503 +0x9:E601 +0xB:E503 +0x11:E601 +0x13:E503 +0x1E:E601 +0x20:E503,1
31/S3014.DAT,0x48114,+0x0:E503 +0xB:E601 +0xD:E503 +0x19:E601 +0x1B:E503 +0x2C:E601 +0x2E:E503,1
31/S3014.DAT,0x4818E,+0x5:E601,1
31/S3014.DAT,0x481F2,+0x5:E601,1
31/S3014.DAT,0x482B6,+0x5:E601 +0x12:E702,1
31/S3014.DAT,0x48320,+0x5:E601 +0x1C:E601,1
31/S3014.DAT,0x4837E,+0x5:E601,1
31/S3014.DAT,0x483F8,+0x5:E601,1
31/S3014.DAT,0x487A8,+0x5:E601 +0x32:E601,1
31/S3022.DAT,0x48822,+0x3:E601 +0xE:E601 +0x10:E503 +0x16:E601 +0x18:E503,1
31/S3024.DAT,0x45ECA,+0x3:E601 +0x9:E41F +0xB:E601,1
31/S3024.DAT,0x46966,+0x4:E601 +0x9:E601,1
31/S3024.DAT,0x47F68,+0x3:E601 +0x5:E503 +0xA:E601 +0xC:E503 +0x11:E601 +0x13:E503,1
31/S3031.DAT,0x47C40,+0x4:E601 +0x1B:E601,1
31/S3032.DAT,0x47994,+0x4:E601 +0xD:E601,1
32/S3061.DAT,0x48344,+0x6:E601 +0xB:E601,1
32/S3062.DAT,0x47E48,+0x6:E601,1
32/S3063.DAT,0x47D88,+0x6:E601 +0x1C:E601,1
4/S4021.DAT,0x47992,+0x4:E601 +0x16:E601,1
4/S4021.DAT,0x47AFA,+0x4:E601 +0xF:E41F,1
4/S4021.DAT,0x47B8E,+0x8:E601 +0x15:E601,1
4/S4022.DAT,0x47A0C,+0x4:E601,1
4/S4022.DAT,0x47A68,,1
4/S4022.DAT,0x47AFA,+0xC:E601 +0x15:E601,1
4/S4022.DAT,0x47BF6,+0x4:E601,1
