member,file_offset,before,after,reason
1/S1011.DAT,0x45080,00,DE,V356 dialogue reinsertion
1/S1011.DAT,0x45081,00,3D,V356 dialogue reinsertion
1/S1011.DAT,0x45082,00,2B,V356 dialogue reinsertion
1/S1011.DAT,0x45083,00,0C,V356 dialogue reinsertion
1/S1011.DAT,0x45084,00,A1,V356 dialogue reinsertion
1/S1011.DAT,0x45085,00,46,V356 dialogue reinsertion
1/S1011.DAT,0x45086,00,3A,V356 dialogue reinsertion
1/S1011.DAT,0x45087,00,A1,V356 dialogue reinsertion
1/S1011.DAT,0x45088,00,DD,V356 dialogue reinsertion
1/S1011.DAT,0x45089,00,7B,V356 dialogue reinsertion
1/S1011.DAT,0x4508A,00,DD,V356 dialogue reinsertion
1/S1011.DAT,0x4508B,00,B0,V356 dialogue reinsertion
1/S1011.DAT,0x4508C,00,29,V356 dialogue reinsertion
1/S1011.DAT,0x4508D,00,09,V356 dialogue reinsertion
1/S1011.DAT,0x4508E,00,A1,V356 dialogue reinsertion
1/S1011.DAT,0x4508F,00,DD,V356 dialogue reinsertion
1/S1011.DAT,0x45090,00,17,V356 dialogue reinsertion
1/S1011.DAT,0x45091,00,0E,V356 dialogue reinsertion
1/S1011.DAT,0x45092,00,25,V356 dialogue reinsertion
1/S1011.DAT,0x45093,00,A1,V356 dialogue reinsertion
1/S1011.DAT,0x45094,00,1E,V356 dialogue reinsertion
1/S1011.DAT,0x45095,00,36,V356 dialogue reinsertion
1/S1011.DAT,0x450FF,00,05,V356 dialogue reinsertion
1/S1011.DAT,0x4799F,8A,82,V356 dialogue reinsertion
1/S1011.DAT,0x479A0,EA,A1,V356 dialogue reinsertion
1/S1011.DAT,0x479A1,0C,A1,V356 dialogue reinsertion
1/S1011.DAT,0x479A2,DE,A1,V356 dialogue reinsertion
1/S1011.DAT,0x479A3,44,A1,V356 dialogue reinsertion
1/S1011.DAT,0x479A5,DD,E6,V356 dialogue reinsertion
1/S1011.DAT,0x479A6,6C,01,V356 dialogue reinsertion
1/S1011.DAT,0x479A7,DD,81,V356 dialogue reinsertion
1/S1011.DAT,0x479A8,B0,2E,V356 dialogue reinsertion
1/S1011.DAT,0x479A9,E9,20,V356 dialogue reinsertion
1/S1011.DAT,0x479AA,93,A1,V356 dialogue reinsertion
1/S1011.DAT,0x479AB,E9,88,V356 dialogue reinsertion
1/S1011.DAT,0x479AC,9A,21,V356 dialogue reinsertion
1/S1011.DAT,0x479AE,DD,15,V356 dialogue reinsertion
1/S1011.DAT,0x479AF,17,41,V356 dialogue reinsertion
1/S1011.DAT,0x479B0,E9,A1,V356 dialogue reinsertion
1/S1011.DAT,0x479B1,A4,3D,V356 dialogue reinsertion
1/S1011.DAT,0x479B2,E9,2E,V356 dialogue reinsertion
1/S1011.DAT,0x479B3,88,A1,V356 dialogue reinsertion
1/S1011.DAT,0x479B4,E6,6B,V356 dialogue reinsertion
1/S1011.DAT,0x479B5,01,DD,V356 dialogue reinsertion
1/S1011.DAT,0x479B6,DD,7A,V356 dialogue reinsertion
1/S1011.DAT,0x479B7,61,0F,V356 dialogue reinsertion
1/S1011.DAT,0x479B9,E9,DE,V356 dialogue reinsertion
1/S1011.DAT,0x479BA,07,EF,V356 dialogue reinsertion
1/S1011.DAT,0x479BB,E9,DE,V356 dialogue reinsertion
1/S1011.DAT,0x479BC,4F,A6,V356 dialogue reinsertion
1/S1011.DAT,0x479BD,E9,03,V356 dialogue reinsertion
1/S1011.DAT,0x479BE,42,49,V356 dialogue reinsertion
1/S1011.DAT,0x479BF,A1,21,V356 dialogue reinsertion
1/S1011.DAT,0x479C0,E9,A1,V356 dialogue reinsertion
1/S1011.DAT,0x479C1,AC,A1,V356 dialogue reinsertion
1/S1011.DAT,0x479C2,DD,A1,V356 dialogue reinsertion
1/S1011.DAT,0x479C3,41,A1,V356 dialogue reinsertion
1/S1011.DAT,0x479C4,DD,A1,V356 dialogue reinsertion
1/S1011.DAT,0x479C5,41,A1,V356 dialogue reinsertion
1/S1011.DAT,0x479C6,DD,A1,V356 dialogue reinsertion
1/S1011.DAT,0x479C7,41,A1,V356 dialogue reinsertion
1/S1011.DAT,0x47BB2,E2,21,V356 dialogue reinsertion
1/S1011.DAT,0x47BB3,89,21,V356 dialogue reinsertion
1/S1011.DAT,0x47BB4,DD,21,V356 dialogue reinsertion
1/S1011.DAT,0x47BB5,03,D1,V356 dialogue reinsertion
1/S1021.DAT,0x45000,00,03,V356 dialogue reinsertion
1/S1021.DAT,0x45001,00,DD,V356 dialogue reinsertion
1/S1021.DAT,0x45002,00,8E,V356 dialogue reinsertion
1/S1021.DAT,0x45003,00,A1,V356 dialogue reinsertion
1/S1021.DAT,0x45004,00,DD,V356 dialogue reinsertion
1/S1021.DAT,0x45005,00,25,V356 dialogue reinsertion
1/S1021.DAT,0x45006,00,04,V356 dialogue reinsertion
1/S1021.DAT,0x45007,00,3A,V356 dialogue reinsertion
1/S1021.DAT,0x45008,00,A1,V356 dialogue reinsertion
1/S1021.DAT,0x45009,00,60,V356 dialogue reinsertion
1/S1021.DAT,0x4500A,00,DD,V356 dialogue reinsertion
1/S1021.DAT,0x4500B,00,D7,V356 dialogue reinsertion
1/S1021.DAT,0x4507F,00,07,V356 dialogue reinsertion
1/S1021.DAT,0x45080,00,09,V356 dialogue reinsertion
1/S1021.DAT,0x45081,00,67,V356 dialogue reinsertion
1/S1021.DAT,0x45082,00,04,V356 dialogue reinsertion
1/S1021.DAT,0x45083,00,0F,V356 dialogue reinsertion
1/S1021.DAT,0x45084,00,A1,V356 dialogue reinsertion
1/S1021.DAT,0x45085,00,8A,V356 dialogue reinsertion
1/S1021.DAT,0x45086,00,DD,V356 dialogue reinsertion
