source_file,targets,safe_bank_a,fixed_bank_a,used_bank_a,used_bank_b,bank_b_zero_premise,remaining_bank_a,remaining_bank_b
1/S1011.DAT,2,79,13,1,0,1,65,28
1/S1021.DAT,3,79,35,3,0,1,41,28
1/S1023.DAT,2,79,23,3,0,1,53,28
1/S1041.DAT,1,79,27,1,0,1,51,28
21/S2041.DAT,3,79,33,5,0,1,41,28
21/S2042.DAT,1,79,10,0,0,1,69,28
21/S2044.DAT,1,79,31,0,0,1,48,28
21/S2045.DAT,18,48,34,9,0,1,5,28
22/S2046.DAT,4,79,31,5,0,1,43,28
22/S2055.DAT,1,79,21,3,0,1,55,28
31/S3011.DAT,1,79,3,2,0,1,74,28
31/S3012.DAT,3,79,12,3,0,1,64,28
31/S3013.DAT,2,79,34,2,0,1,43,28
31/S3014.DAT,33,16,9,7,16,1,0,12
31/S3022.DAT,1,79,28,3,0,1,48,28
31/S3024.DAT,3,16,7,1,0,1,8,28
31/S3031.DAT,1,79,26,1,0,1,52,28
31/S3032.DAT,1,79,26,1,0,1,52,28
32/S3061.DAT,1,79,25,1,0,1,53,28
32/S3062.DAT,1,79,3,1,0,1,75,28
32/S3063.DAT,1,79,4,2,0,1,73,28
4/S4021.DAT,3,79,8,4,0,1,67,28
4/S4022.DAT,6,79,21,6,0,1,52,28
4/S4031.DAT,2,79,37,1,0,1,41,28
4/S4033.DAT,1,79,33,3,0,1,43,28
4/S4034.DAT,1,79,31,3,0,1,45,28
4/S4035.DAT,2,79,26,4,0,1,49,28
4/S4036.DAT,1,79,26,3,0,1,50,28
5/S5011.DAT,2,79,7,2,0,1,70,28
5/S5013.DAT,22,48,30,10,0,1,8,28
5/S5021.DAT,4,79,26,2,0,1,51,28
5/S5022.DAT,1,79,5,1,0,1,73,28
5/S5023.DAT,2,79,9,3,0,1,67,28
5/S5025.DAT,1,79,6,1,0,1,72,28
6/S6013.DAT,1,79,8,1,0,1,70,28
6/S6014.DAT,15,48,33,7,0,1,8,28
6/S6021.DAT,1,48,14,1,0,1,33,28
6/S6054.DAT,53,0,0,0,22,1,0,6
7/S7012.DAT,14,48,31,6,0,1,11,28
7/S7021.DAT,4,79,15,4,0,1,60,28
7/S7022.DAT,1,79,23,2,0,1,54,28
7/S7023.DAT,1,79,24,2,0,1,53,28
7/S7024.DAT,1,79,22,3,0,1,54,28
7/S7025.DAT,3,79,21,4,0,1,54,28
7/S7026.DAT,3,79,27,3,0,1,49,28
7/S7027.DAT,1,26,12,1,0,1,13,28
7/S7028.DAT,7,48,21,7,0,1,20,28
7/S7031.DAT,1,79,8,2,0,1,69,28
7/S7032.DAT,1,79,7,2,0,1,70,28
8/S8013.DAT,9,48,13,3,0,1,32,28
C1/SC011.DAT,7,48,9,11,0,1,28,28
C1/SC021.DAT,7,48,9,11,0,1,28,28
C1/SC031.DAT,7,48,9,11,0,1,28,28
C1/SC041.DAT,7,19,2,11,0,1,6,28
C1/SC051.DAT,7,48,18,11,0,1,19,28
C1/SC061.DAT,7,43,8,11,0,1,24,28
C1/SC081.DAT,4,41,11,5,0,1,25,28
C1/SC091.DAT,3,48,12,3,0,1,33,28
C2/SC0A1.DAT,6,48,8,8,0,1,32,28
C2/SC0B6.DAT,29,0,0,0,16,1,0,12
C2/SC0C1.DAT,2,48,15,1,0,1,32,28
D/SD031.DAT,6,16,10,4,0,1,2,28
E5/SE05A.DAT,1,48,14,2,0,1,32,28
F/SF081.DAT,1,79,4,0,0,1,75,28
F/SF0E1.DAT,1,79,31,3,0,1,45,28
