row_number,source_file,offset,classification,visible_text,target_text,controls,unchanged_from_v354
4,1/S1011.DAT,0x4799E,빌드대기,새해가 오면 파렌시아 성에서 나를 데리러 와. 그게 우리 일족의 규율이야.,새해가 오면 파렌시아 성에서 나를 데리러 와. 그게 우리 일족의 규율이야.,1,0
9,1/S1011.DAT,0x47BB2,빌드대기,...?,...?,0,0
23,1/S1021.DAT,0x479AA,빌드대기,이걸 던지면 보통 적은 쓰러뜨릴 수 있겠어.,이걸 던지면 보통 적은 쓰러뜨릴 수 있겠어.,2,0
62,1/S1021.DAT,0x48A4E,빌드대기,아버지의 유품을 장비해야겠어.,아버지의 유품을 장비해야겠어.,1,0
63,1/S1021.DAT,0x48AC6,빌드대기,아버지의 유품은 안쪽 방 상자에 있을 거야.,아버지의 유품은 안쪽 방 상자에 있을 거야.,1,0
83,1/S1023.DAT,0x47952,선택지,어머니: 아버지가 남긴 편지를 읽을래? 괜찮아 읽는다,어머니: 아버지가 남긴 편지를 읽을래? 괜찮아 읽는다,5,0
92,1/S1023.DAT,0x47D0E,빌드대기,"자신의 턴일 때 LR 버튼을 동시에 눌러 프리 커서로 만들어서,","자신의 턴일 때 LR 버튼을 동시에 눌러 프리 커서로 만들어서,",0,0
116,1/S1041.DAT,0x47A56,빌드대기,아크 데몬: 무슨 소린지 모르겠군. 난 봉인을 해제한 용사를 죽이고...,아크 데몬: 무슨 소린지 모르겠군. 난 봉인을 해제한 용사를 죽이고...,3,0
283,21/S2041.DAT,0x48160,선택지,물론이야! 조금 자신이 없어... 아직 싸우는 법을 몰라.,물론이야! 조금 자신이 없어... 아직 싸우는 법을 몰라.,5,0
288,21/S2041.DAT,0x483D4,빌드대기,승무원: 아니요,승무원: 아니요,4,0
295,21/S2041.DAT,0x48684,빌드대기,승무원: 자신의 턴일 때 LR 버튼을 동시에 누르면 프리 커서가 됩니다.,승무원: 자신의 턴일 때 LR 버튼을 동시에 누르면 프리 커서가 됩니다.,1,0
308,21/S2042.DAT,0x47FF0,선택지,초핀: 더 도와드릴까요? 괜찮아 하나만 더,초핀: 더 도와드릴까요? 괜찮아 하나만 더,5,0
334,21/S2044.DAT,0x4800A,빌드대기,초핀: 여러분의 여행을 도우라는 왕명을 받았습니다.,초핀: 여러분의 여행을 도우라는 왕명을 받았습니다.,2,0
376,21/S2045.DAT,0x47F94,빌드대기,"초핀: 아이템, 장신구, 특수 능력은 L이나 R 버튼을 누르면 그 효과를 볼 수 있습니다.","초핀: 아이템, 장신구, 특수 능력은 L이나 R 버튼을 누르면 그 효과를 볼 수 있습니다.",1,0
385,21/S2045.DAT,0x4834A,선택지,전투 요령 2 유용한 정보 그만,전투 요령 2 유용한 정보 그만,5,0
396,21/S2045.DAT,0x4876C,빌드대기,...,...,0,0
401,21/S2045.DAT,0x48926,빌드대기,낙오자라니 누구를 말하는 게냐?,낙오자라니 누구를 말하는 게냐?,0,0
402,21/S2045.DAT,0x48972,선택지,아라라토스 유적 미르마나의 이후 라마다 수행 그만,아라라토스 유적 미르마나의 이후 라마다 수행 그만,7,0
406,21/S2045.DAT,0x48B10,빌드대기,"그래, 너희 힘으로 보물을 척척 손에 넣는 거다!","그래, 너희 힘으로 보물을 척척 손에 넣는 거다!",1,0
408,21/S2045.DAT,0x48BC0,빌드대기,맡길 리가 없잖아!,맡길 리가 없잖아!,0,0
413,21/S2045.DAT,0x48D6E,빌드대기,친절하기도 하군.,친절하기도 하군.,0,0
417,21/S2045.DAT,0x48EC0,빌드대기,초핀: 어느 것에 관해 말씀드릴까요?,초핀: 어느 것에 관해 말씀드릴까요?,1,0
