row_number,source_file,offset,classification,target_korean,span_count,control_count,inline_spans,slot_a_spans,slot_b_spans,binary_changed,placement_json,review_status
4,1/S1011.DAT,0x4799E,빌드대기,새해가 오면 파렌시아 성에서 나를 데리러 와. 그게 우리 일족의 규율이야.,2,1,1,1,0,1,"[{""mode"":""slot-A"",""bytes"":22,""room"":7,""rows"":1,""slot"":1,""disk_id"":""82"",""span"":0,""text"":""새해가 오면 파렌시아 성에서 나를""},{""mode"":""inline"",""bytes"":25,""room"":33,""rows"":2,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""데리러 와. 그게 우리 일족의 규율이야.""}]",
9,1/S1011.DAT,0x47BB2,빌드대기,...?,1,0,1,0,0,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""...?""}]",
23,1/S1021.DAT,0x479AA,빌드대기,이걸 던지면 보통 적은 쓰러뜨릴 수 있겠어.,3,2,2,1,0,1,"[{""mode"":""slot-A"",""bytes"":12,""room"":9,""rows"":1,""slot"":0,""disk_id"":""81"",""span"":0,""text"":""이걸 던지면 보통""},{""mode"":""inline"",""bytes"":11,""room"":12,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""적은 쓰러뜨릴""},{""mode"":""inline"",""bytes"":6,""room"":12,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":2,""text"":""수 있겠어.""}]",
62,1/S1021.DAT,0x48A4E,빌드대기,아버지의 유품을 장비해야겠어.,2,1,1,1,0,1,"[{""mode"":""slot-A"",""bytes"":9,""room"":8,""rows"":1,""slot"":1,""disk_id"":""82"",""span"":0,""text"":""아버지의 유품을""},{""mode"":""inline"",""bytes"":8,""room"":11,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""장비해야겠어.""}]",
63,1/S1021.DAT,0x48AC6,빌드대기,아버지의 유품은 안쪽 방 상자에 있을 거야.,2,1,1,1,0,1,"[{""mode"":""slot-A"",""bytes"":16,""room"":12,""rows"":1,""slot"":2,""disk_id"":""83"",""span"":0,""text"":""아버지의 유품은 안쪽 방""},{""mode"":""inline"",""bytes"":10,""room"":12,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""상자에 있을 거야.""}]",
83,1/S1023.DAT,0x47952,선택지,어머니: 아버지가 남긴 편지를 읽을래?|괜찮아|읽는다,6,5,2,2,0,1,"[{""mode"":""inline"",""bytes"":6,""room"":7,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""어머니:""},{""mode"":""slot-A"",""bytes"":21,""room"":20,""rows"":1,""slot"":0,""disk_id"":""81"",""span"":1,""text"":""아버지가 남긴 편지를 읽을래?""},{""mode"":""inline"",""bytes"":5,""room"":7,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":3,""text"":""괜찮아""},{""mode"":""slot-A"",""bytes"":4,""room"":3,""rows"":1,""slot"":1,""disk_id"":""82"",""span"":5,""text"":""읽는다""}]",
92,1/S1023.DAT,0x47D0E,빌드대기,"자신의 턴일 때 LR 버튼을 동시에 눌러 프리 커서로 만들어서,",1,0,0,1,0,1,"[{""mode"":""slot-A"",""bytes"":43,""room"":38,""rows"":2,""slot"":3,""disk_id"":""84"",""span"":0,""text"":""자신의 턴일 때 LR 버튼을 동시에 눌러 프리 커서로 만들어서,""}]",
116,1/S1041.DAT,0x47A56,빌드대기,아크 데몬: 무슨 소린지 모르겠군. 난 봉인을 해제한 용사를 죽이고...,4,3,3,1,0,1,"[{""mode"":""inline"",""bytes"":7,""room"":8,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""아크 데몬:""},{""mode"":""slot-A"",""bytes"":15,""room"":11,""rows"":1,""slot"":2,""disk_id"":""83"",""span"":1,""text"":""무슨 소린지 모르겠군.""},{""mode"":""inline"",""bytes"":16,""room"":17,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":2,""text"":""난 봉인을 해제한 용사를""},{""mode"":""inline"",""bytes"":7,""room"":11,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":3,""text"":""죽이고...""}]",
283,21/S2041.DAT,0x48160,선택지,물론이야!|조금 자신이 없어...|아직 싸우는 법을 몰라.,6,5,1,2,0,1,"[{""mode"":""slot-A"",""bytes"":6,""room"":5,""rows"":1,""slot"":0,""disk_id"":""81"",""span"":1,""text"":""물론이야!""},{""mode"":""inline"",""bytes"":13,""room"":16,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":3,""text"":""조금 자신이 없어...""},{""mode"":""slot-A"",""bytes"":17,""room"":13,""rows"":1,""slot"":1,""disk_id"":""82"",""span"":5,""text"":""아직 싸우는 법을 몰라.""}]",
288,21/S2041.DAT,0x483D4,빌드대기,승무원: 아니요,5,4,3,2,0,1,"[{""mode"":""slot-A"",""bytes"":5,""room"":4,""rows"":1,""slot"":2,""disk_id"":""83"",""span"":0,""text"":""승무원:""},{""mode"":""slot-A"",""bytes"":3,""room"":2,""rows"":1,""slot"":3,""disk_id"":""84"",""span"":1,""text"":""아니요""},{""mode"":""inline"",""bytes"":0,""room"":2,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":2,""text"":""""},{""mode"":""inline"",""bytes"":0,""room"":2,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":3,""text"":""""},{""mode"":""inline"",""bytes"":0,""room"":4,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":4,""text"":""""}]",
