source_file,bank,slot,disk_id,payload_length,skip,payload_sha256,users
1/S1011.DAT,A,1,82,22,5,A088005286703135D09CD18B385F6FB16E714B578967FFACCDBFE25C9E1454EE,1/S1011.DAT:0x4799E
1/S1021.DAT,A,0,81,12,7,053EBDB5D3C60BDA211FA1EDCBDEC15D39D510D4D253C836DA7219D222095BBA,1/S1021.DAT:0x479AA
1/S1021.DAT,A,1,82,9,6,337254D6389D8C4A9719420D9548989D18D72EC59F464061454782A761CA5B4E,1/S1021.DAT:0x48A4E
1/S1021.DAT,A,2,83,16,10,54D4C948481DA32402C99924C0EF6357FC08E525C048BB80EC6F3369D3301DF1,1/S1021.DAT:0x48AC6
1/S1023.DAT,A,0,81,21,18,DB86316DF579BEB86A64EE17A8365FC01725D7CEA09583E0A42A919265CACECD,1/S1023.DAT:0x47952
1/S1023.DAT,A,1,82,4,1,07038170AE7B2B35D255E902F103159E3008EB73B058C653716565162E2B04EC,1/S1023.DAT:0x47952
1/S1023.DAT,A,3,84,43,36,ED9353EE857BD07A523595B0ECB8563D9E92CC50E5316496D0B3E273084B8E16,1/S1023.DAT:0x47D0E
1/S1041.DAT,A,2,83,15,9,3ABCB13BF541C6E5CADE2BBCAFF056743BEA566DEF56B7A030F88E8EAC5C4198,1/S1041.DAT:0x47A56
21/S2041.DAT,A,0,81,6,3,962F39D62C6178ADAB55AD6546CED48E8DC5E1179D9650D04CBCABF889BB48B0,21/S2041.DAT:0x48160
21/S2041.DAT,A,1,82,17,11,B36C320F564448ABC17DF41D0DE442ECFDD2F9E0150CFE68354430D49508FF08,21/S2041.DAT:0x48160
21/S2041.DAT,A,2,83,5,2,D697A9FD190D4E0B6AC2FC871BFDBE0BD1D9EE62DD0E69F43D52E0503DDCFE15,21/S2041.DAT:0x483D4|21/S2041.DAT:0x48684
21/S2041.DAT,A,3,84,3,0,7F9A3D699AB92301C774061C94D91DCC2BD2B2F5273A97D336D5448A45A6A05C,21/S2041.DAT:0x483D4
