pointer,japanese,current,original_hex,current_hex,missing_controls,empty_after
0x780e8,,처음부터,28 4a 51 20 33,dd 8f 8d 6c 02,,False
0x780ec,,저장 데이터가 없습니다,dd 60 31 c9 3a 32 21 1b 27 59 2d,dd 24 56 a1 81 03 02 0c a1 71 2d 07 01,,False
0x780f0,,메모리 카드에 남은 공간이 없습니다,bc 31 95 23 3f 44 2a 3f 39 27 59 2d,dd 2c 55 2e a1 dd 38 17 0e a1 dd 3d 26 a1 dd 10 dd 1b 03 a1 71 2d 07 01,,False
0x780f4,,그대로 계속하기,2e 1c 27 27 45 dd f9 49 22,15 37 d5 a1 dd 11 dd 5f 19 24,,False
0x780f8,,데이터가 손상되었습니다,81 31 62 2a 2e 43 32 21 1b 27 2b,81 03 02 0c a1 85 8b 73 61 2d 07 01,,False
0x781b8,,불러올 데이터를 선택하세요,81 31 62 2f 46 33 2d 30 3e 35 3a 1b,dd 13 20 99 a1 81 03 02 36 a1 dd 53 df 9a 19 8c 2c,,False
0x781bc,,메모리 카드 없이 계속하시겠습니까?,78 5f 6b 31 bc 31 95 2f 45 20 43 8c 23 dd 4d 31 d8 2f 45 dd f9 49 27 2b 20 3c,dd 2c 55 2e a1 dd 38 17 a1 71 03 a1 dd 11 dd 5f 19 29 54 2d 07 3b d1,,False
0x781c0,,메모리 카드를 넣고 확인 버튼을 누르세요,78 5f 6b 31 bc 31 95 2f dd 60 82 5c 1e 21 e7 02 dd a1 62 34 2f 3b 1e 21 3e 35 3a 1b,dd 2c 55 2e a1 dd 38 17 36 a1 6f 1c a1 de 2b 35 a1 67 dd f7 0d a1 dd 55 70 8c 2c,e7 02,False
0x781c4,,어느 카드를 사용하시겠습니까?,54 4b 33 1c bc 31 95 2f 45 20 1b 27 2b 20 3c,14 4d a1 dd 38 17 36 a1 34 dd 1a 19 29 54 2d 07 3b d1,,False
0x781c8,,메모리 카드를 초기화하시겠습니까?,78 5f 6b 31 bc 31 95 2f a6 de b4 31 64 82 5c 1e 27 2b 20 3c,dd 2c 55 2e a1 dd 38 17 36 a1 39 24 dd 83 19 29 54 2d 07 3b d1,,False
