first_char,duplicate_char,bitmap_sha256
궂,궃,7A14306F2BCE65BC899AF79C5B4758F105DE8210C4EBF8D53C1E5C7F3AD31110
꿎,꿏,13E98FAF30076A7D974C73F44FAF95A89D1915452372278574FA5CFF38B43C56
눚,눛,050B5ED5D3670B77081A7367B57EDC63BE9359FDF4B21A0A89BC1B46BC3344B1
둦,둧,0C811AF3FBC6E999358ABE3058639991D214E8A1ED29EE903E612C826738C1DB
뚲,뚳,B286233B92895658A10AD172ADD5574396127651E3FC43B88F3A34254941EEE9
룾,룿,0FFFD74B2C0515C2DBDA364F23977C8C9C474DAAED65640FA7F11156E686B50A
뭊,뭋,2D15458F9010CF0A91B5ECF61C654F0747DC8275DA3809E3BBC80F4A31534778
붖,붗,D0DDFDD5F84F2BB9B668FA251FB3B4F60D0138E62DD58840AB9C06849CF60825
뿢,뿣,494B12EEA84029D89463EBAFE48C19173404A5DE1B58056BE9C734BEE45965A2
숮,숯,5A2D7609C50C0A2DFD2D12D943C7D800093528812676C3D0E1948B47A16DFF7A
쑺,쑻,DD98F8E9107DBEB2F3D61A4A76AFBD97FF2B1573CAB31909BD4AE90C9330EF20
웆,웇,A3D768972871439DACDBA15018C574C3716869E8DB920A186B8F973A06DC7184
줒,줓,09ADFC1DC3F1FD1A85FA34F6238221AB5A1CA5408DC9873F76FA8590AEF3FA89
쭞,쭟,3690FEFFF41421943F8D918AE18EA7B87E92049EF3FFCD94AAA19EFE0C2CB252
춪,춫,EAE7BF905F984243E1258FA0CC6840DD28319674F1979A1CCA36CB29D5EA14BB
쿶,쿷,77A09B62CAAC84AEC16C4C043AD44FE0A2CE2C1A50A35EE98134E6E8D6C28F84
퉂,퉃,06021DA8AB271D681E886992C24CE92E8D584D7E2B5E1D6EF1F286ADFD5D5DDC
풎,풏,9833B5FE43C9237505D72DE4006E937A93ADD80FBB75FA1666C241F554F6283F
훚,훛,0B982B9C8B7BDEC9F57D678E78282E18E68048FF60120905A198537D6CEA953B
