logical_physical,runtime_physical,char,unicode,sources,hanme_ink,thin_ink,hanme_sha256,thin_sha256,changed
0,0,다,U+B2E4,V319 atlas; V320 assignment; identity,47,32,CC5E6FFA37A144CE9DF7567F3FC9FAB67E983487122EB4E768F09C0E01B923F3,DDAEC9AD15537E25F7A1EA37123CFF11864D3C6703AD13F0B4D746A629B45910,1
1,1,터,U+D130,V319 atlas; V320 assignment; identity,54,36,7BA5E33C86C2F2089983A602AFB0D421C6EC850BF84FD59C6BE4BC0C00BBC5C0,F109D9867B17D700ED54F9E99916CC32E4A6CB68CF770B0609365828DFDEEFD6,1
2,2,이,U+C774,V319 atlas; identity,50,30,DB918469C2CEB04B4E78C5FEA87DC84F9DF0FACF986C53250DF232FFBBC5710F,B92B88A3826D29D7D5BEAD16E6FFCB5749B71EFA0A35F48BD6EF55E5D4BC5A76,1
3,3,지,U+C9C0,V319 atlas; V320 assignment; identity,50,29,E09FD628CDD090C8099241A5E4072786C47094B1024CF37F23431E9799FEEE28,573AC2F85C2DEB98BCE16547CCDD7E1A658F45E9CF85A2C5F996E233F63B75C5,1
5,5,는,U+B294,V319 atlas; V320 assignment; identity,47,36,23F711B5064276AE6DA9B4A4A4E2E7DE1ACACB44D7EDC0F7D116E8B356D9B260,0A564D0F87316A197484C89940A552BFDFF74A96C0B7B454322BD96D7F69635D,1
6,6,니,U+B2C8,V319 atlas; V320 assignment; identity,42,26,0D57471CC63372022A5FBF83885C04D8E479E60BA969FC3FE489AC9C8746A9F8,CFA8AC7C96AE31495D5B38646038550B21222C194CC1BA3D558D54773EB731F8,1
8,8,아,U+C544,V319 atlas; V320 assignment; identity,52,33,C5F772DD2DAC424E208A2EAE042E10EC7B93C2D0277DF15680BB7923CE3EF0E1,55E522EC90FDCCFEF2B53102DBA58E6C06754C3E7FCDB851C402864D4BC6798F,1
9,9,들,U+B4E4,V319 atlas; V320 assignment; identity,70,58,5D0BC8039D288169E2B661F52293E19346B1CD23AE23A95FAA57E7B6BB87CA82,AE3C51ADA408ADA33AADAB74FA9A1ED854FD01E2DFD4F397477F1F58FDAFC751,1
11,11,가,U+AC00,V319 atlas; V320 assignment; identity,46,28,6100A8028962951007F226B6FA93B9430918F08E5858CD4D13CC6CF1A5720F83,AB2CF7FC3AB8138A06FF53B92BD6001A41BA81B5584F89F0EB26DDE72B5EE748,1
12,12,을,U+C744,V319 atlas; V320 assignment; identity,70,55,C50D71EE69E7545C03EFDD811A44079F3BEDEAE495E96A470B3342D238353370,9A5431B845AA1456B790197BE19732A14F888CB3354FDEC322E5E38C54BDB80D,1
13,13,에,U+C5D0,V319 atlas; V320 assignment; identity,74,44,AB51262C5AF6F2A98C890FB924F563A83609DFCA9400CFA943A79803DBDA7892,33198E639682DD84835B3CAA7EB3D04A5FCA6A9DEE38CE29AE2D00EDEA90EB61,1
14,14,의,U+C758,V319 atlas; V320 assignment; identity,55,37,CA90D713D38226897605594861F2109B59C9AE613B5CC8268BD07C78D47ACE53,A8CF0DC459D9BA231CA4F3B53B0276A0D8508A2293D0D3A0621A91DD9C4E4550,1
16,16,째,U+C9F8,V319 atlas; identity,81,50,0AF647F007B740374F9C3FE2383536FE26351966785DA961EA78D57B232C6CAC,72DAB654F15EDD82DE67E1CC74FD6377C3B4DFFE8FFABC84C55F5442C8784831,1
19,19,어,U+C5B4,V319 atlas; V320 assignment; identity,53,33,B7CA1C8027138121DDD0C6B49279935305B518AD3173BDF89D60D1F2800EE41B,E6F937F878DE3886C7ED244AE0A7D6BFF0F21C5A2D5080B96764E94489547F7D,1
20,20,그,U+ADF8,V319 atlas; V320 assignment; identity,30,25,BEDB86E25A596D43A8E272F4D865B768DC7086120F8CC3CA535417D1A79D5483,7C744A7CEF2822FABAFF3BC5FD3D797EDBE3649114637389DDF7802B5A3ED38D,1
21,21,어,U+C5B4,V319 atlas; identity,53,33,B7CA1C8027138121DDD0C6B49279935305B518AD3173BDF89D60D1F2800EE41B,E6F937F878DE3886C7ED244AE0A7D6BFF0F21C5A2D5080B96764E94489547F7D,1
22,22,드,U+B4DC,V319 atlas; identity,37,31,A32D802672DF9862F756FCF4BCE11832F083FE75C7CAD1F6925F0E2BEF5035FC,332943B03E1721816F0B782F05020D38B418EF790E966D6339BDC282C464564B,1
23,23,것,U+AC83,V319 atlas; V320 assignment; identity,53,32,05B252558BE1CCE621FEFF0424F444FF04D999C01008784A1458FF35D84EEAA4,B622FC7140230A757A639D6A83F85D644596BD5DC9094E89C88D719B4029DA55,1
24,24,하,U+D558,V319 atlas; V320 assignment; identity,58,37,0FDC927E27D9A0D278FA0BB0AB472C0B8B205B5080C9AC1D3FBE3C6EFE27B6FC,ABF7B9B3C49D6F8B929FC350CE062DFAA52F04F4F3A43A7DDBA01243CFD2C2FF,1
25,25,여,U+C5EC,V319 atlas; V320 assignment; identity,56,36,C19BF2C5FE50B88DCE35BD1FF7DC06EB237F9782906FB3EA7881E851A532004F,F14C6E08493A230E9A3A58F4A7B657F0FAD50FABB055E4DABCF2F9D6A6105397,1
26,26,말,U+B9D0,V319 atlas; V320 assignment; identity,73,54,83839553B1838ADF0B15AC1E634BB9C32884275591E2258E0604A24ED27E39C8,B7F1E7B157353676D144F7646ED6BCCE30E6826D7B92362841F878EB7C6F7DC0,1
27,27,고,U+ACE0,V319 atlas; V320 assignment; identity,37,29,63D8171286B3D4EB664DA0C4688254FDE46979FD533D2D693710A2482699285D,EE59E030FF7F2EBD363B22B648E22248144F79891685312BE3DEE35759852A0D,1
28,28,관,U+AD00,V319 atlas; identity,61,44,8594A342DEEE47E612F211159F27A0E71FE387421CF80092258B5257FEC98002,66C0951F4FB1FA5AF7FC81C547421A16EB38603D2CCC8C308A1CBE2B48140ABA,1
29,29,나,U+B098,V319 atlas; V320 assignment; identity,44,29,DB3057AB4E7F4AA135ABFC49EE792538D33555CD5B2108F28554BE8981C5E8A1,B4541032CD407F1D54D93878A45BAC61815B1DA8020DA74BBE05C9D289BC736C,1
30,30,있,U+C788,V319 atlas; V320 assignment; identity,67,37,7A0E32924F291DB193439A1C79130BA7EF7B1BA711011523C019A92751D8B18E,5A9E4481589BF6638A389D2AB2ED7261E7E2035A979B911529918A327A2FB6CC,1
31,31,러,U+B7EC,V319 atlas; V320 assignment; identity,55,37,ADF1BBC8A8A2504038FCFBAF38A62CCD62AE2DDC9AC1F55A3AA81084E33BD431,5AC6420734E93D7EAB8C4A131AC27BA2C5890359FD151D48DE991E3617FF94D7,1
35,35,기,U+AE30,V319 atlas; V320 assignment; identity,44,25,2C60A655E9FE10681B6EDA4EDC3815745AAA7854B03BAC763B2913DF21DE5CD0,1C53CE72A9236DF9174F85A8C48657A7A59D8D49D78D929CC5A1662A858D1B35,1
36,36,서,U+C11C,V319 atlas; V320 assignment; identity,47,26,0471D91EF2B39F200DD14A9C0165BE54E8B277E19999204084E6D83E3EE3DA08,0B0EC4E96D8769CCABAA4BF68B8912AA8AAD5A65EF1B8430CC5C2915ED3F1562,1
37,37,은,U+C740,V319 atlas; V320 assignment; identity,54,40,07DDA7F8BDFCEBAE7229B95F8CE7C271B30EDB66F55074F7F7110184AD366EBD,F8CF066B02C7D68E1E916B0653F685C8827F8F860E95BC5F824D48AC8DAC1CA0,1
39,39,자,U+C790,V319 atlas; V320 assignment; identity,52,32,DAA08D23F82B6ED19D5CB48DBBAE459FA3EF85438E27C0707C07BD492F10B9C3,8AC05A0959EC004B65CBB3DE9D8ABED278196F4CA81DA512568D4A3057A772A1,1
40,40,시,U+C2DC,V319 atlas; V320 assignment; identity,44,23,F571A0D4368752B0215C652D1EEA7AF24751A757A2D923F03A1B02313DC0B272,65A85DAAA04256D48A8F5D7C01B896CA693CA9A9A1F64EBB6E4A8BD1EF6E73F2,1
42,42,해,U+D574,V319 atlas; V320 assignment; identity,79,49,7B7603AEC5C7EE8D0DC0FB641393912A038A4B6510CBE4D76EAFB213C256053A,E2E82BAB2ED536D91C1AB2634FC41CEB5123B2FF17F2235735FA8632FE116FB6,1
43,43,요,U+C694,V319 atlas; V320 assignment; identity,49,35,58EBD70D7FE2A6D0C58EAE1CCED422E60845B976EC216CE2AE3FA56C152226D9,DCF6A38DDD72286F5C2E7E8A608D8226431ABB513F75F09363DE7147F76C71C0,1
