row,col,indices,original_text_planes,original_text_occurrences,current_known_text_planes,current_known_text_occurrences,runtime_text_reads,runtime_nontext_reads,runtime_nontext_states,known_range_overlay,v163_static_chars,status,release_approved,reason_withheld
0,0,0 1 2 3,0 1 2 3,489,0 1 3,921,514,10,HASH-3FFDC0534640A0C9_4.sav HASH-3FFDC0534640A0C9_5.sav HASH-3FFDC0534640A0C9_6.sav HASH-3FFDC0534640A0C9_resume.sav HASH-5BBE776656FD02D7_5.sav HASH-5BBE776656FD02D7_6.sav HASH-B956EB79BA7801D1_1.sav HASH-CAA521161EBF5AAC_4.sav HASH-CAA521161EBF5AAC_5.sav HASH-CAA521161EBF5AAC_6.sav,0,,rejected_known_nontext,0,known non-text consumer
0,1,4 5 6 7,1 2,18,0 1 2,29,0,0,,0,,insufficient_partial_font_evidence,0,consumer set is not exhaustively bounded
0,2,8 9 10 11,0 1,162,0 1 3,34,1,0,,0,,insufficient_partial_font_evidence,0,consumer set is not exhaustively bounded
0,3,12 13 14 15,1 3,19,0 1 2 3,3198,95,8,HASH-5BBE776656FD02D7_8.sav HASH-CAA521161EBF5AAC_2.sav,0,,rejected_known_nontext,0,known non-text consumer
0,4,16 17 18 19,0 1 2 3,329,0 1 2 3,320,477,16,HASH-3FFDC0534640A0C9_4.sav HASH-3FFDC0534640A0C9_5.sav HASH-3FFDC0534640A0C9_6.sav HASH-3FFDC0534640A0C9_resume.sav HASH-5BBE776656FD02D7_5.sav HASH-5BBE776656FD02D7_6.sav HASH-CAA521161EBF5AAC_4.sav HASH-CAA521161EBF5AAC_5.sav HASH-CAA521161EBF5AAC_6.sav,0,,rejected_known_nontext,0,known non-text consumer
0,5,20 21 22 23,0 1 2 3,47,0 1 2 3,44,167,2,HASH-3FFDC0534640A0C9_6.sav HASH-3FFDC0534640A0C9_resume.sav,0,,rejected_known_nontext,0,known non-text consumer
0,6,24 25 26 27,0 1 2 3,5076,0 1 2 3,2391,74,0,,0,,candidate_font_only_unbounded_consumers,0,consumer set is not exhaustively bounded
0,7,28 29 30 31,0 1 2 3,5422,0 1 2 3,2405,39,0,,0,,candidate_font_only_unbounded_consumers,0,consumer set is not exhaustively bounded
0,8,32 33 34 35,0 1 2 3,4993,0 1 2 3,2551,25,0,,0,,candidate_font_only_unbounded_consumers,0,consumer set is not exhaustively bounded
0,9,36 37 38 39,0 1 2 3,4819,0 1 2 3,2459,94,0,,0,,candidate_font_only_unbounded_consumers,0,consumer set is not exhaustively bounded
