state,source_file,match_ratio,marker,ram_marker_offset,ram_payload_start,file_payload_start,end_exclusive,length,prefix_kind,payload_hex
ram_a.bin,21/S2013.DAT,1.000000,0x19,0x1170C4,0x1170C6,0x478C6,0x478EE,40,none,66 68 25 e6 01 5d 28 3b ae 23 de 17 98 1e 21 3b 33 32 22 37 e6 01 dd fd 1b de 77 dd 1f 2f dd 09 4b dd c5 22 1c 35 6a 37
ram_a.bin,21/S2013.DAT,1.000000,0x17,0x11711E,0x117122,0x47922,0x47925,3,control_0000,2c 2c 2c
ram_a.bin,21/S2013.DAT,1.000000,0x19,0x1172A8,0x1172AA,0x47AAA,0x47AB5,11,none,1d 2d 35 36 24 2e 1c 40 55 26 02
ram_a.bin,21/S2013.DAT,1.000000,0x19,0x1172E6,0x1172E8,0x47AE8,0x47AF7,15,none,3b 32 38 dd 64 23 86 32 55 29 21 2d 35 3d 02
ram_a.bin,21/S2013.DAT,1.000000,0x19,0x117328,0x11732A,0x47B2A,0x47B40,22,none,66 68 25 e6 01 26 22 3a 1b 02 e6 01 3f 29 4b 23 1b 29 21 55 02 02
ram_a.bin,21/S2013.DAT,1.000000,0x19,0x117368,0x11736A,0x47B6A,0x47B7F,21,none,3b 32 28 e4 3d e4 3d e4 3d bb 64 5f 5c 35 a1 02 02 e4 3d e4 3d
ram_a.bin,21/S2013.DAT,1.000000,0x19,0x117398,0x11739A,0x47B9A,0x47BAF,21,none,66 68 25 e6 01 2e 33 02 e6 01 40 51 55 24 40 51 1d 1b 20 02 02
ram_a.bin,21/S2013.DAT,1.000000,0x19,0x1173D8,0x1173DA,0x47BDA,0x47BEA,16,none,66 68 25 e6 01 3a 29 3a 36 54 49 55 02 02 e4 1f
ram_a.bin,21/S2013.DAT,1.000000,0x19,0x1173FE,0x117400,0x47C00,0x47C13,19,none,3b 24 e4 1f 36 2c e4 1f 36 2c e4 1f 36 2c e4 1f 36 e4 3d
ram_a.bin,21/S2013.DAT,1.000000,0x19,0x117432,0x117434,0x47C34,0x47C3D,9,none,26 9c c0 46 46 46 c0 46 46
ram_a.bin,21/S2013.DAT,1.000000,0x17,0x11747C,0x117480,0x47C80,0x47C89,9,control_0000,54 26 1e 1f 2d 30 2b 20 3c
ram_a.bin,21/S2013.DAT,1.000000,0x17,0x11751C,0x117520,0x47D20,0x47D26,6,control_0100,50 de 33 de 29 3c
ram_a.bin,21/S2013.DAT,1.000000,0x19,0x11755C,0x11755E,0x47D5E,0x47D6C,14,none,dd c6 dd 23 4b 48 2d 20 43 1b 1b 1c dd 45
ram_a.bin,21/S2013.DAT,1.000000,0x19,0x11759C,0x11759E,0x47D9E,0x47DAE,16,none,43 1e 36 8e de a2 23 1b 29 75 1b 54 26 4a 48 02
ram_a.bin,21/S2013.DAT,1.000000,0x19,0x117606,0x117608,0x47E08,0x47E1A,18,none,44 3e 1c dd 45 e6 01 3d 1b 2a 3a 51 4b 27 29 1f 43 1b
ram_a.bin,21/S2013.DAT,1.000000,0x19,0x11764A,0x11764C,0x47E4C,0x47E68,28,none,dd c6 dd 23 4b 48 2d e6 01 3f 2d 1f 24 5c 82 60 ab 36 1b 1b d5 dd cb 2a 30 44 22 1d
ram_a.bin,21/S2013.DAT,1.000000,0x19,0x117698,0x11769A,0x47E9A,0x47EB3,25,none,67 71 34 62 71 34 23 9a 22 2e 36 2a 3f 29 1f 33 e6 01 3f 43 59 21 40 22 a7
ram_a.bin,21/S2013.DAT,1.000000,0x19,0x1176E4,0x1176E6,0x47EE6,0x47EF2,12,none,3a 31 21 24 26 4b 23 dd c5 22 20 02
