state,source_file,match_ratio,marker,ram_marker_offset,ram_payload_start,file_payload_start,end_exclusive,length,prefix_kind,payload_hex
HASH-112DD4E8341F03C8_1.sav,story_house_sd011_live_slots_1_to_4_build/D/SD011.DAT,0.988839,0x17,0x1170FC,0x117100,0x47900,0x4791B,27,control_0100,e2 81 e6 01 a4 a8 ac 94 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
HASH-112DD4E8341F03C8_1.sav,story_house_sd011_live_slots_1_to_4_build/D/SD011.DAT,0.988839,0x17,0x117154,0x117158,0x47958,0x47970,24,control_0100,e2 82 e6 01 68 6c 70 74 78 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
HASH-112DD4E8341F03C8_1.sav,story_house_sd011_live_slots_1_to_4_build/D/SD011.DAT,0.988839,0x17,0x117262,0x117266,0x47A66,0x47A83,29,control_0100,e2 85 e6 01 80 84 9c 88 8c 9c 90 94 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
HASH-112DD4E8341F03C8_1.sav,story_house_sd011_live_slots_1_to_4_build/D/SD011.DAT,0.988839,0x17,0x1172B4,0x1172B8,0x47AB8,0x47ADF,39,control_0100,e2 86 e6 01 d4 d8 dc 9c b4 98 90 94 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
HASH-112DD4E8341F03C8_1.sav,story_house_sd011_live_slots_1_to_4_build/D/SD011.DAT,0.988839,0x17,0x117310,0x117314,0x47B14,0x47B3C,40,control_0100,e2 87 e6 01 88 8c 9c 90 94 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
HASH-112DD4E8341F03C8_1.sav,story_house_sd011_live_slots_1_to_4_build/D/SD011.DAT,0.988839,0x17,0x11735C,0x117360,0x47B60,0x47B7D,29,control_0000,98 a0 e6 01 a4 a8 ac 94 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
HASH-112DD4E8341F03C8_1.sav,story_house_sd011_live_slots_1_to_4_build/D/SD011.DAT,0.988839,0x17,0x1173AA,0x1173AE,0x47BAE,0x47BD9,43,control_0100,e2 88 e6 01 a4 a8 ac b0 94 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
HASH-112DD4E8341F03C8_1.sav,story_house_sd011_live_slots_1_to_4_build/D/SD011.DAT,0.988839,0x17,0x11740A,0x11740E,0x47C0E,0x47C25,23,control_0100,e2 89 e6 01 d4 d8 dc 9c 90 94 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
HASH-112DD4E8341F03C8_1.sav,story_house_sd011_live_slots_1_to_4_build/D/SD011.DAT,0.988839,0x17,0x117456,0x11745A,0x47C5A,0x47C95,59,control_0000,e2 8a e6 01 d4 d8 dc 9c b4 98 90 94 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
HASH-112DD4E8341F03C8_1.sav,story_house_sd011_live_slots_1_to_4_build/D/SD011.DAT,0.988839,0x17,0x117554,0x117558,0x47D58,0x47D71,25,control_0000,98 a0 e6 01 a4 a8 ac b0 94 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
HASH-112DD4E8341F03C8_2.sav,story_bulk3_plus_d_house_gamefiles/1/S1051.DAT,1.000000,0x17,0x11721A,0x11721C,0x47A1C,0x47A29,13,none,98 a0 e6 01 90 94 9c 9c 9c 9c 9c 9c 9c
HASH-112DD4E8341F03C8_2.sav,story_bulk3_plus_d_house_gamefiles/1/S1051.DAT,1.000000,0x17,0x117416,0x117418,0x47C18,0x47C25,13,none,98 a0 e6 01 90 94 9c 9c 9c 9c 9c 9c 9c
