CSV행,오프셋,저장방식,슬롯번호,본문용량_bytes,CSV한글_bytes,본문회수까지_줄일bytes,원문,v208화면문구,CSV한글_편집대상,없는문자
2659,0x45924,본문직접,,22,21,0,"みかけによらす強いのう。
おまえたち。","보기와 달리 강하구먼, 너희들<0F>","보기와 달리 강하구먼, 너희들.",
2660,0x4596E,본문직접,,26,26,0,さつきのモンスターに捕らえられていたおじいさんだ。,아까그 몬스터에게 붙잡혀있던 할아버지다<0F>,아까그 몬스터에게 붙잡혀있던 할아버지다.,
2661,0x459BC,본문직접,,13,12,0,じいさん、あんた誰だい？,"영감님, 누구요괄",할아버지는 누구야?,
2662,0x459FE,본문직접,,51,51,0,"わしの名はゴーゲン。
おまえらの望み通り
3000年の時をこえて再び現れてやつたぞ。",내이름은 고겐<0F> 너희 바람대로 <14>천 년의 시간을 넘어 다시 나타났지<0F>,내이름은 고겐. 너희 바람대로 3천 년의 시간을 넘어 다시 나타났지.,
2663,0x45A66,본문직접,,15,13,0,現れてやつたぞつて・・。,다시 나타났다고<0F><0F><0F>,다시 나타났다고...,
2664,0x45AAA,본문직접,,31,28,0,"おまえたち、古の<G:90>伝記<G:89>を
認めてきたんじゃろうが。","너희들, 옛 전기를 읽고 온 것이겠지<0F>","너희들, 고대의 기록을 읽고 온 것이겠지.",
2665,0x45AFE,본문직접,,12,11,0,じゃっあんたが・・？,그럼 당신이<EA 9F>괄,그럼 당신이?,
2666,0x45B3E,본문직접,,30,30,0,"いかにも。
わしがおまえらをみちびく生きた伝記じゃ。",그렇다<0F> 내가 너희를 이끌 살아 있는 전기지<0F>,내가 너희를 이끌 살아있는 고대의 기록이지.,
2667,0x45B96,본문직접,,24,19,0,ふふつふふつふふつふふつふふつふふつ,허허허 허허허 허허허,후후후후후후후후후.,
2668,0x45BEA,본문직접,,42,42,0,"じゃっ、改めて聞くけど
<G:90>聖柩<G:89>の力を手に入れるには
どうすればいいんだい？","자, 다시 물어보겠는데 성궤의 힘을 손에 넣으려면 어떻게 해야 하지?","자, 다시 물어보겠는데 성궤의 힘을 손에 넣으려면 어떻게 해야 하지?",
2669,0x45C48,외부슬롯,0,39,39,0,わしが再びめざめたというこは、精霊達に異変が起こつているのじゃろう。,내가 다시 깨어났다는 것은 정령들에게 이변이 일어나고 있다는 뜻이겠지<0F>,내가 깨어났다는것은 정령들에게  이변이 일어나고 있다는 거겠지.,
2670,0x45CA4,외부슬롯,6,28,28,0,ますこの世界を形成する5大精霊を救わねばのう。,우선 이 세계를 이루는 <16>대 정령을 구해야 하네<0F>,우선 세계를 이루는 5대 정령을 구해야하네.,
2671,0x45CF4,원문그대로,,5,6,1,5大精霊？,(일본어 그대로),5대정령?,
2672,0x45D2E,본문직접,,37,37,0,"そうじゃ。
この世界を形作り、動かしている全ての精霊達の代表",그렇지<0F> 이세계를 만들고 움직이는 모든 정령들의 대표,그렇지. 이세계를 만들고 움직이는 모든 정령들의 대표,
2673,0x45D88,외부슬롯,9,43,41,0,それが、地 水 火 風 光<CTRL:E4:0B> の5要素をつかさどる精霊じゃ。,"그것이 땅, 물, 불, 바람, 빛의 <16>요소를 관장하는 정령이니라<0F>","땅, 물, 불, 바람, 빛의 5요소를 관장하는 정령이니라.",
2674,0x45DE8,본문직접,,37,33,0,"精霊達は、おまえをみとめれば
石、すなわち意志をおまえに
たくす。","정령들은 너를 인정하면 돌, 곧 의지를 너에게 맡긴다<0F>","정령들은 너를 인정하면 돌, 곧 의지를 너에게 맡긴다.",
2675,0x45E42,외부슬롯,4,28,35,7,"その石を5つ集め、シオン山の
封印を解くのだ。",그 돌 다섯 개를 모아 시온산의 봉인을 해제하는 거야<0F>,그 돌 다섯 개를 모아 시온산의 봉인을 해제하는 거야.,
2676,0x45E92,본문직접,,22,22,0,じゃあ、どうやつてその精霊達をさがしだすの？,그럼 어떻게그 정령들을 찾아내지?,그럼 어떻게그 정령들을 찾아내지?,
2677,0x45EDC,외부슬롯,1,44,52,8,"それは、精霊からのみちびきがあれば会える。
おまえらをこの地にみちびいたものは何じゃ？",정령의 인도가 있으면 만날 수 있다<0F> 너희를 이 땅으로 이끈 것은 무엇이지?,정령의 인도가 있으면 만날 수 있다. 너희를 이 땅으로 이끈 것은 무엇이지?,
2678,0x45F3C,본문직접,,30,28,0,"みちびいたもの・<CTRL:E4:0B>・<CTRL:E4:0B>・<CTRL:E4:15>？
父さんからの手紙か!",이끈 것<0F><0F><0F>? 아버지가 보내온 편지구나<02>,이끈 것...? 아버지가 보내온 편지구나!,
2679,0x45F8E,본문직접,,16,19,3,それはどこから来たものかのう？,그건 어디서 난 것인고괄,그건 어디서 온 것이냐?,
2680,0x45FDA,본문직접,,9,14,5,アララトスからだ!,아라라토스다<02>,아라라토스에서 왔어!,
2681,0x46018,본문직접,,14,13,0,すいぶん遠いところからね。,자<1B>촌<2D><DE 4C><1B><36><2E><55><20><33><4C><37>,먼 곳에서 왔구나.,
2682,0x4605A,본문직접,,14,14,0,飛行船が必要だなっ。,비행선이필요하겠군,비행선이필요하겠군,
2683,0x4609C,외부슬롯,13,18,22,4,"よし
スメリア王の力を借りよう。",좋아<0F> 스메리아 왕의 힘을 빌리자<0F>,좋아. 스메리아 왕의 힘을 빌리자.,
2684,0x460E2,외부슬롯,10,26,31,5,"話は決まつたようじゃのう。
では行くとしようか。",이야기는 정해진 모양이구먼<0F> 그럼 가 볼까<0F>,이야기는 정해진 모양이구먼. 그럼 가 볼까.,
2685,0x46130,외부슬롯,14,19,18,0,"えつ？
おじいさんもついて来るの!？",에? 할아버지도 따라오는 거야<02>?,에? 할아버지도 가는 거야!?,
2686,0x46190,본문직접,,6,11,5,ばかもん!!,이놈<02><02>,이 바보 놈!!,
2687,0x461D2,본문직접,,32,32,0,古の大魔導師ゴーゲン様が、力になつてやろうというに。,고대의 대마도사 고겐님이 힘이되어 주겠다고 하는데<0F>,고대의 대마도사 고겐님이 힘이되어 주겠다고 하는데.,
2688,0x46226,본문직접,,21,25,4,じゃっ、ものすごい魔法が使えるんだ。,그럼 굉장한 마법을 쓰는 거네<0F>,그럼 엄청난 마법을 쓸 수 있겠네.,
2689,0x46276,본문직접,,17,17,0,いかにも、そのはすじゃが・・？,"그렇다,그러할 터인데<0F><0F><0F>?","그렇다,그러할 터인데...?",
2690,0x462BC,본문직접,,15,18,3,なんか頼りないわね・・。,왠지 못 미더운데<EA 9F>,어딘가 믿음직하지 않네...,
2691,0x46306,외부슬롯,15,14,20,6,とにかくパレンシアに戻ろう!,어쨌든 팔렌시아로 돌아가자<02>,어쨌든 팔렌시아로 돌아가자!,
2692,0x4637E,본문직접,,21,21,0,"ひさしぶりに
大暴れできそうじゃわい。",오랜만에 크게 활약할수 있겠구나<0F>,오랜만에 크게 활약할수 있겠구나.,
2693,0x463DA,본문직접,,26,23,0,"はて？
この石はなんだつたじゃろう・・<CTRL:E4:3D>",어라? 이 돌은 뭐였더라<0F><0F><0F>,어라? 이 돌은 뭐였더라...,
2694,0x463FC,본문직접,,19,19,0,ロマンシングストーンをもつていた!<CTRL:E4:3D>,로맨싱스톤을 가지고 있었다<02>,로맨싱스톤을 가지고 있었다!,
2695,0x46564,외부슬롯,3,31,39,8,これから音声が聞きにくくなるのすこしボリュームを上げてね,이제부터 음성이 잘 들리지 않게 되니 소리를 조금 올려 줘,이제부터 음성이 잘 들리지 않게 되니 소리를 조금 올려 줘,
2696,0x465EE,본문직접,,18,18,0,<G:90>すごいアイテム<G:89>を手に入れた!,굉장한 아이템을 손에넣었다<02>,굉장한 아이템을 손에넣었다!,
2697,0x4672A,본문직접,,24,24,0,チョンガラの<G:90>すごいアイテム<G:89>をうばつた!<CTRL:E4:3D>,촌가라의굉장한 아이템을빼앗았다<02>,촌가라의굉장한 아이템을빼앗았다!,
2698,0x467FC,본문직접,,19,19,0,<G:90>すごいアイテム<G:89>をとりかえした!<CTRL:E4:3D>,굉장한 아이템을 되찾았다<02>,굉장한 아이템을 되찾았다!,
2699,0x4699E,본문직접,,18,22,4,<G:90>すごいアイテム<G:89>をとりあげた!,<5B><2B>야<1B><42>를너을<5A><2F><36><39><3F> <1F><02><E4 1F>,굉장한 아이템을 빼앗아 들었다!,
2700,0x46A2A,본문직접,,20,25,5,<G:90>すごいアイテム<G:89>がこわれてとんだ!,<5B><2B>야<1B><42>를너을<5A><2A><2E><43><32><21><36><2D><35><02><E4 1F>,굉장한 아이템이 부서져 날아갔다!,
2701,0x46A88,본문직접,,22,26,4,<G:90>こわれたアイテム<G:89>に気づいていない。,<5B><2E><43><32><1F><42>를너을<5A><23>하<DD F9><1B><21><1B><1D><1B><37><E4 1F>,부서진 아이템을 알아차리지 못했다.,
2702,0x48A5A,본문직접,,8,8,0,石を手に入れた!,돌을손에넣었다<02>,돌을손에넣었다!,
2703,0x48AA4,본문직접,,8,8,0,石を手に入れた!,돌을손에넣었다<02>,돌을손에넣었다!,
