file,marker_offset,body_start,payload_start,end_exclusive,double_zero,marker,length,payload_capacity,linebreaks,header29_offset,confidence,prefix_kind,preserved_prefix_hex,control_after_hex,preview_hex
1/S1011.DAT,0x478A6,0x478A8,0x478AA,0x478CD,0x478CD,0x17,37,35,1,0x478A0,high,control_0100,01 00,00 00 00 21 00 05 00 00 00 1b 00 01 00 00 00 1b,01 00 38 26 14 11 11 11 da 38 de c1 46 dd 9b 49 21 1b 22 4d 4f 09 59 1b 32 1b 0a 1c 9b e6 01 60 8f 34 1c bf 37
1/S1011.DAT,0x478FE,0x47900,0x47902,0x47919,0x47919,0x17,25,23,1,0x478F8,high,control_0100,01 00,00 00 00 21 00 05 00 00 00 1b 00 01 00 00 00 1b,01 00 1b 29 1f 1b e6 01 2e 1c bf 23 54 2d 1d dd e2 dd 94 2a df 61 df 61 3c
1/S1011.DAT,0x47950,0x47952,0x47954,0x47969,0x47969,0x17,23,21,1,0x4794A,high,control_0100,01 00,00 00 00 21 00 05 00 00 00 1b 00 01 00 00 00 1b,01 00 41 2d 1d 2e 36 e6 01 a9 23 1e 21 1b 22 89 dd ac 4a 48 1d 1b 02
1/S1011.DAT,0x4799A,0x4799C,0x4799E,0x479C8,0x479C8,0x17,44,42,1,0x47994,high,control_0100,01 00,00 00 21 00 05 00 00 00 1b 00 01 00 00 00 1b 00,01 00 da 2a dd 92 49 32 58 e6 01 a3 6f 34 60 42 dd 17 20 33 01 b5 20 46 2a 9a 22 41 32 2a 43 2a 8e dd 9c 1c 3b 44 21 df 61 df 61 37
1/S1011.DAT,0x479F8,0x479FA,0x479FC,0x47A20,0x47A20,0x17,38,36,2,0x479F2,high,control_0100,01 00,00 00 21 00 05 00 00 00 1b 00 01 00 00 00 1b 00,01 00 41 1e 21 e6 01 dd 2f 1c de 76 2f 7d 3e dd 70 1c de 01 36 1e 21 e6 01 5d 96 36 de 77 df 40 3a 59 33 32 22 37
1/S1011.DAT,0x47A50,0x47A52,0x47A54,0x47A60,0x47A60,0x17,14,12,0,0x47A4A,high,control_0100,01 00,00 00 21 00 05 00 00 00 1b 00 01 00 00 00 1b 00,01 00 41 2d 1d 1c 28 24 79 51 2d 35 43 37
1/S1011.DAT,0x47ACE,0x47AD0,0x47AD2,0x47AEC,0x47AEC,0x17,28,26,1,0x47AC8,high,control_0100,01 00,00 00 21 00 05 00 00 00 1b 00 01 00 00 00 1b 00,01 00 df 61 df 61 97 dd 57 e4 3d e6 01 6e 38 dd c4 2e 33 1d 20 29 1f 4a 48 1d 1b 37
1/S1011.DAT,0x47B3C,0x47B3E,0x47B3E,0x47B6F,0x47B6F,0x19,49,49,2,0x47B36,high,none,,00 00 00 21 00 05 00 00 00 1b 00 01 00 00 00 1b,3d 3e 6a 01 60 8f 34 1c bf 2f dd 28 1e 1f 02 e6 01 14 11 11 11 da 38 1c d4 44 23 43 1f 39 e6 01 43 32 2f dd 0f 4a dd 5d 51 1e bf 2f df 61 df 61
1/S1011.DAT,0x47BAE,0x47BB0,0x47BB2,0x47BB7,0x47BB7,0x17,7,5,0,0x47BA8,high,control_0100,01 00,00 00 00 21 00 05 00 00 00 1b 00 01 00 00 00 1b,01 00 df 61 df 61 3c
1/S1013.DAT,0x478E6,0x478E8,0x478EA,0x4790E,0x4790E,0x17,38,36,2,0x478E0,high,control_0100,01 00,00 00 21 00 05 00 00 00 1b 00 01 00 00 00 1b 00,01 00 df 61 df 61 2b dd 35 21 28 e6 01 2e 1c 60 8f 34 1c bf 2f dd 28 1e 1f e6 01 3f 1c cf 20 33 dd 5b 27 29 1f 37
1/S1013.DAT,0x47944,0x47946,0x47948,0x4796A,0x4796A,0x17,36,34,2,0x4793E,high,control_0100,01 00,00 00 21 00 05 00 00 00 1b 00 01 00 00 00 1b 00,01 00 35 20 33 01 2e 1c bf 2f e6 01 38 26 8e dd 20 dd 28 2b 36 e6 01 dd 79 43 29 21 1e 27 26 a9 2a 2b 22 37
1/S1013.DAT,0x47A18,0x47A1A,0x47A1C,0x47A2A,0x47A2A,0x17,16,14,0,0x47A12,high,control_0100,01 00,00 00 21 00 05 00 00 00 1b 00 01 00 00 00 1b 00,01 00 e4 3d de 88 32 1f 3e 1d 1b df 61 df 61 37
1/S1013.DAT,0x47B2C,0x47B2E,0x47B2E,0x47B5B,0x47B5B,0x19,45,45,3,0x47B26,high,none,,00 00 00 21 00 05 00 00 00 1b 00 01 00 00 00 1b,42 31 4e 81 31 5f 34 25 e6 01 c8 dd 20 2e 41 24 5b cd dd 1a 5a 1c dd 0f dd 44 2f e6 01 dd 34 3e a9 1c 3d 26 35 1d e6 01 dd 47 7e 3d 02
