index,row,column,plane,tier,code_hex
586,6,20,2,1,DE 70
590,7,0,2,1,DE 74
598,7,2,2,1,DE 7C
605,7,4,1,1,DE 83
607,7,4,3,1,DE 85
610,7,5,2,1,DE 88
613,7,6,1,1,DE 8B
620,7,8,0,1,DE 92
623,7,8,3,1,DE 95
639,7,12,3,1,DE A5
641,7,13,1,1,DE A7
642,7,13,2,1,DE A8
647,7,14,3,1,DE AD
650,7,15,2,1,DE B0
652,7,16,0,1,DE B2
664,7,19,0,1,DE BE
666,7,19,2,1,DE C0
671,7,20,3,1,DE C5
720,8,12,0,1,DE F6
727,8,13,3,1,DE FD
824,9,17,0,1,DF 5F
840,10,0,0,2,DF 6F
841,10,0,1,2,DF 70
842,10,0,2,2,DF 71
843,10,0,3,2,DF 72
844,10,1,0,2,DF 73
845,10,1,1,2,DF 74
847,10,1,3,2,DF 76
848,10,2,0,2,DF 77
849,10,2,1,2,DF 78
850,10,2,2,2,DF 79
851,10,2,3,2,DF 7A
909,10,17,1,2,DF B4
925,11,0,1,2,DF C4
926,11,0,2,2,DF C5
927,11,0,3,2,DF C6
932,11,2,0,2,DF CB
933,11,2,1,2,DF CC
934,11,2,2,2,DF CD
935,11,2,3,2,DF CE
946,11,5,2,2,DF D9
952,11,7,0,2,DF DF
953,11,7,1,2,DF E0
989,11,16,1,2,E0 05
996,11,18,0,2,E0 0C
998,11,18,2,2,E0 0E
1008,12,0,0,2,E0 18
1010,12,0,2,2,E0 1A
1011,12,0,3,2,E0 1B
1018,12,2,2,2,E0 22
1019,12,2,3,2,E0 23
1092,13,0,0,2,E0 6C
1094,13,0,2,2,E0 6E
1095,13,0,3,2,E0 6F
1097,13,1,1,2,E0 71
1098,13,1,2,2,E0 72
1099,13,1,3,2,E0 73
1100,13,2,0,2,E0 74
1101,13,2,1,2,E0 75
1102,13,2,2,2,E0 76
1429,17,0,1,2,E1 BE
1430,17,0,2,2,E1 BF
1431,17,0,3,2,E1 C0
1432,17,1,0,2,E1 C1
1433,17,1,1,2,E1 C2
1434,17,1,2,2,E1 C3
1435,17,1,3,2,E1 C4
1436,17,2,0,2,E1 C5
1437,17,2,1,2,E1 C6
1438,17,2,2,2,E1 C7
1440,17,3,0,2,E1 C9
1441,17,3,1,2,E1 CA
1442,17,3,2,2,E1 CB
1443,17,3,3,2,E1 CC
1444,17,4,0,2,E1 CD
1445,17,4,1,2,E1 CE
1447,17,4,3,2,E1 D0
1448,17,5,0,2,E1 D1
1449,17,5,1,2,E1 D2
1450,17,5,2,2,E1 D3
1451,17,5,3,2,E1 D4
1452,17,6,0,2,E1 D5
1453,17,6,1,2,E1 D6
1454,17,6,2,2,E1 D7
1455,17,6,3,2,E1 D8
1457,17,7,1,2,E1 DA
1458,17,7,2,2,E1 DB
1459,17,7,3,2,E1 DC
1460,17,8,0,2,E1 DD
1461,17,8,1,2,E1 DE
1462,17,8,2,2,E1 DF
1463,17,8,3,2,E1 E0
1464,17,9,0,2,E1 E1
1465,17,9,1,2,E1 E2
1466,17,9,2,2,E1 E3
1467,17,9,3,2,E1 E4
1468,17,10,0,2,E1 E5
1469,17,10,1,2,E1 E6
1470,17,10,2,2,E1 E7
1471,17,10,3,2,E1 E8
1472,17,11,0,2,E1 E9
1473,17,11,1,2,E1 EA
1474,17,11,2,2,E1 EB
1475,17,11,3,2,E1 EC
1476,17,12,0,2,E1 ED
1477,17,12,1,2,E1 EE
1478,17,12,2,2,E1 EF
1479,17,12,3,2,E1 F0
