char,index,row,column,plane,location,occurrences,codes,original_plane_nonblank,original_text_used
괄,59,0,14,3,COMM.IMG,395,3C,1,1
량,63,0,15,3,COMM.IMG,357,40,1,1
덕,67,0,16,3,COMM.IMG,270,44,1,1
니,68,0,17,0,COMM.IMG,1054,45,1,1
에,69,0,17,1,COMM.IMG,902,46,1,1
의,76,0,19,0,COMM.IMG,892,4D,1,1
어,77,0,19,1,COMM.IMG,741,4E,1,1
그,78,0,19,2,COMM.IMG,734,4F,1,1
고,80,0,20,0,COMM.IMG,686,51,1,1
나,81,0,20,1,COMM.IMG,672,52,1,1
있,82,0,20,2,COMM.IMG,673,53,1,1
은,85,1,0,1,COMM.IMG,553,56,1,1
서,88,1,1,0,COMM.IMG,561,59,1,1
시,92,1,2,0,COMM.IMG,528,5D,1,1
도,93,1,2,1,COMM.IMG,447,5E,1,1
정,94,1,2,2,COMM.IMG,454,5F,1,1
습,96,1,3,0,COMM.IMG,491,61,1,1
를,100,1,4,0,COMM.IMG,433,65,1,1
게,101,1,4,1,COMM.IMG,380,66,1,1
여,102,1,4,2,COMM.IMG,298,67,1,1
만,103,1,4,3,COMM.IMG,420,68,1,1
기,104,1,5,0,COMM.IMG,450,69,1,1
사,105,1,5,1,COMM.IMG,436,6A,1,1
기,106,1,5,2,COMM.IMG,127,6B,1,1
까,108,1,6,0,COMM.IMG,337,6D,1,1
초,109,1,6,1,COMM.IMG,411,6E,1,1
스,110,1,6,2,COMM.IMG,360,6F,1,1
까,111,1,6,3,COMM.IMG,184,70,1,1
핀,112,1,7,0,COMM.IMG,370,71,1,1
지,113,1,7,1,COMM.IMG,1102,72,1,1
지,114,1,7,2,COMM.IMG,90,73,1,1
해,115,1,7,3,COMM.IMG,518,74,1,1
오,116,1,8,0,COMM.IMG,365,75,1,1
수,117,1,8,1,COMM.IMG,305,76,1,1
대,118,1,8,2,COMM.IMG,407,77,1,1
다,119,1,8,3,COMM.IMG,1539,78,1,1
야,120,1,9,0,COMM.IMG,357,79,1,1
으,121,1,9,1,COMM.IMG,315,7A,1,1
것,122,1,9,2,COMM.IMG,383,7B,1,1
들,123,1,9,3,COMM.IMG,974,7C,1,1
뒤,124,1,10,0,COMM.IMG,241,7D,1,1
면,125,1,10,1,COMM.IMG,360,7E,1,1
뒤,126,1,10,2,COMM.IMG,84,7F,1,1
뒤,127,1,10,3,COMM.IMG,4682,80,1,1
령,128,1,11,0,COMM.IMG,305,81,1,1
전,129,1,11,1,COMM.IMG,299,82,1,1
인,130,1,11,2,COMM.IMG,435,83,1,1
는,131,1,11,3,COMM.IMG,1096,84,1,1
한,132,1,12,0,COMM.IMG,274,85,1,1
신,133,1,12,1,COMM.IMG,389,86,1,1
주,134,1,12,2,COMM.IMG,378,87,1,1
우,135,1,12,3,COMM.IMG,399,88,1,1
자,136,1,13,0,COMM.IMG,402,89,1,1
보,137,1,13,1,COMM.IMG,235,8A,1,1
요,138,1,13,2,COMM.IMG,220,8B,1,1
자,139,1,13,3,COMM.IMG,191,8C,1,1
터,140,1,14,0,COMM.IMG,289,8D | E9 01,1,1
