state,lineage,release_relevant,frame_hook,gpu_context,parity,active_ot_packets,cache_text_reads,cache_nontext_reads,cache_write_conflicts,read_details,write_details
HASH-11CEE3D6EFD0E09B_resume.sav,stock,1,0x0C047205,0x801AEBA8,1,612,0,0,0,,
HASH-12BD1585B27C0E7E_resume.sav,other_or_unknown,0,0x0C06881D,0x801AE1E4,0,734,0,0,0,,
HASH-173A20935C195812_1.sav,other_or_unknown,0,0x0C06881D,0x801AEBA8,1,809,0,0,0,,
HASH-173A20935C195812_resume.sav,other_or_unknown,0,0x0C06881D,0x801AE1E4,0,808,0,0,0,,
HASH-17493FFCCFAA8DB8_1.sav,other_or_unknown,0,0x0C06881D,0x801AEBA8,1,800,0,0,0,,
HASH-17493FFCCFAA8DB8_resume.sav,other_or_unknown,0,0x0C06881D,0x801AE1E4,0,859,0,0,0,,
HASH-1820FA8E2030B89F_1.sav,stock,1,0x0C047205,0x801AE1E4,0,753,0,0,0,,
HASH-1820FA8E2030B89F_2.sav,stock,1,0x0C047205,0x801AEBA8,1,750,0,0,0,,
HASH-1820FA8E2030B89F_resume.sav,stock,1,0x0C047205,0x801AE1E4,0,753,0,0,0,,
HASH-21806B09E3591E67_resume.sav,stock,1,0x0C047205,0x801AE1E4,0,511,0,0,0,,
HASH-244AAEDCE95C4ACA_1.sav,stock,1,0x0C047205,0x801AEBA8,1,531,0,0,0,,
HASH-244AAEDCE95C4ACA_2.sav,stock,1,0x0C047205,0x801AE1E4,0,704,0,0,0,,
HASH-244AAEDCE95C4ACA_3.sav,stock,1,0x0C047205,0x801AE1E4,0,704,0,0,0,,
HASH-244AAEDCE95C4ACA_4.sav,stock,1,0x0C047205,0x801AEBA8,1,702,0,0,0,,
HASH-244AAEDCE95C4ACA_5.sav,stock,1,0x0C047205,0x801AEBA8,1,893,0,0,0,,
HASH-244AAEDCE95C4ACA_resume.sav,stock,1,0x0C047205,0x801AEBA8,1,893,0,0,0,,
HASH-24C179AA0A196FA8_1.sav,stock,1,0x0C047205,0x801AE1E4,0,794,0,0,0,,
HASH-24C179AA0A196FA8_2.sav,stock,1,0x0C047205,0x801AEBA8,1,793,0,0,0,,
