char,kind,code_1byte,code_2byte,physical_index,source_id,frequency
가,static,8F,E9 02,142,,1095
각,static,,E0 0E,998,,42
간,static,,DE C5,671,,83
갈,static,,E1 C3,1434,,29
감,static,,E0 01,985,,40
갑,dynamic,,E9 12,,9,16
값,dynamic,,E9 C8,,152,2
갔,static,,DF 60,825,,8
강,static,,DF 5F,824,,73
같,static,,E0 81,1113,,48
갚,static,,DE F5,719,,6
개,static,,E1 C2,1433,,30
갯,dynamic,,EA 1B,,196,1
거,static,AF,E9 0C,174,,597
걱,static,,DE F4,718,,6
건,static,,DE C7,673,,82
걷,static,,DF 5D,822,,2
걸,static,,E0 72,1098,,34
검,static,,DE F3,717,,26
겁,static,,E1 E7,1470,,19
것,static,7B,E9 14,122,,385
게,static,66,E9 0E,101,,398
겐,static,,E1 C5,1436,,29
겠,static,C4,E9 0A,195,,286
겨,static,,E0 16,1006,,25
격,static,,DE 85,607,,104
견,dynamic,,E9 60,,7,17
결,static,,DF 86,863,,53
겸,dynamic,,E9 4A,,62,7
겼,dynamic,,E9 CF,,153,2
경,static,9A,E9 0D,153,,219
계,static,,DE A7,641,,93
고,static,51,E9 17,80,,707
곤,dynamic,,EA 1D,,89,5
곧,static,,DF 5C,821,,16
골,dynamic,,EA 1E,,161,2
곳,static,,DE B0,650,,89
공,static,,DE 92,620,,95
과,static,,DE B2,652,,88
관,static,,E1 DD,1460,,21
괄,static,3C,,59,,395
광,dynamic,,E9 56,,40,10
괜,static,,DF 85,862,,63
괴,static,,E0 15,1005,,39
굉,static,,DF 5B,820,,7
교,dynamic,,E9 98,,130,3
구,static,A7,E9 16,166,,164
국,static,,DE 88,610,,100
군,static,9B,E9 26,154,,187
굴,dynamic,,E9 51,,54,8
권,dynamic,,E9 7F,,122,3
궤,static,,E1 BF,1430,,31
귀,dynamic,,EA 1F,,41,10
규,static,,DF 7F,856,,1
그,static,4F,E9 19,78,,750
극,dynamic,,EA 20,,43,10
근,dynamic,,E9 59,,63,7
글,static,,DE F2,716,,15
금,static,,DF 7E,855,,53
급,dynamic,,E9 B4,,114,4
긋,dynamic,,E9 76,,138,2
기,static,69,E9 1B,104,,629
긴,dynamic,,E9 53,,6,17
길,static,,DE 41,539,,33
깁,static,,DE B7,657,,2
까,static,6D,E9 0F,108,,529
깐,dynamic,,E9 35,,60,7
깨,static,,DF 58,817,,10
꺄,static,,DF 57,816,,2
꺼,static,,DF 89,866,,10
껍,dynamic,,EA 21,,175,1
껏,dynamic,,E9 50,,79,6
껐,static,,DF 9A,883,,3
께,static,,DE FD,727,,80
껴,dynamic,,E9 5E,,120,3
꼬,static,,DF 56,815,,5
꼭,static,,DE F1,715,,2
꽃,static,,DF 99,882,,34
꾀,dynamic,,E9 49,,135,2
꾸,static,,E1 E3,1466,,20
꿔,static,,DE F0,714,,3
뀌,static,,DF 7D,854,,4
끄,static,,DF 55,814,,8
끈,dynamic,,EA 22,,29,11
끊,static,,DF 54,813,,3
끌,static,,DF 53,812,,7
끓,dynamic,,E9 D1,,169,1
끔,dynamic,,E9 4B,,78,6
끝,static,,DF 52,811,,30
끼,dynamic,,E9 C1,,72,7
나,static,52,E9 20,81,,699
낙,dynamic,,E9 3B,,45,9
난,static,,E0 0C,996,,42
날,static,,DF 98,881,,44
남,static,,E0 2C,1028,,61
낫,dynamic,,EA 23,,195,1
났,static,,DF 51,810,,11
낳,dynamic,,E9 96,,58,8
내,static,94,E9 23,147,,364
낼,static,,DE EF,713,,13
냈,dynamic,,E9 B8,,148,2
냉,dynamic,,EA 24,,178,1
냐,static,,E0 2E,1030,,50
너,static,DB,E9 24,218,,157
넌,static,,DF 50,809,,3
널,static,,DF 4F,808,,6
넘,static,,E1 EF,1478,,18
넣,static,C8,E9 27,199,,221
네,static,BE,EA 25,189,,168
녀,static,,DE EE,712,,35
년,static,,DF D8,945,,29
념,dynamic,,E9 C9,,168,1
녔,static,,DF 4E,807,,3
노,static,,DF CB,932,,51
놀,static,,DF E1,954,,6
놈,static,,DF 4D,806,,34
놓,dynamic,,E9 08,,15,14
뇌,dynamic,,EA 26,,156,2
뇨,static,,DE A3,637,,1
누,static,,E0 34,1036,,48
눈,static,,DE 35,527,,16
눌,static,,DE ED,711,,3
느,static,,E0 75,1101,,33
는,static,84,E9 2A,131,,1110
늘,static,,DF D7,944,,39
능,static,,E1 E0,1463,,20
늪,dynamic,,E9 8F,,108,4
니,static,45,E9 2C,68,,1097
닌,static,,DF 4C,805,,21
닐,static,,DE 7E,600,,4
님,static,,DF 73,844,,70
닙,static,,DF 4B,804,,10
다,static,78,E9 2D,119,,1597
단,static,,DF 7A,851,,65
닫,static,,DF 49,802,,6
달,dynamic,,E9 55,,49,9
담,static,,DF 48,801,,4
답,dynamic,,E9 67,,93,5
닷,dynamic,,EA 28,,174,1
당,static,,DF 47,800,,81
대,static,77,E9 31,118,,430
더,static,,E1 C1,1432,,31
덕,static,44,,67,,270
던,static,,DD F1,460,,73
덤,dynamic,,E9 B3,,165,1
덮,static,,DE EC,710,,1
데,static,AD,E9 07,172,,178
덴,dynamic,,EA 29,,144,2
델,static,,DD C0,411,,19
도,static,5E,E9 36,93,,456
독,dynamic,,EA 2A,,87,6
돌,static,B1,E9 37,176,,199
돕,static,,DF 46,799,,2
동,static,,DF 77,848,,69
돼,static,,E1 CA,1441,,27
됐,static,,E1 EE,1477,,18
되,static,C2,E9 39,193,,188
된,static,,DF 45,798,,24
될,static,,DF 44,797,,22
됩,static,,DF 43,796,,28
두,static,,DE F6,720,,81
둔,static,,DF 96,879,,30
둘,static,,DF 42,795,,26
둬,dynamic,,E9 8A,,141,2
뒤,static,7D,E9 22,124,,5008
드,static,,DF 41,794,,71
득,static,,DE 5B,565,,5
든,static,,DF 59,818,,73
듣,dynamic,,E9 6B,,13,15
들,static,7C,E9 3D,123,,977
듦,dynamic,,EA 2D,,197,1
듭,static,,DE EB,709,,3
듯,dynamic,,E9 3E,,47,9
등,dynamic,,E9 C6,,167,1
디,static,,E1 D8,1455,,22
딘,dynamic,,E9 6E,,82,6
따,static,,DF 40,793,,26
딸,dynamic,,E9 9D,,85,6
땅,dynamic,,E9 68,,42,10
때,static,B9,E9 01,184,,321
떠,static,,E1 DE,1461,,20
떡,static,,DF 3F,792,,1
떤,static,,DE 56,560,,15
떨,dynamic,,E9 6F,,107,4
떻,static,,DF B4,909,,56
또,dynamic,,E9 45,,24,12
똑,dynamic,,E9 D3,,171,1
뛰,static,,DF 3E,791,,5
뛴,static,,DE EA,708,,3
뛸,dynamic,,E9 9F,,164,1
뜨,dynamic,,E9 09,,8,16
뜻,static,,DF 3D,790,,7
띄,dynamic,,EA 2E,,193,1
띠,dynamic,,EA 2F,,69,7
라,static,,DE 74,590,,442
락,dynamic,,EA 30,,61,7
란,dynamic,,E9 6A,,28,11
람,static,,DF 25,766,,79
랑,dynamic,,EA 31,,64,7
래,static,,DE A8,642,,91
랙,dynamic,,EA 32,,201,1
랜,dynamic,,E9 8C,,143,2
랩,dynamic,,EA 33,,204,1
량,static,40,,63,,357
러,static,A3,E9 42,162,,190
런,static,,DF 6F,840,,71
럼,static,,DF 3C,789,,51
럽,dynamic,,E9 5D,,119,3
렇,static,,DF C4,925,,51
레,static,,DF E8,961,,46
렉,dynamic,,EA 34,,184,1
렌,static,,DF 95,878,,27
렘,dynamic,,EA 35,,162,2
렛,dynamic,,EA 36,,173,1
려,static,93,E9 46,146,,225
력,static,,DF 71,842,,71
련,static,,E1 D1,1448,,24
렬,dynamic,,EA 37,,189,1
렴,dynamic,,E9 10,,44,9
렸,static,,DD A5,384,,32
령,static,81,E9 48,128,,307
례,dynamic,,E9 34,,59,7
로,static,,DE 70,586,,457
록,static,,DD 8D,360,,38
론,static,,E1 C7,1438,,28
롭,static,,DF 94,877,,6
뢰,dynamic,,EA 39,,158,2
료,dynamic,,E9 71,,12,16
루,static,,DF B2,907,,58
룬,dynamic,,EA 3A,,190,1
류,static,,E0 11,1001,,41
률,dynamic,,EA 3B,,98,5
륭,static,,E0 12,1002,,6
르,static,99,E9 4C,152,,203
른,static,,E1 CB,1442,,25
를,static,65,E9 4D,100,,452
름,dynamic,,E9 1E,,25,11
리,static,BD,E9 4F,188,,710
릭,dynamic,,E9 AE,,112,4
린,static,,E1 D7,1454,,22
릴,static,,E1 D5,1452,,22
림,static,,DF 3A,787,,11
립,dynamic,,E9 44,,22,13
링,dynamic,,EA 3C,,66,7
마,static,D4,E9 52,211,,412
막,static,,DF 39,786,,28
만,static,68,E9 54,103,,427
많,static,,DD 2C,263,,28
말,static,92,E9 1C,145,,233
맙,dynamic,,E9 84,,124,3
망,static,,E0 05,989,,43
맞,static,,E1 C9,1440,,27
맡,static,,E1 CD,1444,,25
매,static,,DF 38,785,,24
맨,dynamic,,EA 3D,,4,17
맵,dynamic,,E9 30,,134,2
머,static,,DF 7C,853,,46
먹,dynamic,,E9 58,,39,10
먼,static,,DF C2,923,,24
멋,static,,DF C1,922,,3
메,static,,DF 74,845,,70
멘,static,,DF C0,921,,6
며,static,,DF BF,920,,15
면,static,7E,E9 5C,125,,373
멸,static,,E1 DC,1459,,21
명,static,,DF 79,850,,67
몇,dynamic,,E9 BE,,166,1
모,static,98,E9 5F,151,,300
목,static,,DD 26,257,,68
몬,static,AB,E9 61,170,,231
몰,static,,E1 D4,1451,,23
몸,static,,DF 36,783,,12
못,static,,E0 22,1018,,37
무,static,96,E9 64,149,,253
묵,dynamic,,EA 3F,,133,3
문,static,,DF 7B,852,,28
물,static,AA,E9 66,169,,209
뭐,static,,DF F8,977,,45
뭔,static,,E1 E9,1472,,19
뭘,dynamic,,E9 29,,75,6
므,dynamic,,E9 A9,,70,7
미,static,,DF 72,843,,70
민,static,,DF BE,919,,19
믿,static,,DF 35,782,,22
밀,dynamic,,E9 69,,21,13
바,static,,DE 6B,581,,106
