row,col,changed_planes,reason
0,17,0 1,sampled_nontext_consumer
0,19,0 1 2,sampled_nontext_consumer
0,20,0 1 2,sampled_nontext_consumer
1,2,0 1 2,sampled_nontext_consumer
1,4,0 1 2 3,sampled_nontext_consumer
1,7,0 1 2 3,sampled_nontext_consumer
1,8,0 1 2 3,sampled_nontext_consumer
1,11,0 1 2 3,sampled_nontext_consumer
1,17,0 1 2,sampled_nontext_consumer
2,0,0 1 2,sampled_nontext_consumer
2,9,0 1,sampled_nontext_consumer
2,10,0 1 2 3,sampled_nontext_consumer
2,11,0,sampled_nontext_consumer
6,7,2,sampled_nontext_consumer
6,20,2,sampled_nontext_consumer
7,19,0 2,sampled_nontext_consumer
9,7,0 1 2 3,sampled_nontext_consumer
10,0,0 1 2 3,sampled_nontext_consumer
10,1,0 1 3,sampled_nontext_consumer
10,2,0 1 2 3,sampled_nontext_consumer
10,3,0 1 2 3,sampled_nontext_consumer
10,4,0 2 3,sampled_nontext_consumer
10,5,0 1 2 3,sampled_nontext_consumer
10,9,0 1 2 3,sampled_nontext_consumer
10,10,0 1 2 3,sampled_nontext_consumer
10,12,0 1 2 3,sampled_nontext_consumer
10,13,0 1 2 3,sampled_nontext_consumer
10,14,0 1 2 3,sampled_nontext_consumer
10,15,0 1 2 3,sampled_nontext_consumer
10,16,0 1 2 3,sampled_nontext_consumer
10,17,0 1 2 3,sampled_nontext_consumer
10,18,0 1 2 3,sampled_nontext_consumer
11,0,1 2 3,sampled_nontext_consumer
11,2,0 1 2 3,sampled_nontext_consumer
11,5,0 1 2,sampled_nontext_consumer
11,9,0 1 2 3,sampled_nontext_consumer
11,10,0 1 2 3,sampled_nontext_consumer
11,13,0 1 2 3,sampled_nontext_consumer
11,14,0 1 2 3,sampled_nontext_consumer
11,15,1 2,sampled_nontext_consumer
11,16,0 1 2,sampled_nontext_consumer
11,17,1 2,sampled_nontext_consumer
12,0,0 2 3,sampled_nontext_consumer
12,2,1 2 3,sampled_nontext_consumer
12,5,0 2,sampled_nontext_consumer
12,7,0 1 2,sampled_nontext_consumer
13,0,0 2 3,sampled_nontext_consumer
13,1,1 2 3,sampled_nontext_consumer
13,2,0 1 2,sampled_nontext_consumer
13,5,0 1 2 3,sampled_nontext_consumer
