state,source_file,match_ratio,marker,ram_marker_offset,ram_payload_start,file_payload_start,end_exclusive,length,prefix_kind,payload_hex
slot1.state.bin,22/S2053.DAT,1.000000,0x19,0x1170CC,0x1170CE,0x478CE,0x478E7,25,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot1.state.bin,22/S2053.DAT,1.000000,0x17,0x117124,0x117128,0x47928,0x4793B,19,control_0000,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot1.state.bin,22/S2053.DAT,1.000000,0x19,0x117178,0x11717A,0x4797A,0x47988,14,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c
slot1.state.bin,22/S2053.DAT,1.000000,0x19,0x1171B8,0x1171BA,0x479BA,0x479DA,32,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot1.state.bin,22/S2053.DAT,1.000000,0x19,0x11721C,0x11721E,0x47A1E,0x47A2D,15,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot1.state.bin,22/S2053.DAT,1.000000,0x19,0x11725E,0x117260,0x47A60,0x47A88,40,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot1.state.bin,22/S2053.DAT,1.000000,0x19,0x1172BE,0x1172C0,0x47AC0,0x47AD6,22,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot1.state.bin,22/S2053.DAT,1.000000,0x19,0x11730C,0x11730E,0x47B0E,0x47B47,57,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot1.state.bin,22/S2053.DAT,1.000000,0x19,0x11737E,0x117380,0x47B80,0x47BAC,44,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot2.state.bin,F/SF091.DAT,1.000000,0x19,0x11707E,0x117080,0x47880,0x478BE,62,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot2.state.bin,F/SF091.DAT,1.000000,0x19,0x117126,0x117128,0x47928,0x47952,42,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot2.state.bin,F/SF091.DAT,1.000000,0x19,0x117182,0x117184,0x47984,0x479A6,34,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot2.state.bin,F/SF091.DAT,1.000000,0x19,0x1171D6,0x1171D8,0x479D8,0x479F9,33,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot2.state.bin,F/SF091.DAT,1.000000,0x19,0x11722A,0x11722C,0x47A2C,0x47A60,52,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot2.state.bin,F/SF091.DAT,1.000000,0x19,0x117290,0x117292,0x47A92,0x47ABD,43,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot2.state.bin,F/SF091.DAT,1.000000,0x19,0x1172EE,0x1172F0,0x47AF0,0x47B1F,47,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot2.state.bin,F/SF091.DAT,1.000000,0x19,0x117350,0x117352,0x47B52,0x47B7D,43,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot2.state.bin,F/SF091.DAT,1.000000,0x19,0x1173AE,0x1173B0,0x47BB0,0x47BDC,44,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot2.state.bin,F/SF091.DAT,1.000000,0x19,0x11740C,0x11740E,0x47C0E,0x47C30,34,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot3.state.bin,F/SF091.DAT,1.000000,0x19,0x11707E,0x117080,0x47880,0x478BE,62,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot3.state.bin,F/SF091.DAT,1.000000,0x19,0x117126,0x117128,0x47928,0x47952,42,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot3.state.bin,F/SF091.DAT,1.000000,0x19,0x117182,0x117184,0x47984,0x479A6,34,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot3.state.bin,F/SF091.DAT,1.000000,0x19,0x1171D6,0x1171D8,0x479D8,0x479F9,33,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot3.state.bin,F/SF091.DAT,1.000000,0x19,0x11722A,0x11722C,0x47A2C,0x47A60,52,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot3.state.bin,F/SF091.DAT,1.000000,0x19,0x117290,0x117292,0x47A92,0x47ABD,43,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot3.state.bin,F/SF091.DAT,1.000000,0x19,0x1172EE,0x1172F0,0x47AF0,0x47B1F,47,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot3.state.bin,F/SF091.DAT,1.000000,0x19,0x117350,0x117352,0x47B52,0x47B7D,43,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot3.state.bin,F/SF091.DAT,1.000000,0x19,0x1173AE,0x1173B0,0x47BB0,0x47BDC,44,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot3.state.bin,F/SF091.DAT,1.000000,0x19,0x11740C,0x11740E,0x47C0E,0x47C30,34,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot4.state.bin,F/SF091.DAT,1.000000,0x19,0x11707E,0x117080,0x47880,0x478BE,62,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot4.state.bin,F/SF091.DAT,1.000000,0x19,0x117126,0x117128,0x47928,0x47952,42,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot4.state.bin,F/SF091.DAT,1.000000,0x19,0x117182,0x117184,0x47984,0x479A6,34,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot4.state.bin,F/SF091.DAT,1.000000,0x19,0x1171D6,0x1171D8,0x479D8,0x479F9,33,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot4.state.bin,F/SF091.DAT,1.000000,0x19,0x11722A,0x11722C,0x47A2C,0x47A60,52,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot4.state.bin,F/SF091.DAT,1.000000,0x19,0x117290,0x117292,0x47A92,0x47ABD,43,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot4.state.bin,F/SF091.DAT,1.000000,0x19,0x1172EE,0x1172F0,0x47AF0,0x47B1F,47,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot4.state.bin,F/SF091.DAT,1.000000,0x19,0x117350,0x117352,0x47B52,0x47B7D,43,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot4.state.bin,F/SF091.DAT,1.000000,0x19,0x1173AE,0x1173B0,0x47BB0,0x47BDC,44,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot4.state.bin,F/SF091.DAT,1.000000,0x19,0x11740C,0x11740E,0x47C0E,0x47C30,34,none,98 a0 e6 01 90 8c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c 9c
slot5.state.bin,F/SF0B1.DAT,1.000000,0x19,0x1170C2,0x1170C4,0x478C4,0x478EE,42,none,5e 5d 25 e6 01 41 1c cf 24 dd 4b 1c dd ab 1e 1f 1c 2a e6 01 5b 52 dd a3 2a dd 40 dd 95 2b 22 5a 36 1b 26 91 dd 61 1d 1c 35 37
slot5.state.bin,F/SF0B1.DAT,1.000000,0x19,0x117124,0x117126,0x47926,0x47940,26,none,50 8b 25 e6 01 5d 27 30 41 1c 3d 26 1d 7a 2f 38 26 3a 32 21 28 df 61 df 61 37
slot5.state.bin,F/SF0B1.DAT,1.000000,0x19,0x117176,0x117178,0x47978,0x479B1,57,none,5e 5d 25 e6 01 5f 34 47 62 31 2a 3f 58 32 24 de fd de 68 1d 2e 36 2a dd 9b 3e c8 23 1d 29 21 dd 4b 1c 91 dd 61 36 24 2e 1c dd 07 dd ec 2a 9f 1b dd c4 2e 3a 32 22 1c 35 37
slot5.state.bin,F/SF0B1.DAT,1.000000,0x19,0x1171E2,0x1171E4,0x479E4,0x47A13,47,none,5e 5d 25 e6 01 42 31 4e 3d 24 d7 d1 36 97 1f 39 30 dd 3a 53 64 31 7c 1c e6 01 5c dd 14 31 dd 6d 1c dd 10 23 74 44 dd 4b 2a 6e 2f a0 1f 20 24
slot5.state.bin,F/SF0B1.DAT,1.000000,0x19,0x117244,0x117246,0x47A46,0x47A71,43,none,5e 5d 25 e6 01 41 1e 21 5b cd dd 1a 5a 2a 2e 1c 5e 1c 54 2e 23 3f 22 1c 20 54 26 2b 32 58 87 23 86 32 22 2e 36 2a 30 44 22 1c 20
slot5.state.bin,F/SF0B1.DAT,1.000000,0x19,0x1172A2,0x1172A4,0x47AA4,0x47ABB,23,none,5e 5d 25 e6 01 41 32 2f dd 86 dd 35 21 44 21 dd 24 1e 1b 1c 4a 48 37
slot5.state.bin,F/SF0B1.DAT,1.000000,0x17,0x1172F8,0x1172FC,0x47AFC,0x47B0F,19,control_0100,5d cb 24 85 38 13 52 23 dd 82 74 3a 59 21 3e 35 3a 1b 37
slot5.state.bin,F/SF0B1.DAT,1.000000,0x19,0x117358,0x11735A,0x47B5A,0x47B64,10,none,5e 5d 25 e6 01 3b 27 46 28 3c
slot5.state.bin,F/SF0B1.DAT,1.000000,0x17,0x11739A,0x11739E,0x47B9E,0x47BBD,31,control_0100,cd 90 60 8f 34 9b 2f dd a8 dd 06 dd 1e 22 8e dd 9c 1c de 01 30 4e 4e 53 36 38 26 1e 27 2b 37
