row,col,text_reads,nontext_reads,nontext_state_count
0,0,921,22,22
0,1,8,0,0
0,2,1,0,0
0,3,215,20,5
0,4,744,32,17
0,5,273,2,2
0,6,128,0,0
0,7,46,0,0
0,8,28,0,0
0,9,151,0,0
0,10,32,0,0
0,11,42,0,0
0,12,35,0,0
0,13,53,0,0
0,14,17,0,0
0,15,15,0,0
0,16,16,0,0
0,17,33,4,2
0,18,11,0,0
0,19,13,10,8
0,20,12,2,2
1,0,16,0,0
1,1,58,0,0
1,2,14,4,2
1,3,19,0,0
1,4,23,2,2
1,5,67,0,0
1,6,91,0,0
1,7,5,4,2
1,8,13,2,2
1,9,44,0,0
1,10,49,0,0
1,11,15,6,2
1,12,26,0,0
1,13,59,0,0
1,14,124,0,0
1,15,33,0,0
1,16,159,0,0
1,17,1480,70,20
1,18,16,0,0
1,19,51,0,0
1,20,38,0,0
2,0,14,2,2
2,1,60,0,0
2,2,62,1,1
2,3,28,0,0
2,4,13,0,0
2,5,81,0,0
2,6,30,0,0
2,7,38,0,0
2,8,21,0,0
2,9,26,2,2
2,10,14,3,3
2,11,7,2,2
2,12,29,0,0
2,13,1,0,0
2,14,4,0,0
2,15,0,0,0
2,16,5,0,0
2,17,1,0,0
2,18,0,0,0
2,19,1,0,0
2,20,0,0,0
3,0,0,0,0
3,1,5,0,0
3,2,0,0,0
3,3,1,0,0
3,4,3,0,0
3,5,2,0,0
3,6,0,0,0
3,7,0,0,0
3,8,1,0,0
3,9,10,0,0
3,10,2,0,0
3,11,1,0,0
3,12,1,0,0
3,13,3,0,0
3,14,1,0,0
3,15,0,0,0
3,16,0,0,0
3,17,0,0,0
3,18,0,0,0
3,19,2,0,0
3,20,0,0,0
4,0,0,0,0
4,1,0,0,0
4,2,0,0,0
4,3,0,0,0
4,4,0,0,0
4,5,0,0,0
4,6,5,0,0
4,7,0,0,0
4,8,0,0,0
4,9,1,0,0
4,10,0,0,0
4,11,0,0,0
4,12,0,0,0
4,13,0,0,0
4,14,1,0,0
4,15,0,0,0
4,16,0,0,0
4,17,0,0,0
4,18,0,0,0
4,19,0,0,0
4,20,0,0,0
5,0,0,0,0
5,1,5,0,0
5,2,1,0,0
5,3,0,0,0
5,4,0,0,0
5,5,1,0,0
5,6,1,0,0
5,7,0,0,0
5,8,0,0,0
5,9,0,0,0
5,10,0,0,0
5,11,80,0,0
5,12,0,0,0
5,13,0,0,0
5,14,0,0,0
5,15,0,0,0
5,16,0,0,0
5,17,2,0,0
5,18,0,0,0
5,19,3,0,0
5,20,0,0,0
6,0,0,0,0
6,1,1,0,0
6,2,0,0,0
6,3,0,0,0
6,4,0,0,0
6,5,0,0,0
6,6,0,0,0
6,7,22,2,2
6,8,3,0,0
6,9,0,0,0
6,10,0,0,0
6,11,0,0,0
6,12,3,0,0
6,13,0,0,0
6,14,1,0,0
6,15,0,0,0
6,16,2,0,0
6,17,0,0,0
6,18,0,0,0
6,19,0,0,0
6,20,0,3,3
7,0,31,0,0
7,1,0,0,0
7,2,7,0,0
7,3,0,0,0
7,4,10,0,0
7,5,20,0,0
7,6,2,0,0
7,7,0,0,0
7,8,23,0,0
7,9,0,0,0
7,10,1,0,0
7,11,0,0,0
7,12,1,0,0
7,13,19,0,0
7,14,8,0,0
7,15,4,0,0
7,16,4,0,0
7,17,3,0,0
7,18,0,0,0
7,19,29,2,2
7,20,3,0,0
8,0,35,0,0
8,1,5,0,0
8,2,1,0,0
8,3,0,0,0
8,4,26,0,0
8,5,3,0,0
8,6,3,0,0
8,7,0,0,0
8,8,0,0,0
8,9,0,0,0
8,10,3,0,0
8,11,3,0,0
8,12,2,0,0
8,13,6,0,0
8,14,7,0,0
8,15,2,0,0
8,16,24,0,0
8,17,42,0,0
8,18,6,0,0
8,19,60,0,0
8,20,15,0,0
9,0,3,0,0
9,1,1,0,0
9,2,10,0,0
9,3,0,0,0
9,4,2,0,0
9,5,2,0,0
9,6,2,0,0
9,7,6,3,3
9,8,2,0,0
9,9,29,0,0
9,10,5,0,0
9,11,2,0,0
9,12,1,0,0
9,13,13,0,0
9,14,0,0,0
9,15,8,2,1
9,16,3,0,0
9,17,13,0,0
9,18,0,0,0
9,19,0,0,0
9,20,3,0,0
10,0,4,28,28
10,1,9,25,25
10,2,3,89,25
10,3,3,64,16
10,4,56,64,16
10,5,17,64,16
10,6,1,0,0
10,7,3,0,0
10,8,12,0,0
10,9,3,3,3
10,10,7,3,3
10,11,0,0,0
10,12,0,3,3
10,13,6,1,1
10,14,3,2,2
10,15,1,1,1
10,16,3,1,1
10,17,5,1,1
10,18,5,2,2
10,19,4,0,0
10,20,7,0,0
11,0,4,25,25
11,1,0,25,25
11,2,2,89,25
11,3,16,64,16
11,4,2,64,16
11,5,1,66,18
11,6,0,0,0
11,7,35,0,0
11,8,15,0,0
11,9,63,1,1
11,10,3,1,1
11,11,4,0,0
11,12,2,0,0
11,13,30,1,1
11,14,9,2,2
11,15,1,1,1
11,16,3,1,1
11,17,41,3,3
11,18,0,0,0
11,19,13,0,0
11,20,19,0,0
12,0,0,25,25
12,1,0,25,25
12,2,1,89,25
12,3,20,64,16
12,4,17,64,16
12,5,2,64,16
12,6,36,0,0
12,7,91,3,3
12,8,42,0,0
12,9,13,0,0
12,10,18,0,0
12,11,58,0,0
12,12,16,0,0
12,13,8,0,0
12,14,11,0,0
12,15,42,0,0
12,16,46,0,0
12,17,55,0,0
12,18,70,0,0
12,19,51,0,0
12,20,53,0,0
13,0,2,25,25
13,1,0,25,25
13,2,4,89,25
13,3,11,64,16
13,4,12,64,16
13,5,7,64,16
13,6,16,0,0
13,7,38,0,0
13,8,57,0,0
13,9,16,0,0
13,10,20,0,0
13,11,66,0,0
13,12,82,0,0
13,13,27,0,0
13,14,40,0,0
13,15,53,0,0
13,16,37,0,0
13,17,15,0,0
13,18,26,0,0
13,19,4,0,0
13,20,70,0,0
14,0,145,0,0
14,1,73,0,0
14,2,46,0,0
14,3,14,0,0
14,4,0,0,0
