manifest,row,file,offset,exact_corpus,nearest_offset,nearest_delta,confidence,conflicting_texts
story_choice_layout_v20_translation.csv,2,1/S1023.DAT,0x47AB0,1,0x47AB0,0,high,1
story_choice_layout_v20_translation.csv,3,1/S1023.DAT,0x47B30,1,0x47B30,0,high,1
story_choice_layout_v20_translation.csv,4,31/S3012.DAT,0x47FF0,1,0x47FF0,0,high,1
story_house_to_throne_e2_translation.csv,2,D/SD011.DAT,0x47900,1,0x47900,0,high,0
story_house_to_throne_e2_translation.csv,3,D/SD011.DAT,0x47958,1,0x47958,0,high,0
story_house_to_throne_e2_translation.csv,4,D/SD011.DAT,0x479E0,1,0x479E0,0,high,0
story_house_to_throne_e2_translation.csv,5,D/SD011.DAT,0x47A20,1,0x47A20,0,high,0
story_house_to_throne_e2_translation.csv,6,D/SD011.DAT,0x47A66,1,0x47A66,0,high,0
story_house_to_throne_e2_translation.csv,7,D/SD011.DAT,0x47AB8,1,0x47AB8,0,high,0
story_house_to_throne_e2_translation.csv,8,D/SD011.DAT,0x47B14,1,0x47B14,0,high,0
story_house_to_throne_e2_translation.csv,9,D/SD011.DAT,0x47BAE,1,0x47BAE,0,high,0
story_house_to_throne_e2_translation.csv,10,D/SD011.DAT,0x47C0E,1,0x47C0E,0,high,0
story_house_to_throne_e2_translation.csv,11,D/SD011.DAT,0x47C5A,1,0x47C5A,0,high,0
story_house_to_throne_e2_translation.csv,12,1/S1041.DAT,0x4794A,1,0x4794A,0,high,0
story_house_to_throne_e2_translation.csv,13,1/S1041.DAT,0x479BA,1,0x479BA,0,high,0
story_house_to_throne_e2_translation.csv,14,1/S1041.DAT,0x47A12,1,0x47A12,0,high,0
story_house_to_throne_e2_translation.csv,15,1/S1041.DAT,0x47A56,1,0x47A56,0,high,0
story_house_to_throne_e2_translation.csv,16,1/S1041.DAT,0x47ABE,1,0x47ABE,0,high,0
story_house_to_throne_e2_translation.csv,17,1/S1041.DAT,0x47B12,1,0x47B12,0,high,0
story_house_to_throne_e2_translation.csv,18,1/S1041.DAT,0x47BB8,1,0x47BB8,0,high,0
story_house_to_throne_e2_translation.csv,19,1/S1041.DAT,0x47C86,1,0x47C86,0,high,0
story_house_to_throne_e2_translation.csv,20,1/S1041.DAT,0x47CD2,1,0x47CD2,0,high,0
story_house_to_throne_e2_translation.csv,21,1/S1041.DAT,0x47DD2,1,0x47DD2,0,high,0
story_house_to_throne_e2_translation.csv,22,1/S1041.DAT,0x47E22,1,0x47E22,0,high,0
story_house_to_throne_e2_translation.csv,23,1/S1041.DAT,0x47E68,1,0x47E68,0,high,0
story_house_to_throne_e2_translation.csv,24,1/S1041.DAT,0x47EA4,1,0x47EA4,0,high,0
story_house_to_throne_e2_translation.csv,25,1/S1041.DAT,0x47EE2,1,0x47EE2,0,high,0
story_house_to_throne_e2_translation.csv,26,1/S1041.DAT,0x47F2E,1,0x47F2E,0,high,0
story_house_to_throne_e2_translation.csv,27,1/S1041.DAT,0x47F9E,1,0x47F9E,0,high,0
story_house_to_throne_e2_translation.csv,28,1/S1041.DAT,0x48008,1,0x48008,0,high,0
story_house_to_throne_e2_translation.csv,29,1/S1041.DAT,0x48058,1,0x48058,0,high,0
story_house_to_throne_e2_translation.csv,30,1/S1041.DAT,0x480C0,1,0x480C0,0,high,0
story_house_to_throne_e2_translation.csv,31,1/S1041.DAT,0x480F6,1,0x480F6,0,high,0
story_house_to_throne_e2_translation.csv,32,1/S1041.DAT,0x48142,1,0x48142,0,high,0
story_house_to_throne_e2_translation.csv,33,1/S1041.DAT,0x48178,1,0x48178,0,high,0
story_house_to_throne_e2_translation.csv,34,1/S1041.DAT,0x481D2,1,0x481D2,0,high,0
story_house_to_throne_e2_translation.csv,35,1/S1041.DAT,0x48226,1,0x48226,0,high,0
story_house_to_throne_e2_translation.csv,36,1/S1041.DAT,0x4827A,1,0x4827A,0,high,0
story_house_to_throne_e2_translation.csv,37,1/S1041.DAT,0x482BC,1,0x482BC,0,high,0
story_house_to_throne_e2_translation.csv,38,1/S1041.DAT,0x48326,1,0x48326,0,high,0
story_house_to_throne_e2_translation.csv,39,1/S1041.DAT,0x48378,1,0x48378,0,high,0
story_house_to_throne_e2_translation.csv,40,1/S1041.DAT,0x483D2,1,0x483D2,0,high,0
