file,offset,capacity,confidence,in_patch_zip,status,disk_id,slot,metadata,expected_metadata,external_has_terminator,decoded_jp
1/S1011.DAT,0x478AA,35,high,1,e2_valid,0x81,0,33,33,1,もう3000年も燃え続けている精霊（せいれい）の山 / シオンの炎。
1/S1011.DAT,0x47902,23,high,1,e2_valid,0x82,1,21,21,1,いつたい / この炎にどんな意味が・・？
1/S1011.DAT,0x47954,21,high,1,e2_valid,0x83,2,19,19,1,そんなこと / 気にしている場合じゃない！
1/S1011.DAT,0x4799E,42,high,1,e2_valid,0x84,3,40,40,1,年が明ければ / パ<N:リ:12:6F>ンシア城から むかえが来るそれがわが一族のおきて・・。
1/S1011.DAT,0x479FC,36,high,1,e2_valid,0x85,4,34,34,1,そして / 神の血をひく民の<N:娘:5:DE01>として / 王子と結婚させられる。
1/S1011.DAT,0x47A54,12,high,1,e2_valid,0x86,5,10,10,1,そんなのは、ごめんだわ。
1/S1011.DAT,0x47AD2,26,high,1,e2_valid,0x87,6,24,24,1,・・ふ<N:っ:4:DD57><CTRL:E4>よ / 何も起こらなかつたじゃない。
1/S1011.DAT,0x47B3E,49,high,1,e2_valid,0x88,7,47,47,1,よくぞ シオンの炎を消した！ / 3000年もの長きにわたり / われを封じ込めし炎を・・。
1/S1011.DAT,0x47BB2,5,high,1,e2_valid,0x89,8,3,3,1,・・？
1/S1013.DAT,0x478EA,36,high,1,e2_valid,0x81,0,34,34,1,・・すベては / このシオンの炎を消した / あの時から始まつた。
1/S1013.DAT,0x47948,34,high,1,e2_valid,0x82,1,32,32,1,だから この炎を / もう一度消すと / 終わつてしまう気がする。
1/S1013.DAT,0x479AC,10,high,1,e2_valid,0x83,2,8,8,1,<CTRL:E4>よククル・・。
1/S1013.DAT,0x47A1C,14,high,1,e2_valid,0x84,3,12,12,1,<CTRL:E4>よ<N:離:3:DE88>れたくない・・。
1/S1013.DAT,0x47A90,8,high,1,e2_valid,0x85,4,6,6,1,ククル、頼む。
1/S1013.DAT,0x47B2E,45,high,1,e2_valid,0x86,5,43,43,1,アークデーモン / 今度こそ、<N:ｌ:5:5B>聖柩への封印を / 解く気のようだな / 勇者よ！
1/S1013.DAT,0x47B8E,55,high,1,e2_valid,0x87,6,53,53,1,アークデーモン / 貴様を俺の手で殺すこによつて / 俺は初めて3000年の呪いから / 解放される。
1/S1013.DAT,0x47BF8,34,high,1,e2_valid,0x88,7,32,32,1,アークデーモン / <N:ｌ:5:5B>聖柩へはサルバシオの滝に / 置いてある。
1/S1013.DAT,0x47C4C,28,high,1,e2_valid,0x89,8,26,26,1,アークデーモン / 貴様とは そこで決着をつけよう。
1/S1021.DAT,0x4785C,26,high,1,e2_valid,0x81,0,24,24,1,ア<N:｣:11:65>テムがあります。 / <N:ｌ:5:5B>薬草へをみつけました。
1/S1021.DAT,0x478AC,18,high,1,e2_valid,0x82,1,16,16,1,ここにあつたものはもうひろいました。
1/S1021.DAT,0x47914,23,high,1,e2_valid,0x83,2,21,21,1,ア<N:｣:11:65>テムがあります。 / <N:ｌ:5:5B>石へをみつけました。
