file,size,in_patch_zip,whole_file_changed,changed_bytes,corpus_total,high,medium,low,e2_valid,e2_other,inline_changed,original_high,occupied_slots,free_slots,remaining_for_e2,capacity_state
1/S1011.DAT,305152,1,1,680,9,9,0,0,9,0,0,0,9,70,0,covered
1/S1012.DAT,305152,0,0,0,0,0,0,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
1/S1013.DAT,305152,1,1,630,9,9,0,0,9,0,0,0,9,70,0,covered
1/S1021.DAT,305152,1,1,3479,50,50,0,0,50,0,0,0,50,29,0,covered
1/S1022.DAT,305152,1,1,657,12,12,0,0,12,0,0,0,12,67,0,covered
1/S1023.DAT,305152,1,1,2246,32,32,0,0,29,0,3,0,29,50,3,fits_current_e2_bank
1/S1031.DAT,305152,1,1,20,1,0,1,0,0,0,0,0,1,78,0,no_high_confidence_dialogue
1/S1032.DAT,305152,0,0,0,1,0,1,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
1/S1041.DAT,305152,1,1,2038,38,31,7,0,31,0,0,0,31,48,0,covered
1/S1051.DAT,305152,1,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
1/S1061.DAT,305152,1,1,1868,25,25,0,0,25,0,0,0,25,54,0,covered
1/S1071.DAT,305152,1,1,353,9,4,5,0,4,0,0,0,4,75,0,covered
1/S1072.DAT,305152,1,1,800,10,10,0,0,10,0,0,0,10,69,0,covered
21/S2011.DAT,305152,1,1,506,7,7,0,0,7,0,0,0,7,72,0,covered
21/S2012.DAT,305152,1,1,51,2,2,0,0,2,0,0,0,2,77,0,covered
21/S2013.DAT,305152,0,0,0,21,20,1,0,0,0,0,20,0,79,20,fits_current_e2_bank
21/S2014.DAT,305152,0,0,0,18,18,0,0,0,0,0,18,0,79,18,fits_current_e2_bank
21/S2021.DAT,305152,1,1,677,33,12,21,0,12,0,0,0,67,12,0,covered
21/S2022.DAT,305152,0,0,0,15,15,0,0,0,0,0,15,0,79,15,fits_current_e2_bank
21/S2031.DAT,305152,1,1,61,6,1,5,0,1,0,0,0,1,78,0,covered
21/S2032.DAT,305152,0,0,0,5,0,5,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
21/S2033.DAT,305152,1,1,436,15,11,4,0,11,0,0,0,11,68,0,covered
21/S2034.DAT,305152,0,0,0,2,2,0,0,0,0,0,2,0,79,2,fits_current_e2_bank
21/S2041.DAT,305152,1,1,1866,39,22,17,0,19,0,3,0,19,60,3,fits_current_e2_bank
21/S2042.DAT,305152,0,0,0,31,14,17,0,0,0,0,14,0,79,14,fits_current_e2_bank
21/S2043.DAT,305152,0,0,0,18,1,17,0,0,0,0,1,0,79,1,fits_current_e2_bank
21/S2044.DAT,305152,0,0,0,38,21,17,0,0,0,0,21,0,79,21,fits_current_e2_bank
21/S2045.DAT,305152,0,0,0,95,78,17,0,0,0,0,78,31,48,78,needs_choice_inline_or_bank_extension
