new_index,old_index,char,uses,cho,jung,jong,piece_cho,piece_jung,piece_jong
0,127,뒤,4641,3,16,0,64,177,-1
1,119,다,1551,3,0,0,4,161,-1
2,1179,이,1438,11,20,0,12,181,-1
3,113,지,1186,12,20,0,13,181,-1
4,131,는,1095,2,18,4,103,223,280
5,68,니,1067,2,20,0,3,181,-1
6,148,아,991,11,0,0,12,161,-1
7,123,들,975,3,18,8,104,223,284
8,142,가,954,0,0,0,1,183,-1
9,212,을,932,11,18,8,112,223,284
10,69,에,903,11,5,0,12,166,-1
11,76,의,896,11,19,0,72,180,-1
12,47,는,831,2,18,4,103,223,280
13,31,까,803,1,0,0,2,161,-1
14,77,어,743,11,4,0,12,165,-1
15,78,그,738,0,18,0,21,201,-1
16,36,승,730,9,18,21,110,223,297
17,34,것,719,0,4,19,81,231,267
18,168,하,704,18,0,0,19,161,-1
19,30,니,704,2,20,0,3,181,-1
20,29,습,694,9,18,17,110,223,293
21,80,고,688,0,8,0,21,191,-1
22,32,관,688,0,9,4,141,236,336
23,81,나,673,2,0,0,3,161,-1
24,33,는,673,2,18,4,103,223,280
25,82,있,671,11,20,20,92,225,268
26,41,료,648,5,12,0,26,173,-1
27,104,기,573,0,20,0,1,203,-1
28,88,서,565,9,4,0,10,165,-1
29,85,은,555,11,18,4,112,223,280
30,19,를,546,5,18,8,106,223,284
31,46,을,541,11,18,8,112,223,284
32,136,자,539,12,0,0,13,161,-1
33,92,시,536,9,20,0,10,181,-1
34,115,해,521,18,1,0,19,162,-1
35,15,피,510,17,20,0,18,181,-1
36,37,요,505,11,12,0,32,173,-1
37,96,습,504,9,18,17,110,223,293
38,188,리,503,5,20,0,6,181,-1
39,40,뒤,492,3,16,0,64,177,-1
40,48,톤,474,16,8,4,117,213,280
41,94,정,460,12,4,21,93,209,269
42,1140,로,457,5,8,0,26,169,-1
43,174,거,451,0,4,0,1,187,-1
44,93,도,450,3,8,0,24,169,-1
45,590,라,445,5,0,0,6,161,-1
46,105,사,441,9,0,0,10,161,-1
47,130,인,438,11,20,4,92,225,252
48,44,동,436,3,8,21,104,213,297
49,100,를,433,5,18,8,106,223,284
50,118,대,423,3,1,0,4,162,-1
51,103,만,419,6,0,4,87,205,252
52,109,초,412,14,8,0,35,169,-1
53,108,까,406,1,0,0,2,161,-1
54,135,우,400,11,13,0,52,174,-1
55,133,신,389,9,20,4,90,225,252
56,58,해,382,18,1,0,19,162,-1
57,134,주,381,12,13,0,53,174,-1
58,60,오,381,11,8,0,32,169,-1
59,101,게,380,0,5,0,1,188,-1
60,122,것,371,0,4,19,81,231,267
61,112,핀,370,17,20,4,98,225,252
62,110,스,369,9,18,0,30,179,-1
63,211,마,367,6,0,0,7,161,-1
64,116,오,367,11,8,0,32,169,-1
65,147,내,363,2,1,0,3,162,-1
66,125,면,361,6,6,4,87,211,252
67,63,지,358,12,20,0,13,181,-1
68,120,야,356,11,2,0,12,163,-1
69,124,뒤,331,3,16,0,64,177,-1
70,52,방,329,7,0,21,88,205,269
71,83,느,315,2,18,0,23,179,-1
72,121,으,314,11,18,0,32,179,-1
73,129,전,312,12,4,4,93,209,252
74,117,수,309,9,13,0,50,174,-1
75,128,령,306,5,6,21,86,211,269
76,102,여,300,11,6,0,12,167,-1
77,62,기,300,0,20,0,1,203,-1
78,11,의,298,11,19,0,72,180,-1
79,56,아,294,11,0,0,12,161,-1
80,132,한,281,18,0,4,99,205,252
81,195,겠,281,0,5,20,81,232,268
82,151,모,281,6,8,0,27,169,-1
83,205,장,279,12,0,21,93,205,269
84,66,은,278,11,18,4,112,223,280
85,157,크,275,15,18,0,36,201,-1
86,64,이,274,11,20,0,12,181,-1
87,67,보,271,7,8,0,28,169,-1
88,140,터,260,16,4,0,17,165,-1
89,99,마,254,6,0,0,7,161,-1
90,150,십,253,9,20,17,90,225,265
91,7,신,253,9,20,4,90,225,252
92,75,도,248,3,8,0,24,169,-1
93,149,무,242,6,13,0,47,174,-1
94,95,로,240,5,8,0,26,169,-1
95,215,을,239,11,18,8,112,223,284
96,137,보,237,7,8,0,28,169,-1
97,144,었,236,11,4,20,92,209,268
98,79,드,232,3,18,0,24,179,-1
99,145,말,230,6,0,8,87,205,256
100,146,려,225,5,6,0,6,167,-1
101,170,몬,224,6,8,4,107,213,280
102,138,요,223,11,12,0,32,173,-1
103,179,제,222,12,5,0,13,166,-1
104,167,버,216,7,4,0,8,165,-1
105,153,경,213,0,6,21,81,233,269
106,141,승,211,9,18,21,110,223,297
107,164,왕,205,11,9,21,152,214,353
108,156,일,203,11,20,8,92,225,256
109,87,어,201,11,4,0,12,165,-1
110,177,부,200,7,13,0,48,174,-1
111,73,사,200,9,0,0,10,161,-1
112,169,물,199,6,13,8,127,218,312
113,65,말,199,6,0,8,87,205,256
114,199,넣,196,2,4,27,83,209,275
115,152,르,194,5,18,0,26,179,-1
116,160,없,194,11,4,18,92,209,266
117,176,돌,193,3,8,8,104,213,284
118,193,되,187,3,11,0,64,172,-1
119,158,힘,187,18,20,16,99,225,264
120,192,출,184,14,13,8,135,218,312
121,184,때,182,4,1,0,5,162,-1
122,173,않,180,11,0,6,92,205,254
123,162,러,180,5,4,0,6,165,-1
124,91,스,178,9,18,0,30,179,-1
125,181,회,177,18,11,0,79,172,-1
126,180,원,176,11,14,4,152,219,336
127,154,군,174,0,13,4,121,240,308
128,196,할,169,18,0,8,99,205,256
129,189,네,168,2,5,0,3,166,-1
130,161,입,167,11,20,17,92,225,265
