idx,kind,bul,jamo,nonzero_rows
0,cho,0,0,0
1,cho,0,1,7
2,cho,0,2,6
3,cho,0,3,6
4,cho,0,4,6
5,cho,0,5,6
6,cho,0,6,6
7,cho,0,7,6
8,cho,0,8,6
9,cho,0,9,6
10,cho,0,10,6
11,cho,0,11,6
12,cho,0,12,6
13,cho,0,13,6
14,cho,0,14,6
15,cho,0,15,6
16,cho,0,16,7
17,cho,0,17,6
18,cho,0,18,6
19,cho,0,19,7
20,cho,1,0,0
21,cho,1,1,5
22,cho,1,2,5
23,cho,1,3,5
24,cho,1,4,5
25,cho,1,5,5
26,cho,1,6,5
27,cho,1,7,5
28,cho,1,8,5
29,cho,1,9,5
30,cho,1,10,5
31,cho,1,11,5
32,cho,1,12,5
33,cho,1,13,5
34,cho,1,14,5
35,cho,1,15,5
36,cho,1,16,6
37,cho,1,17,5
38,cho,1,18,5
39,cho,1,19,6
40,cho,2,0,0
41,cho,2,1,5
42,cho,2,2,5
43,cho,2,3,5
44,cho,2,4,5
45,cho,2,5,5
46,cho,2,6,5
47,cho,2,7,5
48,cho,2,8,5
49,cho,2,9,5
50,cho,2,10,5
51,cho,2,11,5
52,cho,2,12,5
53,cho,2,13,5
54,cho,2,14,5
55,cho,2,15,5
56,cho,2,16,6
57,cho,2,17,5
58,cho,2,18,5
59,cho,2,19,6
60,cho,3,0,0
61,cho,3,1,6
62,cho,3,2,5
63,cho,3,3,5
64,cho,3,4,5
65,cho,3,5,5
66,cho,3,6,5
67,cho,3,7,5
68,cho,3,8,5
69,cho,3,9,5
70,cho,3,10,5
71,cho,3,11,5
72,cho,3,12,5
73,cho,3,13,5
74,cho,3,14,5
75,cho,3,15,5
76,cho,3,16,6
77,cho,3,17,5
78,cho,3,18,5
79,cho,3,19,6
80,cho,4,0,0
81,cho,4,1,6
82,cho,4,2,5
83,cho,4,3,5
84,cho,4,4,5
85,cho,4,5,5
86,cho,4,6,5
87,cho,4,7,5
88,cho,4,8,5
89,cho,4,9,5
90,cho,4,10,5
91,cho,4,11,5
92,cho,4,12,5
93,cho,4,13,5
94,cho,4,14,5
95,cho,4,15,5
96,cho,4,16,6
97,cho,4,17,5
98,cho,4,18,5
99,cho,4,19,6
100,cho,5,0,0
101,cho,5,1,7
102,cho,5,2,6
103,cho,5,3,6
104,cho,5,4,6
105,cho,5,5,6
106,cho,5,6,6
107,cho,5,7,6
108,cho,5,8,6
109,cho,5,9,6
110,cho,5,10,6
111,cho,5,11,6
112,cho,5,12,6
113,cho,5,13,6
114,cho,5,14,6
115,cho,5,15,6
116,cho,5,16,7
117,cho,5,17,6
118,cho,5,18,6
119,cho,5,19,7
120,cho,6,0,0
121,cho,6,1,5
122,cho,6,2,5
123,cho,6,3,5
124,cho,6,4,5
125,cho,6,5,5
126,cho,6,6,5
127,cho,6,7,5
128,cho,6,8,5
129,cho,6,9,5
130,cho,6,10,5
131,cho,6,11,5
132,cho,6,12,5
133,cho,6,13,5
134,cho,6,14,5
135,cho,6,15,5
136,cho,6,16,6
137,cho,6,17,5
138,cho,6,18,5
139,cho,6,19,6
140,cho,7,0,0
141,cho,7,1,6
142,cho,7,2,5
143,cho,7,3,5
144,cho,7,4,5
145,cho,7,5,5
146,cho,7,6,5
147,cho,7,7,5
148,cho,7,8,5
149,cho,7,9,5
150,cho,7,10,5
151,cho,7,11,5
152,cho,7,12,5
153,cho,7,13,5
154,cho,7,14,5
155,cho,7,15,5
156,cho,7,16,6
157,cho,7,17,5
158,cho,7,18,5
159,cho,7,19,6
160,jung,0,0,0
161,jung,0,1,13
162,jung,0,2,13
163,jung,0,3,13
164,jung,0,4,13
165,jung,0,5,13
166,jung,0,6,13
167,jung,0,7,13
168,jung,0,8,13
169,jung,0,9,4
170,jung,0,10,13
171,jung,0,11,13
172,jung,0,12,13
173,jung,0,13,4
174,jung,0,14,7
175,jung,0,15,14
176,jung,0,16,14
177,jung,0,17,14
178,jung,0,18,7
179,jung,0,19,1
180,jung,0,20,13
181,jung,0,21,13
182,jung,1,0,0
183,jung,1,1,13
184,jung,1,2,13
185,jung,1,3,13
186,jung,1,4,13
187,jung,1,5,13
188,jung,1,6,13
189,jung,1,7,13
190,jung,1,8,13
191,jung,1,9,4
192,jung,1,10,13
193,jung,1,11,13
194,jung,1,12,13
195,jung,1,13,4
196,jung,1,14,7
197,jung,1,15,14
198,jung,1,16,14
199,jung,1,17,14
200,jung,1,18,7
201,jung,1,19,1
202,jung,1,20,13
203,jung,1,21,13
204,jung,2,0,0
205,jung,2,1,8
206,jung,2,2,8
207,jung,2,3,8
208,jung,2,4,8
209,jung,2,5,8
210,jung,2,6,8
211,jung,2,7,8
212,jung,2,8,8
213,jung,2,9,4
214,jung,2,10,8
215,jung,2,11,8
216,jung,2,12,8
217,jung,2,13,3
218,jung,2,14,4
219,jung,2,15,9
220,jung,2,16,9
221,jung,2,17,9
222,jung,2,18,4
223,jung,2,19,1
224,jung,2,20,8
225,jung,2,21,8
226,jung,3,0,0
227,jung,3,1,8
228,jung,3,2,8
229,jung,3,3,8
230,jung,3,4,8
231,jung,3,5,8
232,jung,3,6,8
233,jung,3,7,8
234,jung,3,8,8
235,jung,3,9,4
236,jung,3,10,8
237,jung,3,11,8
238,jung,3,12,8
239,jung,3,13,3
240,jung,3,14,4
241,jung,3,15,9
242,jung,3,16,9
243,jung,3,17,9
244,jung,3,18,4
245,jung,3,19,1
246,jung,3,20,8
247,jung,3,21,8
248,jong,0,0,0
249,jong,0,1,5
250,jong,0,2,5
251,jong,0,3,5
252,jong,0,4,5
253,jong,0,5,5
254,jong,0,6,5
255,jong,0,7,5
256,jong,0,8,5
257,jong,0,9,5
258,jong,0,10,5
259,jong,0,11,5
260,jong,0,12,5
261,jong,0,13,5
262,jong,0,14,5
263,jong,0,15,5
264,jong,0,16,5
265,jong,0,17,5
266,jong,0,18,5
267,jong,0,19,5
268,jong,0,20,5
269,jong,0,21,5
270,jong,0,22,5
271,jong,0,23,5
272,jong,0,24,5
273,jong,0,25,5
274,jong,0,26,5
275,jong,0,27,5
276,jong,1,0,0
277,jong,1,1,5
278,jong,1,2,5
279,jong,1,3,5
280,jong,1,4,5
281,jong,1,5,5
282,jong,1,6,5
283,jong,1,7,5
284,jong,1,8,5
285,jong,1,9,5
286,jong,1,10,5
287,jong,1,11,5
288,jong,1,12,5
289,jong,1,13,5
290,jong,1,14,5
291,jong,1,15,5
292,jong,1,16,5
293,jong,1,17,5
294,jong,1,18,5
295,jong,1,19,5
296,jong,1,20,5
297,jong,1,21,5
298,jong,1,22,5
299,jong,1,23,5
300,jong,1,24,5
301,jong,1,25,5
302,jong,1,26,5
303,jong,1,27,5
304,jong,2,0,0
305,jong,2,1,5
306,jong,2,2,5
307,jong,2,3,5
308,jong,2,4,5
309,jong,2,5,5
310,jong,2,6,5
311,jong,2,7,5
312,jong,2,8,5
313,jong,2,9,5
314,jong,2,10,5
315,jong,2,11,5
316,jong,2,12,5
317,jong,2,13,5
318,jong,2,14,5
319,jong,2,15,5
320,jong,2,16,5
321,jong,2,17,5
322,jong,2,18,5
323,jong,2,19,5
324,jong,2,20,5
325,jong,2,21,5
326,jong,2,22,4
327,jong,2,23,5
328,jong,2,24,5
329,jong,2,25,5
330,jong,2,26,5
331,jong,2,27,5
332,jong,3,0,0
333,jong,3,1,5
334,jong,3,2,5
335,jong,3,3,5
336,jong,3,4,5
337,jong,3,5,5
338,jong,3,6,5
339,jong,3,7,5
340,jong,3,8,5
341,jong,3,9,5
342,jong,3,10,5
343,jong,3,11,5
344,jong,3,12,5
345,jong,3,13,5
346,jong,3,14,5
347,jong,3,15,5
348,jong,3,16,5
349,jong,3,17,5
350,jong,3,18,5
351,jong,3,19,5
352,jong,3,20,5
353,jong,3,21,5
354,jong,3,22,4
