char,unicode,method,source_ink,output_ink,density_ratio,source_components,output_components,source_edge_ink
괄,U+AD04,current16,72,72,1.0000,3,3,1
유,U+C720,current16,59,59,1.0000,2,2,0
물,U+BB3C,current16,79,79,1.0000,2,2,0
인,U+C778,current16,56,56,1.0000,3,3,0
엄,U+C5C4,current16,71,71,1.0000,3,3,0
마,U+B9C8,current16,56,56,1.0000,2,2,1
촌,U+CD0C,current16,61,61,1.0000,2,2,0
들,U+B4E4,current16,70,70,1.0000,3,3,0
속,U+C18D,current16,55,55,1.0000,2,2,0
롭,U+B86D,current16,81,81,1.0000,2,2,0
론,U+B860,current16,67,67,1.0000,2,2,0
온,U+C628,current16,58,58,1.0000,2,2,0
는,U+B294,current16,47,47,1.0000,3,3,0
봉,U+BD09,current16,69,69,1.0000,2,2,0
용,U+C6A9,current16,69,69,1.0000,2,2,0
꽃,U+AF43,current16,66,66,1.0000,2,2,0
동,U+B3D9,current16,65,65,1.0000,2,2,0
뛟,U+B6DF,current16,112,112,1.0000,3,3,1
쀎,U+C00E,current16,112,112,1.0000,3,3,0
쀏,U+C00F,current16,112,112,1.0000,3,3,0
쮊,U+CB8A,current16,113,113,1.0000,3,3,2
쮋,U+CB8B,current16,113,113,1.0000,3,3,2
그,U+ADF8,current16,30,30,1.0000,2,2,0
느,U+B290,current16,30,30,1.0000,2,2,0
스,U+C2A4,current16,31,31,1.0000,2,2,0
끄,U+B044,current16,36,36,1.0000,2,2,0
고,U+ACE0,current16,37,37,1.0000,2,2,0
괄,U+AD04,crop14,72,71,1.2880,3,3,1
유,U+C720,crop14,59,59,1.3061,2,2,0
물,U+BB3C,crop14,79,79,1.3061,2,2,0
인,U+C778,crop14,56,56,1.3061,3,3,0
엄,U+C5C4,crop14,71,71,1.3061,3,3,0
마,U+B9C8,crop14,56,55,1.2828,2,2,1
촌,U+CD0C,crop14,61,61,1.3061,2,2,0
들,U+B4E4,crop14,70,70,1.3061,3,3,0
속,U+C18D,crop14,55,55,1.3061,2,2,0
롭,U+B86D,crop14,81,81,1.3061,2,2,0
