over_by,source file,byte offset,needs,budget,korean
73,21/S2041.DAT,0x48160,117,44,"<CTRL:E5>#물론이야！
<CTRL:E5>#조금 자신이 없어··。
<CTRL:E5>#아직 싸우는 법을 몰라。"
61,21/S2045.DAT,0x496A6,165,104,"초핀: 로맨싱 스톤이 있는 곳을 알아냈습니다. 하나는 수메리아의 토우빌, 하나는 유적 던전, 하나는 고겐 님이, 마지막 하나는 아크 님의 아버님이 가지고 계셨던 모양입니다."
55,6/S6041.DAT,0x48940,126,71,"대지의 정령: 자신들이 마시는 공기, 먹는 것과 마찬가지로 어느새 당연히 자기들이 얻는 것이라 여기기에 어긋나기 시작하는 것이다."
54,6/S6041.DAT,0x487C0,113,59,대지의 정령: 라마다의 기술은 대지와 대기의 힘을 기로 내보내는 기술. 대지에 대한 감사로 비로소 가능해지는 것이다.
53,32/S3065.DAT,0x47D92,111,58,베미의 정령: 사람에게 편리해도 모든 생물에게 들어맞는 것은 아닙니다. 바람의 정령은 그 말을 하고 싶었던 거예요.
52,B/SB022.DAT,0x47D4A,110,58,대지의 정령: 배우고 있는 모양이구나. 분별을 아는 자에게는 자연도 힘을 준다. 우리 정령이라 해서 예외는 아니다.
52,8/S8013.DAT,0x48052,120,68,"초핀: 라마다사에서는 등급을 두고 수행을 하고 있는 모양인데, 그것을 모두 끝내면 얻을 수 있는 액세서리가 있는 모양입니다."
52,7/S7012.DAT,0x49064,120,68,"초핀: 라마다사에서는 등급을 두고 수행을 하고 있는 모양인데, 그것을 모두 끝내면 얻을 수 있는 액세서리가 있는 모양입니다."
52,6/S6014.DAT,0x4956C,120,68,"초핀: 라마다사에서는 등급을 두고 수행을 하고 있는 모양인데, 그것을 모두 끝내면 얻을 수 있는 액세서리가 있는 모양입니다."
52,5/S5013.DAT,0x495C0,120,68,"초핀: 라마다사에서는 등급을 두고 수행을 하고 있는 모양인데, 그것을 모두 끝내면 얻을 수 있는 액세서리가 있는 모양입니다."
52,31/S3014.DAT,0x485F8,120,68,"초핀: 라마다사에서는 등급을 두고 수행을 하고 있는 모양인데, 그것을 모두 끝내면 얻을 수 있는 액세서리가 있는 모양입니다."
