region,sha256,state_count,known_build_match,build_count,builds
e2_or_wrapper,4816801FC4700CE9FAE1D2E6537F553ACE63B6B3CD6DB30B9BB4A7D8505BAA3B,614,1,261,arc1_v126_wording_patch_only.zip | arc1_v127_slots_1_to_7_fixes_patch_only.zip | arc1_v128_all_battle_choices_patch_only.zip | arc1_v129_remap_coverage_430F1CFD.zip | arc1_v130_text_reinsert_1BB69ED1.zip | arc1_v131_full_code_space_049E9A2B.zip | arc1_v132_r_and_ssik_099D6D90.zip | arc1_v133_text_with_r_1FE292AB.zip | arc1_v134_window_fit_09C17854.zip | arc1_v135_choices_in_place_9A286DA8.zip | arc1_v135_choices_in_place_DE3A5A08.zip | arc1_v136_scene_restore_4CE9EE1E.zip | arc1_v137_choices_by_geometry_D6AAA475.zip | arc1_v138_one_byte_font_375BCC7F.zip | arc1_v139_short_codes_1F756878.zip | arc1_v140_choices_short_2BEC9A9F.zip | arc1_v141_tightened_3ACBA9A1.zip | arc1_v142_choices_final_66219F2E.zip | arc1_v143_mirumana_2FA1F130.zip | arc1_v144_learn_message_85E0E463.zip | arc1_v145_pool_addresses_7A6018A8.zip | arc1_v146_no_e2_glyphs_1F4072BC.zip | arc1_v147_choice_rows_353F7F03.zip | arc1_v148_e2_via_lookup_310A3DFB.zip | arc1_v149_restore_artwork_28ED010A.zip | arc1_v150_choice_translations_264D3248.zip | arc1_v151_free_the_sprite_cell_A4358FEE.zip | arc1_v153_dynamic_cache_ECEA4D06.zip | arc1_v154_dynamic_cache_65E16F77.zip | arc1_v155_dynamic_cache_5D9760F9.zip | arc1_v156_dynamic_cache_D5FB1ADC.zip | arc1_v157_dynamic_cache_26B2B680.zip | arc1_v158_dynamic_cache_51FDCF67.zip | arc1_v159_dynamic_cache_4E3F2466.zip | arc1_v160_dynamic_cache_ram_shadow_53521478.zip | arc1_v161_bounded_exe_text_B2EA377E.zip | arc1_v162_strip_a_dynamic_cache_1759E571.zip | arc1_v163_text_clut_classifier_773E3B82.zip | arc1_v164_predrawot_cache_upload_probe_4E714493.zip | arc1_v165_failclosed_24slot_cache_A5C46588.zip | arc1_v165b_failclosed_24slot_cache_fastcheckpoints_BF3563BE.zip | arc1_v165c_failclosed_24slot_cache_checkpoint_fix_D1ADC357.zip | arc1_v166_persistent_ot_guard_fullcell_8EB4F3A4.zip | arc1_v167_item_description_generation_guard_EC6AE708.zip | arc1_v168_item_description_slot_shift_fix_3B604507.zip | arc1_v169_e1_control_glyph_dispatch_218D38D2.zip | arc1_v170_restore_blank_space_filler_F8A67A67.zip | arc1_v171_native_ui_assets_28slot_cache_18E5C2DC.zip | arc1_v172_lookup_width_fix_109252A0.zip | arc1_v173_restore_e7_icon_stub.zip | arc1_v176_control_code_dispatch.zip | arc1_v177_restore_circle_icon.zip | arc1_v178_repoint_orphaned_glyphs.zip | arc1_v183_levelup_stat_assembly_fix.zip | arc1_v184_levelup_skillname_encoding_fix.zip | arc1_v185_acquisition_closing_bracket_fix.zip | arc1_v186_runtime_text_choice_fixes_0D144525.zip | arc1_v187_control_skill_choice_repair_292BF4BE.zip | arc1_v188_safe_string_slot_repair_5A999CAC.zip | arc1_v189_dialogue_timing_choice_rows_DA219F8F.zip | arc1_v190_dynamic_owner_repair_4AC51D4F.zip | arc1_v191_yagun_choice_local_fixes_682EC28A.zip | arc1_v192_choice_speaker_rows_899DDD9A.zip | arc1_v193_restore_skill_range_levelup_dynamic_946B3F5E.zip | arc1_v194_remove_last_blank_cell_hangul_63FE7FD6.zip | arc1_v195_levelup_stat_particle.zip | arc1_v196_levelup_suffix_orphan.zip | arc1_v197_prompt_width_off_by_one.zip | arc1_v199_wording_fixes_safe.zip | arc1_v200_jail_scene_wording.zip | arc1_v201_palencia_spelling.zip | arc1_v202_untranslated_two_lines.zip | arc1_v203_boss_and_world.zip | arc1_v204_warehouse_line_split.zip | arc1_v206_restore_zeroed_script_data.zip | arc1_v207_move_stub_strings.zip | arc1_v208_gogen_scene.zip | arc1_v210_sd031_slots_controls.zip | arc1_v211_cache_row32_worldmap_probe_TEST_ONLY_54D7B646.zip | arc1_v212_ab_cache_selector_TEST_ONLY_067F6FC6.zip | arc1_v212b_ab_cache_selector_TEST_ONLY_3002A89C.zip | arc1_v212d_ab_cache_selector_exact_bounds_TEST_ONLY_CA6CDDFD.zip | arc1_v213b_strict_ab_cache_selector_TEST_ONLY_E98E4DD6.zip | arc1_v214_marked_ab_cache_selector_TEST_ONLY_613EBE7C.zip | arc1_v215_correct_packet_layout_selector_TEST_ONLY_716DA311.zip | arc1_v216_relocate_selector_handoff_TEST_ONLY_25090AB2.zip | arc1_v217_full_selected_destination_refresh_TEST_ONLY_B2D09502.zip | arc1_v218_borrow_restore_selected_cache_TEST_ONLY_87942B4B.zip | arc1_v218k_CLAUDE_no_kernel_regs_TEST_ONLY.zip | arc1_v219_failclosed_borrow_restore_TEST_ONLY_B3595C76.zip | arc1_v219b_failclosed_borrow_restore_TEST_ONLY_B3595C76.zip | arc1_v219c_CLAUDE_widen_buffers_TEST_ONLY.zip | arc1_v220_separate_decode_scratch_TEST_ONLY_CDDF4B3F.zip | arc1_v221_CLAUDE_cache_row39_TEST_ONLY_52D9D6FA.zip | arc1_v222_CLAUDE_cache_row35_x999_TEST_ONLY_0A344D73.zip | arc1_v223_CLAUDE_move_vram_only_TEST_ONLY_F08840A0.zip | arc1_v224_CLAUDE_keep_cache_probe_TEST_ONLY_9688060F.zip | arc1_v225_CLAUDE_stock_u_bias_TEST_ONLY_4933129F.zip | arc1_v226_CLAUDE_loadimage_guard_TEST_ONLY_94104EFB.zip | arc1_v227_CLAUDE_always_reupload_TEST_ONLY_953AB3DE.zip | arc1_v228_CLAUDE_uv_pair_move_TEST_ONLY_2B4EDF11.zip | arc1_v229_CLAUDE_uv_pair_low_helper_TEST_ONLY_F16649A2.zip | arc1_v231_static_promotion_restored162_TEST_ONLY_15DDA0E8.zip | arc1_v232_static_promotion_huffman_source_TEST_ONLY_BC602EF6.zip | arc1_v233_cache_relocation_TEST_ONLY_EA0E5B9E.zip | arc1_v234_relocated_always_reupload_TEST_ONLY_202F62B7.zip | arc1_v235_cache_row36_TEST_ONLY_1654F31B.zip | arc1_v236_dynamic_promotion_TEST_ONLY_2AE4EFD5.zip | arc1_v237_recovery_hook_TEST_ONLY_C0766EAB.zip | arc1_v238_glyph_16px_TEST_ONLY_8816AF49.zip | arc1_v239_johab_pieces_TEST_ONLY_66866152.zip | arc1_v240_johab_font_TEST_ONLY_1A307BDE.zip | arc1_v241_halfwidth_TEST_ONLY_CEC05368.zip | arc1_v242_tight_TEST_ONLY_0020ADD6.zip | arc1_v243_spacing_TEST_ONLY_0C2522A5.zip | arc1_v244_johab_font_TEST_ONLY_EB3E4229.zip | arc1_v245_johab_tight_TEST_ONLY_645806F1.zip | arc1_v246_step12_TEST_ONLY_5B771339.zip | arc1_v247_johab_font_TEST_ONLY_7F70EFCD.zip | arc1_v248_verified_TEST_ONLY_63E59ADD.zip | arc1_v249_reencode_TEST_ONLY_40844F0B.zip | arc1_v250_reencoded_TEST_ONLY_2B07822C.zip | arc1_v251_reencode_keepctrl_TEST_ONLY_FA923930.zip | arc1_v252_keepctrl_TEST_ONLY_001114F6.zip | arc1_v253_punct_cells_TEST_ONLY_5A2FA133.zip | arc1_v254_body_only_TEST_ONLY_96578344.zip | arc1_v255_body_only_TEST_ONLY_6EC761B5.zip | arc1_v256_all_inplace_TEST_ONLY_68ED0F45.zip | arc1_v257_all_inplace_TEST_ONLY_961FF409.zip | arc1_v258_carry_glyphs_TEST_ONLY_DFF09C74.zip | arc1_v259_carry_glyphs_TEST_ONLY_84BFEFC4.zip | arc1_v260_restore_lookup_TEST_ONLY_0DF04129.zip | arc1_v261_restore_lookup_safe_TEST_ONLY_87196B57.zip | arc1_v262_real_lookup_TEST_ONLY_F36356A3.zip | arc1_v263_point_existing_TEST_ONLY_C17AD8D3.zip | arc1_v264_decoded_static_TEST_ONLY_D08D2FD7.zip | arc1_v265_decoded_full_TEST_ONLY_5D89C933.zip | arc1_v266_raise_ceiling_TEST_ONLY_6AF86D6C.zip | arc1_v267_blank_cells_only_TEST_ONLY_6AF86D6C.zip | arc1_v268_full_sites_TEST_ONLY_3BA98375.zip | arc1_v269_with_exe_ui_TEST_ONLY_900CDAB4.zip | arc1_v270_johab_final_TEST_ONLY_C2A8D0BB.zip | arc1_v297_e2_expand_TEST_ONLY_9B01B370.zip | arc1_v298_ui_TEST_ONLY_CFE4814B.zip | arc1_v299_cursor_safe_TEST_ONLY_50883323.zip | arc1_v300_ui_repack_TEST_ONLY_D1237E17.zip | arc1_v301_ui_align_TEST_ONLY_25C86506.zip | arc1_v302_ui_exact_TEST_ONLY_A4F936C9.zip | arc1_v303_ui_byja_TEST_ONLY_437F7C1B.zip | arc1_v304_ui_repack2_TEST_ONLY_E71D7641.zip | arc1_v305_icon_safe_TEST_ONLY_2AFE4BF3.zip | arc1_v306_v197_johab_TEST_ONLY_3EB347E8.zip | arc1_v307_cache_static_TEST_ONLY_38F638C2.zip | arc1_v308_cache_static_TEST_ONLY_F2A554FD.zip | arc1_v317_from_v297_TEST_ONLY_7B451803.zip | DIAG4_original_dats.zip | DIAG6_zero_appended_exe.zip | DIAG7_no_project_pixels.zip | DIAG_blank_all_filled_cells.zip | DIAG_exe_bootfull.zip | DIAG_exe_noboot.zip | DIAG_exe_nohook.zip | DIAG_exe_shrink_reserved.zip | DIAG_fontBLANK140_stripsABC.zip | DIAG_fontBLANK140_stripsABC_rows0-7.zip | DIAG_fontBLANK140_stripsABC_rows8-13.zip | DIAG_fontBLANK140_stripsC.zip | DIAG_fontV151_stripsABC.zip | DIAG_L_no_frame_upload_AF51D2E7.zip | DIAG_N1_minimal_hook.zip | DIAG_N2_minimal_hook.zip | DIAG_only_our_exe.zip | DIAG_original_font.zip | DIAG_P1_back_to_v151.zip | DIAG_P2_back_to_v151.zip | DIAG_Q1_v160_frame_off_dependency_complete.zip | DIAG_Q2_v160_dynamic_branch_off_dependency_complete.zip | DIAG_v152_restore_8_sprite_cells_264705E7.zip | story_all_choices_v21_cumulative_patch_only.zip | story_bulk_v121_patch_only.zip | story_choice_layout_v20_cumulative_patch_only.zip | story_choice_row_alignment_v23_cumulative_patch_only.zip | story_dialogue_choice_structure_v22_cumulative_patch_only.zip | story_e2_bank79_v14_cumulative_patch_only.zip | story_house_to_throne_e2_v15_cumulative_patch_only.zip | story_intro_complete_e2_v16_cumulative_patch_only.zip | story_legacy_tone_e2_v18_cumulative_patch_only.zip | story_minister_s3022_s3031_e2_v19_cumulative_patch_only.zip | story_ui_v125_yongsa_patch_only.zip | story_v122_slot_e6_swept_patch_only.zip | story_v123_e6_skip_probe_patch_only.zip | story_v124_bulk_8FF53C65.zip | story_v125_ship_9FB173A2.zip | story_verified_returns_e2_v17_cumulative_patch_only.zip | ui_consumables_v25_cumulative_patch_only.zip | ui_full_v26_cumulative_patch_only.zip | ui_glyph_store_v40_sparse_probe_patch_only.zip | ui_glyph_store_v41_e9ea_probe_patch_only.zip | ui_guide_terms_v42_v39_repairs_cumulative_patch_only.zip | ui_hud_e7_v100_loadimage_frameboundary_patch_only.zip | ui_hud_e7_v101_glyph_ram_upload_patch_only.zip | ui_hud_e7_v102_bisect_no_upload_patch_only.zip | ui_hud_e7_v103_heap_reserved_glyphs_patch_only.zip | ui_hud_e7_v105_borrow_and_return_patch_only.zip | ui_hud_e7_v106_two_strips_patch_only.zip | ui_hud_e7_v107_unconditional_two_strips_patch_only.zip | ui_hud_e7_v108a_row_only_patch_only.zip | ui_hud_e7_v108b_page_only_patch_only.zip | ui_hud_e7_v108c_classifier_only_patch_only.zip | ui_hud_e7_v108d_row_and_page_patch_only.zip | ui_hud_e7_v108e_row_page_classifier_patch_only.zip | ui_hud_e7_v109_restore_range_overlay_patch_only.zip | ui_hud_e7_v110_restore_all_game_art_patch_only.zip | ui_hud_e7_v111_restore_unoccupied_art_patch_only.zip | ui_hud_e7_v112_two_strips_resident_patch_only.zip | ui_hud_e7_v113_single_upload_probe_patch_only.zip | ui_hud_e7_v114_single_value_probe_patch_only.zip | ui_hud_e7_v115_no_t9_two_strips_patch_only.zip | ui_hud_e7_v116_direct_stateless_renderer_patch_only.zip | ui_hud_e7_v117_104slot_story_probe_patch_only.zip | ui_hud_e7_v118_strip_b_fill_patch_only.zip | ui_hud_e7_v119_strip_c_patch_only.zip | ui_hud_e7_v120_strip_c_probe_patch_only.zip | ui_hud_e7_v44_cumulative_patch_only.zip | ui_hud_e7_v70_leaf_names_ring_menu_patch_only.zip | ui_hud_e7_v71_leaf_font_ring_help_patch_only.zip | ui_hud_e7_v72_low_page_glyph_relocation_patch_only.zip | ui_hud_e7_v73_dual_tpage_renderer_patch_only.zip | ui_hud_e7_v74_leaf_ra_trampoline_fix_patch_only.zip | ui_hud_e7_v83_p6_sidecar_renderer_test_patch_only.zip | ui_hud_e7_v84_p6_sidecar_bss_boundary_fix_patch_only.zip | ui_hud_e7_v85_p6_highram_bootstrap_patch_only.zip | ui_hud_e7_v86_p6_glyph_repack_slots_1_to_6_patch_only.zip | ui_hud_e7_v87_p6_heap_reserved_patch_only.zip | ui_hud_e7_v88_p6_state_persistence_slots_3_to_6_patch_only.zip | ui_hud_e7_v89_story_safe_book_glyph_patch_only.zip | ui_hud_e7_v90_e2_control_p6_lifetime_fix_patch_only.zip | ui_hud_e7_v91_v89_lifetime_yagun_slot_fix_patch_only.zip | ui_hud_e7_v92_stateless_p6_pass_classifier_patch_only.zip | ui_hud_e7_v93_s3032_speaker_separator_patch_only.zip | ui_hud_e7_v94_p6_path_disable_probe_patch_only.zip | ui_hud_e7_v95_tpage_slot_reservation_patch_only.zip | ui_hud_e7_v96_high_tpage_x_fix_patch_only.zip | ui_hud_e7_v97_high_tpage_measured_patch_only.zip | ui_hud_e7_v98_restore_object_capacity_patch_only.zip | ui_hud_e7_v99_loadimage_probe_patch_only.zip | ui_item_herb_probe_v24_cumulative_patch_only.zip | ui_runtime_repairs_v43_cumulative_patch_only.zip | ui_safe_v27_cumulative_patch_only.zip | ui_safe_v28_cumulative_patch_only.zip | ui_safe_v29_cumulative_patch_only.zip | ui_safe_v30_cumulative_patch_only.zip | ui_safe_v31_cumulative_patch_only.zip | ui_safe_v32_cumulative_patch_only.zip | ui_safe_v33_cumulative_patch_only.zip | ui_safe_v34_cumulative_patch_only.zip | ui_safe_v35_cumulative_patch_only.zip | ui_safe_v36_cumulative_patch_only.zip | ui_safe_v37_cumulative_patch_only.zip | ui_safe_v38_cumulative_patch_only.zip | ui_safe_v39_cumulative_patch_only.zip
e2_or_wrapper,438FCE6A5A5A4918835D5ED72E5E53EC2E1EB95094E3E10CB871AE9E93DD6855,4,1,4,arc1_v310_beol_fix_TEST_ONLY_52D2E89C.zip | arc1_v311_piece_swap_TEST_ONLY_ECB4A63C.zip | arc1_v312_pilgi_TEST_ONLY_646C308C.zip | arc1_v313_perline_TEST_ONLY_AC26F366.zip
e2_or_wrapper,312F1B58C9DA026A15FF260C810E85016FBF60F22E2213879A1A71534C9AABC4,4,1,2,arc1_johab_font_16px_poc_pilgi_TEST_ONLY_D941D1BE.zip | arc1_johab_font_16px_poc_pilgi_TEST_ONLY_patch_38572643.zip
e2_or_wrapper,5386825F012DFFC210E46F9861277A2877BB92A2D21573296DBB4BD5BDD11361,4,1,2,arc1_johab_font_poc_pilgi_FLOWFIX_TEST_ONLY_4891ECBD.zip | arc1_johab_font_poc_pilgi_FLOWFIX_TEST_ONLY_patch_566D5F86.zip
e2_or_wrapper,5CD8278513B6ABB3BFF5205DEC8DF96DD16B76121D0DDE64DDD118107A1D3C32,3,1,2,arc1_johab_font_poc_pilgi_TEST_ONLY_5EE7652B.zip | arc1_johab_font_poc_pilgi_TEST_ONLY_patch_4701717C.zip
e2_or_wrapper,87CD5D46CF599F36521D42F6D622440A634B473A56B575273690B4A357967FD0,3,1,2,arc1_johab_font_16px_poc_pilgi_DO_NOT_USE_STATE_LEAK_88FD99F7.zip | arc1_johab_font_16px_poc_pilgi_DO_NOT_USE_STATE_LEAK_patch_8F66E748.zip
e2_or_wrapper,2B45F50EAFEF577177C38CE0F0CC9CE4C7DB44D8A03BD2F5EEEF1E79BE4BA7A9,2,1,3,arc1_v314_bankb_TEST_ONLY_75506477.zip | arc1_v315_speaker_TEST_ONLY_20E8A9AB.zip | arc1_v316_onebyte_TEST_ONLY_C51D1552.zip
e2_or_wrapper,1DD2F780E8E82B1B5AAE07737A722773A6E3E11283E787CFAE810BC905534A49,1,1,3,arc1_v298_johab12_TEST_ONLY_CFE4CE43.zip | arc1_v298_johab12_TEST_ONLY_FF5B5D7C.zip | arc1_v309_johab12_sans_TEST_ONLY_9666FCB2.zip
e2_or_wrapper,4D92B363AB08C19078FF1100F8D9CA4C8E9352F7FAFA0AB198D53811D9D553E6,1,0,0,
e2_or_wrapper,A4DB076ADD55FEB3C2B2B581EFC485AEB9702AC618501E83009C8BFAC9131579,1,0,0,
