state,classification,media_hint,probe_matches,probe_total,region,start,end_exclusive,bytes,all_zero,matches_reference,sha256,nonzero_bytes
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-101175C83D552C3_1.sav,other_or_unknown,,0,4,e2_or_wrapper,0x8018FCD0,0x8018FDC5,245,0,0,4816801FC4700CE9FAE1D2E6537F553ACE63B6B3CD6DB30B9BB4A7D8505BAA3B,131
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-101175C83D552C3_1.sav,other_or_unknown,,0,4,bank_helper,0x80193B44,0x80193BC4,128,0,0,B52E175EB6F9441D32F8D8D886529B250143E493A207C4F03C54C9E1C96D78A4,100
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-101175C83D552C3_1.sav,other_or_unknown,,0,4,wrapper_candidate,0x801A2074,0x801A2304,656,0,0,383715790A2728D924E52648E3024066833BDD4D7E0529A4805DA0374A82916B,392
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-101175C83D552C3_1.sav,other_or_unknown,,0,4,ui_or_coord_table,0x801A7460,0x801A7860,1024,0,0,7A56DABFAC185758C37F88C94734B3338CA1DE8F7B7B4EC178D64907759E9893,904
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-101175C83D552C3_2.sav,other_or_unknown,,0,4,e2_or_wrapper,0x8018FCD0,0x8018FDC5,245,0,0,4816801FC4700CE9FAE1D2E6537F553ACE63B6B3CD6DB30B9BB4A7D8505BAA3B,131
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-101175C83D552C3_2.sav,other_or_unknown,,0,4,bank_helper,0x80193B44,0x80193BC4,128,0,0,B52E175EB6F9441D32F8D8D886529B250143E493A207C4F03C54C9E1C96D78A4,100
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-101175C83D552C3_2.sav,other_or_unknown,,0,4,wrapper_candidate,0x801A2074,0x801A2304,656,0,0,383715790A2728D924E52648E3024066833BDD4D7E0529A4805DA0374A82916B,392
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-101175C83D552C3_2.sav,other_or_unknown,,0,4,ui_or_coord_table,0x801A7460,0x801A7860,1024,0,0,7A56DABFAC185758C37F88C94734B3338CA1DE8F7B7B4EC178D64907759E9893,904
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-101175C83D552C3_3.sav,other_or_unknown,,0,4,e2_or_wrapper,0x8018FCD0,0x8018FDC5,245,0,0,4816801FC4700CE9FAE1D2E6537F553ACE63B6B3CD6DB30B9BB4A7D8505BAA3B,131
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-101175C83D552C3_3.sav,other_or_unknown,,0,4,bank_helper,0x80193B44,0x80193BC4,128,0,0,B52E175EB6F9441D32F8D8D886529B250143E493A207C4F03C54C9E1C96D78A4,100
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-101175C83D552C3_3.sav,other_or_unknown,,0,4,wrapper_candidate,0x801A2074,0x801A2304,656,0,0,383715790A2728D924E52648E3024066833BDD4D7E0529A4805DA0374A82916B,392
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-101175C83D552C3_3.sav,other_or_unknown,,0,4,ui_or_coord_table,0x801A7460,0x801A7860,1024,0,0,7A56DABFAC185758C37F88C94734B3338CA1DE8F7B7B4EC178D64907759E9893,904
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-101175C83D552C3_resume.sav,other_or_unknown,,0,4,e2_or_wrapper,0x8018FCD0,0x8018FDC5,245,0,0,4816801FC4700CE9FAE1D2E6537F553ACE63B6B3CD6DB30B9BB4A7D8505BAA3B,131
C:\Users\Administrator\AppData\Local\DuckStation\savestates\HASH-101175C83D552C3_resume.sav,other_or_unknown,,0,4,bank_helper,0x80193B44,0x80193BC4,128,0,0,B52E175EB6F9441D32F8D8D886529B250143E493A207C4F03C54C9E1C96D78A4,100
